
[00:00:00.000 --> 00:00:04.300]  (主席)今天我們繼續藉著聆聽神的話語去敬拜上帝
[00:00:04.300 --> 00:00:08.800]  我們讀今天一節的聖經
[00:00:08.800 --> 00:00:12.100]  在一樣福音八章第五十一節
[00:00:12.100 --> 00:00:13.900]  八章第五十一節
[00:00:13.900 --> 00:00:20.000]  找到我們一起讀出
[00:00:20.000 --> 00:00:21.500]  預備起
[00:00:21.500 --> 00:00:29.200]  (福音八章第五十一節)
[00:00:30.300 --> 00:00:31.100]  聖經說
[00:00:31.100 --> 00:00:31.900]  耶穌說
[00:00:31.900 --> 00:00:35.700]  人若遵守耶穌的道就永遠不經歷死亡
[00:00:35.700 --> 00:00:36.800]  今天講題叫
[00:00:36.800 --> 00:00:41.400]  罪人怎能不見死
[00:00:41.400 --> 00:00:44.200]  這個題目挺特別的
[00:00:44.200 --> 00:00:46.900]  祈禱之前我想解一解題
[00:00:46.900 --> 00:00:49.300]  罪人怎能不見死
[00:00:49.300 --> 00:00:51.200]  你會讀到什麼呢?
[00:00:51.200 --> 00:00:52.900]  一個罪人
[00:00:52.900 --> 00:00:55.400]  怎會見不到死呢?
[00:00:55.400 --> 00:00:59.600]  一個犯罪的人
[00:00:59.600 --> 00:01:04.800]  如果你今天是一個壞分子
[00:01:04.800 --> 00:01:06.800]  你會去打劫
[00:01:06.800 --> 00:01:09.400]  你會去搶劫
[00:01:09.400 --> 00:01:12.000]  你會去作奸犯科
[00:01:12.000 --> 00:01:16.200]  大部份的人都會知道
[00:01:16.200 --> 00:01:17.400]  如果抓到
[00:01:17.400 --> 00:01:19.200]  如果你犯了重罪
[00:01:19.200 --> 00:01:22.400]  你最近聽到有人偷運毒品
[00:01:22.400 --> 00:01:25.200]  去不同地方被人抓到
[00:01:25.200 --> 00:01:29.000]  一個偷運毒品的人怎會不知死呢?
[00:01:30.000 --> 00:01:31.200]  但他們真的不知死
[00:01:31.200 --> 00:01:32.600]  所以這個講題是
[00:01:32.600 --> 00:01:36.200]  罪人為何不怕死
[00:01:36.200 --> 00:01:37.800]  他不知道會死
[00:01:37.800 --> 00:01:44.200]  但一個罪人又怎能不見死
[00:01:44.200 --> 00:01:47.400]  怎能避開嚴重的後果
[00:01:47.400 --> 00:01:49.000]  如果我們知道自己有罪
[00:01:49.000 --> 00:01:52.700]  我們怎能不死呢?
[00:01:52.700 --> 00:01:54.900]  罪人怎能不見死
[00:01:54.900 --> 00:01:57.000]  當然還有一個
[00:01:57.900 --> 00:02:01.800]  更可悲的是罪人為何看不到自己會死
[00:02:01.800 --> 00:02:04.000]  以為自己無事
[00:02:04.000 --> 00:02:07.000]  甚至以為自己無罪
[00:02:07.000 --> 00:02:09.800]  罪人最糟糕的一件事是
[00:02:09.800 --> 00:02:12.000]  不但看不到自己會死
[00:02:12.000 --> 00:02:13.800]  還看不到自己有罪
[00:02:13.800 --> 00:02:19.100]  今天會藉著八章四十至五十九節
[00:02:19.100 --> 00:02:20.900]  一段頗長的經文
[00:02:20.900 --> 00:02:22.600]  去回答一個問題
[00:02:22.600 --> 00:02:25.700]  罪人怎能突破自己的框框
[00:02:25.700 --> 00:02:27.400]  而看到自己有罪
[00:02:27.600 --> 00:02:29.900]  而看到自己真的會死
[00:02:29.900 --> 00:02:35.700]  我們怎能突破自己自我的框框呢?
[00:02:35.700 --> 00:02:37.100]  我們一起禱告
[00:02:37.100 --> 00:02:40.600]  天父求你幫我們
[00:02:40.600 --> 00:02:42.900]  耶穌所說的話
[00:02:42.900 --> 00:02:45.800]  有信的人也有不信的人
[00:02:45.800 --> 00:02:50.900]  我們所有的人
[00:02:50.900 --> 00:02:52.400]  有些未信
[00:02:52.400 --> 00:02:55.000]  我們向你祈求
[00:02:56.100 --> 00:02:57.700]  上帝你的恩典
