
[00:00:00.000 --> 00:00:12.000]  主持人:今日是猜拳主日,我想問大家一個很基本的問題,何謂宣教?
[00:00:12.000 --> 00:00:24.000]  主持人:想起宣教可能你心目中也有一些理解,我記得我讀神學的時候,有一次上密集課程,
[00:00:24.000 --> 00:00:38.000]  主持人:有位來自英國的老師教我們兩個星期,他說在幾年前他曾經離開英國去印度一間神學院教神學,
[00:00:38.000 --> 00:00:48.000]  主持人:他的教會很高興,一起祝福他,差遣他出去,稱之為宣教士,他說他是一個宣教士,
[00:00:48.000 --> 00:01:00.000]  主持人:他到了印度教神學,過了幾年之後他回到英國,回到英國之後他在一間神學院繼續教神學,
[00:01:00.000 --> 00:01:14.000]  主持人:不過沒有人再稱呼他為宣教士,但是他的工作性質一點也沒有改變,究竟什麼是宣教呢?何謂宣教士呢?
[00:01:14.000 --> 00:01:25.000]  主持人:幾年前我有機會和一位神學院快要畢業的同學聊天,聊到他畢業之後他去哪裡侍奉,
[00:01:25.000 --> 00:01:35.000]  主持人:他說他會離開香港去一個創啟的地方,參與一間機構去做他的老本行,就是做會計的工作,
[00:01:35.000 --> 00:01:50.000]  主持人:他說有些人歸類他為宣教士,他就問我,原來我這樣叫做宣教,究竟我是跨境到海外的地方工作,
[00:01:50.000 --> 00:02:03.000]  主持人:還是我去參與一間機構的服務,還是我是一個宣教呢?根本分不清楚,何謂宣教,誰才是宣教士呢?
[00:02:03.000 --> 00:02:17.000]  主持人:我不知道你有沒有想過,你也是一個宣教士,因為我想不在乎我們做什麼,我們做什麼就是外在的,關鍵是我們生命的核心是什麼,
[00:02:17.000 --> 00:02:32.000]  主持人:我們願不願意回應上帝對我們整個群體,我們每一位宣教的呼召,以致我們去演繹上帝給我們一個真正基督徒的生命。
[00:02:32.000 --> 00:02:46.000]  主持人:剛才姊妹的分享裡面,我們也看到一些元素,就是宣教士不是一個人出去的,耶穌不是呼召我們一個人去,祂呼召我們整個群體去,
[00:02:46.000 --> 00:02:58.000]  主持人:所以即使是後勤的工作,是支援的工作,或者剛才姊妹提到,原來他這麼多年的專業裡面所學到的那些才幹技能,
[00:02:58.000 --> 00:03:05.000]  主持人:其實都是一些恩賜,就在工場上能夠用得著,能夠服侍上帝。
[00:03:05.000 --> 00:03:14.000]  主持人:我們剛才讀的經文,在《仕途行傳》一章四至八節,我想大家很熟悉這一段經文,
[00:03:14.000 --> 00:03:23.000]  主持人:想起《仕途行傳》,很自然就想起宣教,沒錯,不過你細心去讀《仕途行傳》的時候,
[00:03:23.000 --> 00:03:33.000]  主持人:你就會發現路加記錄的,其實是早期教會他們怎樣在耶穌升天之後,他們就按照耶穌的吩咐,
[00:03:33.000 --> 00:03:44.000]  主持人:他們在耶路撒冷那裡等候聖靈,然後聖靈就帶領他們去發展他們的群體,去發展這個教會的群體。
[00:03:44.000 --> 00:03:53.000]  主持人:所以《仕途行傳》寫的不是很狹窄的一種傳福音的觀念,而是一群跟隨耶穌基督的人,
[00:03:53.000 --> 00:04:02.000]  主持人:他們怎樣在耶穌離開之後,他們按照聖靈的帶領,他們繼續去過他們每一天的生活。
[00:04:02.000 --> 00:04:19.000]  主持人:所以在《仕途行傳》裡面,對那群門徒來說,生活就是信仰,生活就是宣教,宣教就是按照主的吩咐,聖靈的帶領,去他們所需要去的地方。
[00:04:19.000 --> 00:04:33.000]  主持人:在《仕途行傳》裡面也有他們要面對的環境,門徒在一個跟基督徒對立的環境當中,而且這群可謂無權無勢的人,
[00:04:33.000 --> 00:04:43.000]  主持人:《仕途行傳》說這群是沒有受過教育的小民,他們活在羅馬政權的管轄之下,
[00:04:43.000 --> 00:04:56.000]  主持人:他們當中發生的問題跟我們今天也很相似,你繼續讀保羅書信,說到教會裡面也有很多問題要處理,甚至有紛爭。
[00:04:56.000 --> 00:05:06.000]  主持人:在這樣的環境下,這群門徒他們要做的是用他們的生命來作見證,他們就是願意這樣做。
[00:05:06.000 --> 00:05:23.000]  主持人:他們當中甚至有人為主去殉道,日光之下無身事,他們就好像我們今天一樣,按照神在我們當中的帶領和吩咐,我們會經歷不同的事,
[00:05:23.000 --> 00:05:38.000]  主持人:我們會有個人不同的處境,就是神差我們去的崗位,家庭或工作崗位裡面,他們也會一起去經歷神在他們群體裡面的工作,
[00:05:38.000 --> 00:05:50.000]  主持人:好像我們當中會有宣教士出去,會有神學生出去,我們是一個團隊來的,所以宣教不是停留在一個你一個我去前線,
[00:05:50.000 --> 00:06:03.000]  主持人:而是後防,而是很多的配套同樣重要的,當我們一群人願意這樣做,一起去跟隨上帝,按照他的吩咐,
[00:06:03.000 --> 00:06:15.000]  主持人:我們就繼續在整個歷史裡面編寫上帝在天國裡面的故事,是門徒的行傳,是教會的行傳。
[00:06:15.000 --> 00:06:27.000]  主持人:在剛才讀到的經文裡面,在第六節,我們可以看到其實門徒他們一直都不明白上帝在歷史裡面的故事,
[00:06:27.000 --> 00:06:35.000]  主持人:在福音書裡面也是這樣,經常都是耶穌跟門徒說有關他要上十字架,有關天國的故事,
[00:06:35.000 --> 00:06:45.000]  主持人:但是門徒一直都不明白,來到這裡,他們還沒有明白,門徒就問耶穌,你要復興以色列國,是不是現在?
[00:06:45.000 --> 00:06:54.000]  主持人:他們仍然盼望著耶穌在地上成為一個君王,然後他們就是那群跟隨耶穌的人。
[00:06:54.000 --> 00:07:06.000]  主持人:我們發現由舊約到新約耶穌來到,直到今天,上帝在祂的百姓當中,繼續帶領我們,繼續更新我們的思維,
[00:07:06.000 --> 00:07:19.000]  主持人:開闊我們的視野,一直讓我們明白祂更多,所以由我們傳統很單一的宣教觀念,我們一直發展,一直被更新,
[00:07:19.000 --> 00:07:30.000]  主持人:直到今天有很多不同的模式出現,今天教會特別吩咐我講營商宣教,Business as Mission,
[00:07:30.000 --> 00:07:42.000]  主持人:宣教的確有很多的形態和方式,因為上帝就是這麼豐富,特別是祂在現今的世代,興起了這種模式,營商宣教。
[00:07:42.000 --> 00:07:56.000]  主持人:如果按照《仕途行傳》剛才給我們看到的圖畫,就是上帝在我們當中,通過我們很簡單的生活來見證祂的福音,
[00:07:56.000 --> 00:08:15.000]  主持人:如果是這樣,很自然的,每一個基督徒所經營的企業,都會有一個角度去演繹祂的福音,通過營商來見證耶穌基督。
[00:08:15.000 --> 00:08:27.000]  主持人:所以有一位牧師是這樣說的,有些人說營商宣教,Business as Mission,就是我們怎樣通過營商去做宣教的工作。
[00:08:27.000 --> 00:08:35.000]  主持人:他說這個是對生意人的侮辱,因為營商就是他的宣教使命,他的宣教使命就是上帝的國度。
[00:08:35.000 --> 00:08:45.000]  主持人:這位牧師用了一個比較極端的字眼,侮辱,但是他吸引了我們的注意力。
[00:08:45.000 --> 00:09:01.000]  主持人:究竟為什麼他這樣說呢?其實的確是每一個很自然的營商的基督徒,我們都應該在營商的過程中,很自然地參與拓展上帝的國度。
[00:09:01.000 --> 00:09:14.000]  主持人:所以我想問大家三個問題,究竟什麼是營商宣教呢?怎樣營商宣教呢?營商宣教真正的代價是什麼呢?
[00:09:14.000 --> 00:09:36.000]  主持人:什麼是營商宣教呢?在2004年,基督教樂喪組織了一個工作小組,開了一個會議。樂喪會議是一群來自不同國家的基督徒領袖坐在一起,對一些不同的觀念去討論和看法。
[00:09:36.000 --> 00:09:50.000]  主持人:他們出了一份研究報告,他們說差不多沒有可能為營商宣教作出一個很實質的定義,因為營商宣教的可能性實在太多了。
[00:09:50.000 --> 00:10:17.000]  主持人:不過他們說我們可能能夠做到的就是為營商宣教列出一些特點,讓我們能夠理解它多一點。他們列出了很多點,其中他們說營商宣教是基於天國的觀念,是經營一些天國的企業,那些企業是按照天國的價值觀,天國的邏輯秩序來經營的。
[00:10:17.000 --> 00:10:37.000]  主持人:而這個的確是近代開始的一個模式,它和其他模式都不同,它和以前的跡象棚或者我們那個業務只是為了遮蓋我們宣教的目的,那些種種的方法都不同的。
[00:10:47.000 --> 00:11:12.000]  主持人:營商的企業是要賺錢的,因為它是一個可持續的,一個要賺取盈利的企業。營商宣教是用很多不同的形態和規模來出現的,它不單單是為了創造就業機會或者財富,它最終的目的是要榮耀上帝。
