
[00:00:00.000 --> 00:00:07.200]  在生活上怎樣去體會我們去愛我們四周圍的朋友
[00:00:07.200 --> 00:00:08.520]  我們的鄰舍
[00:00:08.520 --> 00:00:11.200]  愛我們的弟兄姊妹
[00:00:11.200 --> 00:00:13.280]  但是這個作為一個界面
[00:00:13.280 --> 00:00:15.840]  作為一個律法給我們有很多的挑戰
[00:00:15.840 --> 00:00:18.320]  因為今天是一個什麼的世代呢?
[00:00:18.320 --> 00:00:21.840]  是一個「I」世代
[00:00:21.840 --> 00:00:24.120]  上網的時代
[00:00:24.120 --> 00:00:25.640]  「I」世代代表什麼呢?
[00:00:25.640 --> 00:00:27.600]  「I」即是我
[00:00:27.600 --> 00:00:30.040]  其實都是相關的
[00:00:30.040 --> 00:00:32.760]  是自我的年代
[00:00:32.760 --> 00:00:35.520]  任何事情都看我
[00:00:35.520 --> 00:00:38.240]  然後我們有一個分化的社會
[00:00:38.240 --> 00:00:41.640]  1月1日有沒有遊行?
[00:00:41.640 --> 00:00:43.480]  有人叫我去
[00:00:43.480 --> 00:00:44.640]  我就問
[00:00:44.640 --> 00:00:49.720]  你是叫我去撐糧還是倒糧呢?
[00:00:49.720 --> 00:00:51.920]  他就說撐我
[00:00:51.920 --> 00:00:53.560]  我去哪裡他就跟著我去哪裡
[00:00:53.560 --> 00:00:58.000]  嘩!我真是很開心有一個這樣的朋友
[00:00:58.000 --> 00:00:59.240]  終於我沒有去
[00:00:59.240 --> 00:01:00.960]  因為那天是很特別的日子
[00:01:00.960 --> 00:01:02.080]  我愛我太太
[00:01:02.080 --> 00:01:06.680]  那天是結婚紀念日
[00:01:06.680 --> 00:01:07.200]  沒有去
[00:01:07.200 --> 00:01:09.320]  但是這個世代是一個分化的世代
[00:01:09.320 --> 00:01:11.600]  敵對的族群
[00:01:11.600 --> 00:01:13.760]  人與人之間很多敵對
[00:01:13.760 --> 00:01:16.480]  很多彼此之間爭權奪利
[00:01:16.480 --> 00:01:17.760]  欣雀是奪權
[00:01:17.760 --> 00:01:20.280]  欣雀是要爭鬥
[00:01:20.280 --> 00:01:21.920]  就是敵對
[00:01:21.920 --> 00:01:23.560]  在這樣的情況下
[00:01:23.560 --> 00:01:25.560]  今天我們這本聖經怎樣去做呢?
[00:01:25.560 --> 00:01:27.600]  怎樣去實踐呢?
[00:01:27.600 --> 00:01:29.920]  這位文士來到耶穌面前
[00:01:29.920 --> 00:01:33.160]  在聖經有不同的記載
[00:01:33.160 --> 00:01:35.360]  都有一些文士走來刁難耶穌
[00:01:35.360 --> 00:01:38.880]  但是這位文士在記載裡沒有
[00:01:38.880 --> 00:01:41.400]  他真是想知道
[00:01:41.400 --> 00:01:43.200]  弟兄姊妹
[00:01:43.200 --> 00:01:46.320]  當我們看《摩西五經》的時候
[00:01:46.320 --> 00:01:51.160]  巴比倫的《撻勒穆書》裡面說到
[00:01:51.160 --> 00:01:55.560]  有關《摩西五經》的律法有多少條呢?
[00:01:55.560 --> 00:02:00.440]  他的統計是613條
[00:02:00.440 --> 00:02:02.160]  613條
[00:02:02.160 --> 00:02:04.040]  他就說
[00:02:04.040 --> 00:02:08.040]  其中一個希臘拉比就說
[00:02:08.040 --> 00:02:09.280]  他問
[00:02:09.280 --> 00:02:13.040]  一個總綱一個總結
[00:02:13.040 --> 00:02:14.640]  單腳站著的時間
[00:02:14.640 --> 00:02:15.880]  單腳站著的時間
[00:02:15.880 --> 00:02:17.920]  知不知道什麼叫單腳站著的時間
[00:02:17.920 --> 00:02:21.200]  單腳站著的時間即是站不久
[00:02:21.200 --> 00:02:24.400]  你可不可以很短的時間就告訴我
[00:02:24.400 --> 00:02:28.040]  這個總綱是什麼?
[00:02:28.040 --> 00:02:29.920]  英文翻譯出來
[00:02:29.920 --> 00:02:31.720]  翻譯出來就是
[00:02:31.720 --> 00:02:34.280]  己所不欲勿施於人
[00:02:34.280 --> 00:02:37.560]  和我們儒家的倫理很相近
[00:02:37.560 --> 00:02:38.440]  弟兄姊妹
[00:02:38.440 --> 00:02:40.840]  今天這個世代我們是很自我的
[00:02:40.840 --> 00:02:43.280]  不是很顧人的
[00:02:43.280 --> 00:02:44.960]  我們在這個社會裡面
[00:02:44.960 --> 00:02:47.040]  我們很容易分化的
[00:02:47.040 --> 00:02:48.080]  所以你去上水
[00:02:48.080 --> 00:02:49.040]  有些人就會跟你說
[00:02:49.040 --> 00:02:51.480]  我會光復上水
[00:02:51.480 --> 00:02:54.560]  有少少兩極的作用
[00:02:54.560 --> 00:02:57.160]  漸漸要光復大埔
[00:02:57.160 --> 00:02:58.200]  有沒有人住在沙田?
[00:02:58.200 --> 00:02:59.720]  要光復沙田
[00:02:59.720 --> 00:03:01.920]  如果我們遲些西區多些人住
[00:03:01.920 --> 00:03:07.720]  我們要多些外地來的居民
[00:03:07.720 --> 00:03:09.160]  要來這裡藥房買東西
[00:03:09.160 --> 00:03:11.200]  去到這個地方買的時候
[00:03:11.200 --> 00:03:13.680]  我們就要光復西環
[00:03:13.680 --> 00:03:14.960]  我們是不是這樣呢?
[00:03:14.960 --> 00:03:19.720]  原來這個世代是一個兩極的世界
[00:03:19.720 --> 00:03:25.880]  所以我們會說一些人是蝗蟲
[00:03:25.880 --> 00:03:28.000]  都是我們的同胞
