
[00:00:00.000 --> 00:00:06.000]  親愛的兄弟妹妹們,平安!請我們一起低頭祈禱!
[00:00:06.000 --> 00:00:15.000]  多謝你們的恩典,證明我們有主的清神,可以一起來敬拜您,來思想您的說話。
[00:00:15.000 --> 00:00:22.000]  我們求聖靈保守帶領我們,讓我們說的講得清楚,聽的也完全明白,
[00:00:22.000 --> 00:00:28.000]  知道我們如何可以將主的教訓實踐在我們的生活當中。
[00:00:28.000 --> 00:00:40.000]  我們恭敬將有時間交在主的手中,求聖靈與我們同在帶領我們,奉主耶穌基督的名祈禱,阿們!
[00:00:40.000 --> 00:00:44.000]  今天我們繼續看《馬可福音》。
[00:00:44.000 --> 00:00:48.000]  《馬可福音》一共有十六章經文,
[00:00:48.000 --> 00:00:58.000]  作者馬可從第十一章開始記載耶穌進入耶路撒冷。
[00:00:58.000 --> 00:01:12.000]  而從這章開始到第十六章,記載耶穌在耶路撒冷的時間,其實只有大約一個星期。
[00:01:12.000 --> 00:01:18.000]  馬可確實用了六章經文記載這七天所發生的事,
[00:01:18.000 --> 00:01:25.000]  而用了前面十章經文記載耶穌前三年的侍奉。
[00:01:25.000 --> 00:01:35.000]  可見作者馬可認為耶穌生命的高峰,就是在祂生命的最後一個星期。
[00:01:35.000 --> 00:01:44.000]  更加是希望讀者了解耶穌的身份,以及祂為人類完成的救贖,
[00:01:44.000 --> 00:01:48.000]  那就是福音的重點。
[00:01:48.000 --> 00:01:51.000]  作者一開始的時候就說:
[00:01:51.000 --> 00:01:57.000]  「上帝的兒子耶穌基督福音的起頭」
[00:01:57.000 --> 00:01:59.000]  開始的時候是福音的起頭,
[00:01:59.000 --> 00:02:03.000]  結尾的時候是不是福音的完結呢?
[00:02:03.000 --> 00:02:09.000]  這倒不是,而是福音的完成。
[00:02:09.000 --> 00:02:11.000]  福音是什麼呢?
[00:02:11.000 --> 00:02:16.000]  福音就是認識耶穌是上帝的兒子,
[00:02:16.000 --> 00:02:21.000]  就是上帝在舊約中應許的微賽亞。
[00:02:21.000 --> 00:02:26.000]  就是「只要人願意丟下魚網」
[00:02:26.000 --> 00:02:36.000]  魚網當然是一個象徵,代表我們職業生活的依靠,或者甚至是我們謀生的工具。
[00:02:36.000 --> 00:02:40.000]  「只要人願意丟下魚網」
[00:02:40.000 --> 00:02:47.000]  這樣的人就可以獲得更有意義的生命,是有永恆價值的生命。
[00:02:47.000 --> 00:02:54.000]  簡單說就是「今世得百倍,來世得永生」。
[00:02:54.000 --> 00:02:58.000]  好,未看今天的經文之前,
[00:02:58.000 --> 00:03:01.000]  我簡單說說跳過了的經文。
[00:03:01.000 --> 00:03:05.000]  上個星期說的是十一章一到十九節,
[00:03:05.000 --> 00:03:11.000]  是主耶穌入耶路撒冷頭兩天發生的事。
[00:03:11.000 --> 00:03:15.000]  十一章二十節開始就是第三天。
[00:03:15.000 --> 00:03:18.000]  由於在十一章十八節說:
[00:03:18.000 --> 00:03:21.000]  「祭司長和經學教師聽見者說,
[00:03:21.000 --> 00:03:26.000]  就想法子要殺害耶穌。」
[00:03:26.000 --> 00:03:36.000]  在二十七節開始,就看見祭司長一幫人去挑戰耶穌的主權、權兵。
[00:03:36.000 --> 00:03:41.000]  他們提出的質詢,很輕易被主耶穌拆解了。
[00:03:41.000 --> 00:03:45.000]  之後在十二章十三節開始,
[00:03:45.000 --> 00:03:50.000]  那幫人又派法理賽人和虛弱黨人去見耶穌,
[00:03:50.000 --> 00:03:54.000]  企圖用一些宗教和法律上的問題,
[00:03:54.000 --> 00:03:57.000]  希望使耶穌回答的時候,
[00:03:57.000 --> 00:04:03.000]  觸犯了羅馬的法律,或者是得罪群眾。
[00:04:03.000 --> 00:04:10.000]  這樣他們就可以合法、合情、合理地去逮捕耶穌。
[00:04:10.000 --> 00:04:12.000]  結果怎樣呢?
[00:04:12.000 --> 00:04:15.000]  他們一連出了三招,
[00:04:15.000 --> 00:04:23.000]  三個回合之後他們提出的古惑問題,全部被耶穌破解了。
[00:04:23.000 --> 00:04:28.000]  然後在十二章三十四節就說:
[00:04:28.000 --> 00:04:34.000]  「從此以後,沒有人敢再問他什麼。」
[00:04:34.000 --> 00:04:39.000]  接著就來到我們今天要思想的經文,
[00:04:39.000 --> 00:04:47.000]  仍然是發生在耶穌進經後的第三天。
[00:04:47.000 --> 00:04:52.000]  十二章三十五節到三十七節,
[00:04:52.000 --> 00:04:56.000]  就是耶穌反問那些熟悉聖經的專家。
[00:04:56.000 --> 00:05:01.000]  聖經稱他們為「問事」。
[00:05:01.000 --> 00:05:08.000]  耶穌問的一條問題,是有關解釋聖經的問題。
[00:05:08.000 --> 00:05:13.000]  他所引用的經文是來自詩篇一百一十篇,
[00:05:13.000 --> 00:05:18.000]  說到基督是大衛的子孫。
[00:05:18.000 --> 00:05:26.000]  我留意到作者已經是第三次提到耶穌是大衛的子孫。
[00:05:26.000 --> 00:05:29.000]  第一次是在十章四十七節,
[00:05:29.000 --> 00:05:38.000]  他藉著盲人巴底馬呼喊:「大衛之子耶穌,可憐我吧!」
[00:05:38.000 --> 00:05:48.000]  第二次是藉著群眾在耶穌歧路進入耶路撒冷的時候歡呼:
[00:05:48.000 --> 00:05:53.000]  「那將要來的我做大衛之國,是應當稱重的!」
[00:05:53.000 --> 00:06:00.000]  也就是說耶穌是大衛的子孫,會帶來大衛之國。
[00:06:00.000 --> 00:06:05.000]  那為什麼耶穌是大衛的子孫那麼重要呢?
[00:06:05.000 --> 00:06:10.000]  認識耶穌是彌賽亞,是基督還不夠嗎?
[00:06:10.000 --> 00:06:14.000]  在今天的經文十二章三十五節就有答案了。
[00:06:14.000 --> 00:06:22.000]  耶穌開始問律法師問題之前說:「問事怎麼說基督是大衛的後裔呢?」
[00:06:22.000 --> 00:06:25.000]  問事是舊約的聖經傳教。
[00:06:25.000 --> 00:06:29.000]  當他們讀舊約的時候,其實他們知道的。
[00:06:29.000 --> 00:06:34.000]  上帝答應了是要派一位舊主彌賽亞降世的。
[00:06:34.000 --> 00:06:42.000]  而他們也知道彌賽亞一定是大衛的後裔,為什麼呢?
[00:06:42.000 --> 00:06:45.000]  上個星期我已經和大家分享過了,
[00:06:45.000 --> 00:06:49.000]  就是由於上帝和大衛所立的約。
