
[00:00:00.000 --> 00:00:04.000]  「萬君之耶和華,您的居所何等可愛?
[00:00:04.000 --> 00:00:08.000]  我羨慕、渴想耶和華的婉譽。」
[00:00:08.000 --> 00:00:10.480]  這篇詩篇表達了詩人渴望
[00:00:10.480 --> 00:00:14.000]  去到上帝的殿裏敬拜祂的心情
[00:00:14.000 --> 00:00:16.640]  為了減低疫情擴散的風險
[00:00:16.640 --> 00:00:20.320]  教會暫時取消了現場實體的採訪
[00:00:20.320 --> 00:00:22.320]  以慰動「萬君之耶和華」
[00:00:22.320 --> 00:00:23.280]  以慰動「萬君之耶和華」
[00:00:23.280 --> 00:00:24.560]  以慰動「萬君之耶和華」
[00:00:24.560 --> 00:00:25.600]  以慰動「萬君之耶和華」
[00:00:25.600 --> 00:00:26.880]  以慰動「萬君之耶和華」
[00:00:26.880 --> 00:00:28.080]  以慰動「萬君之耶和華」
[00:00:28.080 --> 00:00:29.040]  以慰動「萬君之耶和華」
[00:00:29.040 --> 00:00:30.080]  以慰動「萬君之耶和華」
[00:00:30.080 --> 00:00:31.040]  以慰動「萬君之耶和華」
[00:00:31.040 --> 00:00:32.160]  以慰動「萬君之耶和華」
[00:00:32.160 --> 00:00:33.120]  以慰動「萬君之耶和華」
[00:00:33.120 --> 00:00:34.160]  以慰動「萬君之耶和華」
[00:00:34.160 --> 00:00:35.120]  以慰動「萬君之耶和華」
[00:00:35.120 --> 00:00:36.080]  以慰動「萬君之耶和華」
[00:00:36.080 --> 00:00:37.120]  以慰動「萬君之耶和華」
[00:00:37.120 --> 00:00:38.080]  以慰動「萬君之耶和華」
[00:00:38.080 --> 00:00:39.120]  以慰動「萬君之耶和華」
[00:00:39.120 --> 00:00:40.080]  以慰動「萬君之耶和華」
[00:00:40.080 --> 00:00:41.120]  以慰動「萬君之耶和華」
[00:00:41.120 --> 00:00:43.120]  以慰動「萬君之耶和華」
[00:00:43.120 --> 00:00:45.120]  以慰動「萬君之耶和華」
[00:00:45.120 --> 00:00:59.120]  我們在崇拜之前要有好的預備
[00:00:59.120 --> 00:01:01.120]  在一個地方裡面
[00:01:01.120 --> 00:01:03.120]  盡量將一些分散我們集中的事物
[00:01:03.120 --> 00:01:05.120]  比如食物、雜誌
[00:01:05.120 --> 00:01:07.120]  或者你一些玩具
[00:01:07.120 --> 00:01:09.120]  擺在你看不到的地方
[00:01:09.120 --> 00:01:11.120]  第一點就是你那些收聽
[00:01:11.120 --> 00:01:13.120]  或者收看的設備
[00:01:13.120 --> 00:01:15.120]  收聽得清不清楚
[00:01:15.120 --> 00:01:17.120]  聲量夠不夠大聲
[00:01:17.120 --> 00:01:19.120]  或者有沒有足夠的電量
[00:01:19.120 --> 00:01:21.120]  去維持整個崇拜的時間
[00:01:21.120 --> 00:01:23.120]  第三方面就是要預備好自己的心
[00:01:23.120 --> 00:01:25.120]  無論你一個人
[00:01:25.120 --> 00:01:27.120]  或者一家人在崇拜
[00:01:27.120 --> 00:01:29.120]  不要好像在收看一個電視節目
[00:01:29.120 --> 00:01:31.120]  整個崇拜都要坐定
[00:01:31.120 --> 00:01:33.120]  不要四圍走
[00:01:33.120 --> 00:01:35.120]  好像我們平時崇拜
[00:01:35.120 --> 00:01:37.120]  很投入地參與唱詩
[00:01:37.120 --> 00:01:39.120]  讀經、祈禱
[00:01:39.120 --> 00:01:41.120]  這些項目
[00:01:41.120 --> 00:01:43.120]  去敬拜祂
[00:01:43.120 --> 00:01:45.120]  就好像神學家齊一果所形容
[00:01:45.120 --> 00:01:47.120]  崇拜就是一台戲
[00:01:47.120 --> 00:01:49.120]  我們每一個人都有份參與
[00:01:49.120 --> 00:01:51.120]  這台戲的演出
[00:01:51.120 --> 00:01:53.120]  上帝是唯一的觀眾
