
[00:00:00.000 --> 00:00:02.760]  請祈禱平安!我們一同祈禱!
[00:00:02.760 --> 00:00:24.000]  再次感謝您的恩典,讓我們在主的聖神開一同來敬拜祢,思想祢的話語,我們求聖靈幫助我們,明白祢的話語是我們生活力量的泉源,幫助我們願意學習,謹記在心裡面並且在日常生活中實踐出來,奉耶穌基督的名義祈禱!
[00:00:24.000 --> 00:00:36.000]  今天我們繼續尋找力量之源的系列講道,要跟大家說想神的話,是我們力量之源!
[00:00:36.000 --> 00:00:45.000]  我想先問一下大家,在什麼情況之下,你會特別想聽到上帝的話呢?
[00:00:45.000 --> 00:00:54.000]  或者可以換另一個問法,就是在什麼時候,我們不是很想聽到上帝的話呢?
[00:00:54.000 --> 00:01:03.000]  或者什麼時候,我們無所謂,聽不聽到也無所謂,不要緊的!
[00:01:03.000 --> 00:01:14.000]  我自己先這樣回答,如果我在很開心的時候,真的無所謂,聽不聽到上帝的話了!
[00:01:14.000 --> 00:01:24.000]  參加開心的宴會,收到老闆買菜,升職加薪,或者兒女高考成績,幾乎滿分!
[00:01:24.000 --> 00:01:30.000]  在這麼開心的時候,上帝有沒有話跟我說,不是很重要的!
[00:01:30.000 --> 00:01:38.000]  而當我們想犯罪的時候,就盡不想聽到上帝的話!
[00:01:38.000 --> 00:01:48.000]  我都記得曾經有位弟兄讀到《詩篇》第139篇,弟兄說:「你前後環繞我,按守在我身上。」
[00:01:48.000 --> 00:01:52.000]  那位弟兄覺得這句話真的不太適合聽!
[00:01:52.000 --> 00:01:59.000]  「上帝管我這麼嚴,一分一秒都不肯放我,我怎麼行呢?真是毫無自由!」
[00:01:59.000 --> 00:02:06.000]  其實私人的意思是講道上帝對他的保護!
[00:02:06.000 --> 00:02:13.000]  所以第139篇第10節說:「你的手必引導我,你的右手也必扶持我。」
[00:02:13.000 --> 00:02:24.000]  在接觸這篇詩篇之前,也大膽對上帝說:「上帝,求你監察我,知道我的心思。
[00:02:24.000 --> 00:02:33.000]  思念我知道我的意念,看在我裡面有什麼惡行沒有,引導我走永生的道路。」
[00:02:33.000 --> 00:02:45.000]  我相信只要當我們很想做一些壞事的時候,就不想上帝在我們身邊,也不要跟我說話,不要叫我不要做!
[00:02:45.000 --> 00:02:50.000]  那我什麼時候最想聽到上帝的話呢?
[00:02:50.000 --> 00:02:59.000]  我想是當我們沒有信心的時候,感覺到前路茫茫的時候,或者我們人生遭遇到重大挫折的時候,
[00:02:59.000 --> 00:03:04.000]  我們真的很想聽到上帝跟我們說話。
[00:03:04.000 --> 00:03:13.000]  然後我們看看聖經中記載的幾次上帝向人說的話,留意一下那個人是什麼情況呢?
[00:03:13.000 --> 00:03:17.000]  在《創世紀》15章1至3條這樣說:
[00:03:17.000 --> 00:03:29.000]  「這些事以後如我所想,臨到阿伯蘭說:「阿伯蘭,不要懼怕,我是你的信徒,你必得豐富的賞賜。」
[00:03:29.000 --> 00:03:42.000]  阿伯蘭說:「主耶和華,我還沒有兒子,你能賜我什麼呢?承受我家業的自大馬士革人以利以謝。」
[00:03:42.000 --> 00:03:51.000]  阿伯蘭又說:「漢,你沒有給我後寺,你看,生在我家中的人要繼承我。」
[00:03:51.000 --> 00:03:58.000]  那個時候阿伯蘭已經在迦蘭地住了十年的時間。
[00:03:58.000 --> 00:04:05.000]  換句話說,他信了上帝的應許離開家鄉已經十年了。
[00:04:05.000 --> 00:04:11.000]  上帝答應他要給他一個兒子,但十年都還沒有應驗。
[00:04:11.000 --> 00:04:21.000]  阿伯蘭的信心開始動搖,也可能由於他和他太太的年紀漸漸老,老了十年了。
[00:04:21.000 --> 00:04:34.000]  想到自己死後的遺產,只能留給一位僕人,一位外人,一位跟自己毫無血緣關係的人。
[00:04:34.000 --> 00:04:47.000]  上帝就在那個時候向他講話,讓他應許,並且跟他立約,建立阿伯蘭的信心。
[00:04:47.000 --> 00:04:53.000]  在另外一個人的情況下,在《創世紀》二十八章十三節,
