
[00:00:00.000 --> 00:00:03.320]  好,神師伯,讓我們在聆聽主的說話
[00:00:03.320 --> 00:00:05.720]  以先讓我們一起再次藉著禱告
[00:00:05.720 --> 00:00:07.960]  將我們心思意念交給我們主的神
[00:00:07.960 --> 00:00:10.120]  讓我們一起同心低頭禱告
[00:00:10.120 --> 00:00:14.360]  父神,多謝祢
[00:00:14.360 --> 00:00:16.560]  祢讓我們有生命
[00:00:16.560 --> 00:00:18.520]  讓我們活在地上
[00:00:18.520 --> 00:00:21.840]  讓我們經歷祢的創造
[00:00:21.840 --> 00:00:25.320]  而更加能夠讓我們有機會
[00:00:25.320 --> 00:00:28.680]  打開祢親身的說話與啟示
[00:00:29.520 --> 00:00:31.760]  讓我們可以知道如何
[00:00:31.760 --> 00:00:34.240]  預備在這個永恆的當中與祢同活
[00:00:34.240 --> 00:00:35.280]  我們獻上感恩
[00:00:35.280 --> 00:00:38.200]  求主祢的帶領
[00:00:38.200 --> 00:00:40.760]  讓我們每一個屬祢的兒女
[00:00:40.760 --> 00:00:43.080]  能夠在崇拜的裡面
[00:00:43.080 --> 00:00:45.720]  藉著祢的啟迪
[00:00:45.720 --> 00:00:49.200]  能夠明白我們所在這個地上
[00:00:49.200 --> 00:00:53.120]  所當作的職份、角色
[00:00:53.120 --> 00:00:55.560]  以及如何能夠在當中
[00:00:55.560 --> 00:00:58.280]  將上帝祢的榮耀譴明出來
[00:00:59.080 --> 00:01:00.040]  求祢的幫助
[00:01:00.040 --> 00:01:03.120]  讓無論是說的、聽的
[00:01:03.120 --> 00:01:06.720]  都同樣在這段時間裡面同蒙恩福
[00:01:06.720 --> 00:01:08.320]  我們的禱告
[00:01:08.320 --> 00:01:09.560]  感恩、奉扣
[00:01:09.560 --> 00:01:11.680]  主耶穌基督特聖的名字以求
[00:01:11.680 --> 00:01:12.440]  阿們
[00:01:12.440 --> 00:01:16.440]  中國人有一句說話
[00:01:16.440 --> 00:01:19.920]  叫做「教曉徒弟無師父」
[00:01:19.920 --> 00:01:20.600]  有沒有聽過?
[00:01:20.600 --> 00:01:26.080]  這句說話通常從以前來看
[00:01:26.080 --> 00:01:28.760]  就是講一些人打功夫
[00:01:28.760 --> 00:01:31.200]  在武館裡面
[00:01:31.200 --> 00:01:33.640]  因為師父很害怕
