
[00:00:00.000 --> 00:00:04.160]  我們讀一節的聖經在《題目太后書》第四章第二節
[00:00:04.160 --> 00:00:06.800]  只有一節的聖經我們一同來唸來
[00:00:06.800 --> 00:00:10.120]  物要傳道 無論得時不得時
[00:00:10.120 --> 00:00:12.960]  總要專心 並用百般的忍耐
[00:00:12.960 --> 00:00:16.680]  各樣的教訓 責備人 警戒人 勸勉人
[00:00:16.680 --> 00:00:17.640]  我們就讀到這裏
[00:00:17.640 --> 00:00:20.240]  今天當你進來的時候
[00:00:20.240 --> 00:00:24.960]  拿到一份最新的《生命和宣教職堂》的地圖
[00:00:24.960 --> 00:00:26.520]  你可以現在打開來
[00:00:26.520 --> 00:00:27.960]  我稍微解釋一下
[00:00:27.960 --> 00:00:32.720]  讓你更加明白這個地圖裏面的數字是什麼含義
[00:00:32.720 --> 00:00:37.480]  打開來裏面這個地圖這一面
[00:00:37.480 --> 00:00:41.960]  你看見有一些黑色的字跟黑色的數字
[00:00:41.960 --> 00:00:48.080]  這就是代表我們在這些國家裏面所有的分堂數目
[00:00:48.080 --> 00:00:49.920]  所以如果你看最右上方
[00:00:49.920 --> 00:00:51.880]  直接看最右邊就是印度
[00:00:51.880 --> 00:00:53.560]  印度上面有03
[00:00:53.560 --> 00:00:57.800]  這就表示我們在印度有3000的分堂
[00:00:58.360 --> 00:01:01.880]  另外在這個地圖上也有紅色的數字
[00:01:01.880 --> 00:01:03.920]  紅色的數字
[00:01:03.920 --> 00:01:08.000]  譬如說你在最中間就看見有個10在那個地方
[00:01:08.000 --> 00:01:09.560]  這個代表什麼意思呢
[00:01:09.560 --> 00:01:14.240]  紅色的數字是代表我們教會所支持的宣教士
[00:01:14.240 --> 00:01:16.080]  以及宣教機構
[00:01:16.080 --> 00:01:18.720]  我怎麼知道這個10代表什麼呢
[00:01:18.720 --> 00:01:19.960]  你翻到後頁
[00:01:19.960 --> 00:01:22.520]  後頁就有一個系列
[00:01:23.040 --> 00:01:28.480]  整排的宣教基金支持的機構跟宣教士一共有25個單位
[00:01:28.480 --> 00:01:30.600]  就看10是什麼呢
[00:01:30.600 --> 00:01:35.680]  10就是萬國主家步道團的伊拉克的侍功
[00:01:35.680 --> 00:01:37.120]  所以你就一目瞭然了
[00:01:37.120 --> 00:01:41.360]  回過頭來你就看原來每一個數字是有它的意思
[00:01:41.360 --> 00:01:43.320]  你可以知道怎麼去對照
[00:01:43.320 --> 00:01:48.160]  最後你翻到最後在後面有一個背葉
[00:01:48.160 --> 00:01:50.280]  有一個紫色的框框
[00:01:50.720 --> 00:01:53.080]  這個最新的統計數字
[00:01:53.080 --> 00:01:57.000]  那上面就講到我們現在目前爲止在全世界
[00:01:57.000 --> 00:02:02.240]  六大洋洲三十二個國家已經建立了292間分堂
[00:02:02.240 --> 00:02:03.800]  好了 呂亞江 榮耀貴給我們的聲音
[00:02:03.800 --> 00:02:08.520]  這是最新的update
[00:02:08.520 --> 00:02:10.080]  明天如何就不知道
[00:02:10.080 --> 00:02:12.360]  今天的update是如此
[00:02:12.360 --> 00:02:13.520]  希望你知道
[00:02:13.520 --> 00:02:17.080]  因爲我發現每一次我們講的很多人都記不清楚
[00:02:17.080 --> 00:02:18.000]  講的都不大一樣
[00:02:18.000 --> 00:02:19.280]  這是最正確的
[00:02:19.280 --> 00:02:19.760]  OK
[00:02:20.280 --> 00:02:23.000]  三十二個國家292間分堂
[00:02:23.000 --> 00:02:24.960]  跟你們說三十二個國家292間分堂
[00:02:24.960 --> 00:02:25.960]  跟他說一遍來
[00:02:25.960 --> 00:02:34.240]  我想這些年神怎麼樣信實的帶領我們走上
[00:02:34.240 --> 00:02:38.680]  我叫做這是一條宣教執堂的不歸路
[00:02:38.680 --> 00:02:40.920]  在開始的時候
[00:02:40.920 --> 00:02:43.040]  神只是給我們一個意念
[00:02:43.040 --> 00:02:45.960]  生命河要流向萬國萬民
[00:02:45.960 --> 00:02:48.240]  但要怎麼流
[00:02:48.240 --> 00:02:49.680]  流到哪裏
