
[00:00:00.000 --> 00:00:02.480]  (主席) 請見慰平安
[00:00:02.480 --> 00:00:05.440]  (主席) 我不知道大家有沒有試過去飲茶呢
[00:00:05.440 --> 00:00:07.080]  (主席) 很多時呢 叫極啲waiter
[00:00:07.080 --> 00:00:10.000]  (主席) 猛喺度入手佢哋都唔睬你呀係咪
[00:00:10.000 --> 00:00:11.680]  (主席) 好似見唔到你咁樣
[00:00:11.680 --> 00:00:13.200]  (主席) 我都見有一兩次呢
[00:00:13.200 --> 00:00:16.120]  (主席) 就係猛喺度入呀 叫個waiter埋嚟
[00:00:16.120 --> 00:00:18.320]  (主席) 入入入 佢都唔睬我喎
[00:00:18.320 --> 00:00:20.480]  (主席) 到啦邊我發覺呢 原來我搞錯咗
[00:00:20.480 --> 00:00:24.600]  (主席) 佢係著得似waiter啫 佢唔係waiter嚟嘅
[00:00:24.600 --> 00:00:28.600]  (主席) 我諗有時我哋著成點呢 都代表我哋嘅身份嘅喎係咪呀
[00:00:28.600 --> 00:00:31.320]  (主席) 即係你著 著出嚟呢人哋就會估你
[00:00:31.320 --> 00:00:33.520]  (主席) 如果特別你喺某一個場合啦
[00:00:33.520 --> 00:00:38.680]  (主席) 我諗即係如果喺餐廳你著得似waiter俾人哋誤會呢
[00:00:38.680 --> 00:00:40.600]  (主席) 咁都唔係一件好大件嘅事呀
[00:00:40.600 --> 00:00:42.840]  (主席) 但係如果你係喺戰場上面呢
[00:00:42.840 --> 00:00:47.000]  (主席) 你俾人誤會咗俾你自己嘅隊友
[00:00:47.000 --> 00:00:49.720]  (主席) 以為你係敵兵呢咁咪啦係咪
[00:00:49.720 --> 00:00:57.480]  (主席) 咁所以呢 譬如我哋頭先所讀嘅經文呢 講到係神所賜嘅全副軍裝呀
[00:00:57.480 --> 00:01:01.080]  (主席) 係神所賜呀 既然係神所賜呢
[00:01:01.080 --> 00:01:03.000]  (主席) 呢個軍隊係屬於神嘅
[00:01:03.000 --> 00:01:10.600]  (主席) 呢個軍裝呢係代表咗個身份呀 呢個身份係屬於神嘅
[00:01:10.600 --> 00:01:17.320]  (主席) 制服係代表咗個身份 穿上軍裝特別穿上屬神嘅軍裝呢
[00:01:17.320 --> 00:01:20.200]  (主席) 我哋係屬於神嗰方面嘅
[00:01:20.200 --> 00:01:24.520]  (主席) 其實呢喺成卷嘅已不鎖書裏面呢
[00:01:24.520 --> 00:01:26.760]  (主席) 保羅都喺度講緊一個身份呀
