
[00:00:00.000 --> 00:00:02.000]  (主席)各位聽眾早安
[00:00:02.000 --> 00:00:06.000]  一節大家熟悉的經文
[00:00:06.000 --> 00:00:08.000]  但亦是我們本月的金句
[00:00:08.000 --> 00:00:16.000]  我們嘗試放下我們之前看過的、認識的、思想過的、重新的
[00:00:16.000 --> 00:00:20.000]  從這段經文裏面一齊思考
[00:00:20.000 --> 00:00:25.000]  在引言裏我寫了幾個字「絕無同級」
[00:00:25.000 --> 00:00:30.000]  其實這幾個字在其他地方是沒有甚麼機會看到的
[00:00:30.000 --> 00:00:36.000]  你比較容易見到或多見到這四個字的用法
[00:00:36.000 --> 00:00:40.000]  就是在一些旅行團的單張裏面
[00:00:40.000 --> 00:00:43.000]  通常說的行程是去哪裏去哪裏
[00:00:43.000 --> 00:00:45.000]  住哪間酒店
[00:00:45.000 --> 00:00:49.000]  通常那間酒店應該是好的
[00:00:49.000 --> 00:00:55.000]  甚至可能你付的錢多一點應該是最好的那間
[00:00:55.000 --> 00:00:59.000]  以前有些問題出現了
[00:00:59.000 --> 00:01:04.000]  所以有些旅行團的單張寫著
[00:01:04.000 --> 00:01:07.000]  某某酒店或同級
[00:01:07.000 --> 00:01:13.000]  或同級即是說未必是那間
[00:01:13.000 --> 00:01:16.000]  有時同不同級是很難說的
[00:01:16.000 --> 00:01:20.000]  即是安排的是同級但你自己覺得不同級
[00:01:20.000 --> 00:01:25.000]  如果你去杜拜有沒有畫同級的
[00:01:25.000 --> 00:01:27.000]  即是那間就是那間
[00:01:27.000 --> 00:01:30.000]  你渴望去那間付很多錢就去那間
[00:01:30.000 --> 00:01:34.000]  所以後來有些旅行團寫著
[00:01:34.000 --> 00:01:37.000]  絕對沒有同級的就是那間
[00:01:37.000 --> 00:01:40.000]  即是不會有魚目混珠的
[00:01:40.000 --> 00:01:42.000]  沒有同級這件事的
[00:01:42.000 --> 00:01:45.000]  同級即是不一樣
[00:01:45.000 --> 00:01:47.000]  根本就不是那間
[00:01:47.000 --> 00:01:52.000]  在這段經文裏面
[00:01:52.000 --> 00:01:56.000]  文士問耶穌一個問題
[00:01:56.000 --> 00:02:00.000]  他說在這麼多的誡命裏面
[00:02:00.000 --> 00:02:04.000]  哪一條是最大的呢
[00:02:04.000 --> 00:02:10.000]  耶穌的答案如果是用我們今天在香港考試的準則
[00:02:10.000 --> 00:02:12.000]  應該要扣分的
[00:02:12.000 --> 00:02:15.000]  你讀了那段經文就知道了耶穌怎樣回答這個問題
[00:02:15.000 --> 00:02:18.000]  第一就是愛神
[00:02:18.000 --> 00:02:21.000]  第二就是相仿
[00:02:21.000 --> 00:02:23.000]  其次就是愛人如己
[00:02:23.000 --> 00:02:26.000]  他問你哪一條最大
[00:02:26.000 --> 00:02:28.000]  你答了兩條
[00:02:28.000 --> 00:02:31.000]  考試可能就不太合格
[00:02:31.000 --> 00:02:33.000]  如果你說我現在都不用考試
[00:02:33.000 --> 00:02:35.000]  我們從另一個地方去想想
[00:02:35.000 --> 00:02:43.000]  如果你老婆、太太、女朋友來問你
[00:02:43.000 --> 00:02:45.000]  很老套的兩條問題
[00:02:45.000 --> 00:02:48.000]  第一條問題就是我和我媽掉進水裏救誰
[00:02:48.000 --> 00:02:49.000]  誰比較重要
[00:02:49.000 --> 00:02:50.000]  兩個都重要
[00:02:50.000 --> 00:02:51.000]  那你死定了
[00:02:51.000 --> 00:02:54.000]  答兩個都重要當然不行
[00:02:54.000 --> 00:02:57.000]  或者當你太太或者女朋友
[00:02:57.000 --> 00:02:59.000]  在一間時裝店裡
[00:02:59.000 --> 00:03:03.000]  硬硬的手裏拿著一大堆的衣服
[00:03:03.000 --> 00:03:07.000]  每五條都有三條四條的裙
[00:03:07.000 --> 00:03:10.000]  問你哪條最好哪條比較好
[00:03:10.000 --> 00:03:13.000]  第一如果你說每條差不多
[00:03:13.000 --> 00:03:14.000]  你就死定了
[00:03:14.000 --> 00:03:17.000]  你說這條多好
[00:03:17.000 --> 00:03:18.000]  這條也差不多
[00:03:18.000 --> 00:03:22.000]  他不是要你問哪兩條差不多
[00:03:22.000 --> 00:03:24.000]  他是要你究竟哪條最好
[00:03:24.000 --> 00:03:26.000]  你要選一個
[00:03:26.000 --> 00:03:30.000]  你不是給一個答案是不行的
[00:03:30.000 --> 00:03:32.000]  在這裏耶穌給民事的答案
[00:03:32.000 --> 00:03:34.000]  第一條當然是要愛神
[00:03:34.000 --> 00:03:37.000]  盡心盡性盡意盡力愛上帝愛神
[00:03:37.000 --> 00:03:39.000]  其次也相仿
[00:03:39.000 --> 00:03:40.000]  在馬太福音就說
[00:03:40.000 --> 00:03:42.000]  其次也相仿
[00:03:42.000 --> 00:03:45.000]  馬可這裏就沒有相仿這個說法
[00:03:45.000 --> 00:03:47.000]  不過意思一樣
[00:03:47.000 --> 00:03:49.000]  第二或者其次
[00:03:49.000 --> 00:03:51.000]  也是差不多
[00:03:51.000 --> 00:03:55.000]  就是要愛人如己
