
[00:00:00.000 --> 00:00:05.140]  講了一點之後,我想回到我們今年這個「合一主人」
[00:00:05.140 --> 00:00:11.400]  秦道會理會很特別,我們這幾年都是嘗試與不同的宗派交換講壇
[00:00:11.400 --> 00:00:17.000]  以致我們能夠彼此溝通,能夠在信息裏合一
[00:00:17.000 --> 00:00:23.200]  再次感謝同工邀請,實際上我想有很多信心,很多接納在裏面
[00:00:23.200 --> 00:00:26.500]  很重要的,因為主一崇拜是一個很合一的地方
[00:00:26.500 --> 00:00:29.900]  在堂會裏面也是很合一的地方,你想想
[00:00:29.900 --> 00:00:33.000]  來自不同的小組,或者你沒有小組
[00:00:33.000 --> 00:00:37.500]  今天就在這個地方唱同一首詩歌,聽同一篇道
[00:00:37.500 --> 00:00:40.800]  讀同一篇聖經,一起去祈禱
[00:00:40.800 --> 00:00:44.800]  所以主一崇拜是一個教會裏面很重要的合一的地方
[00:00:44.800 --> 00:00:48.300]  也是一個很重要的信息去傳遞的地方
[00:00:48.300 --> 00:00:52.600]  我就問究竟「合一主人」除了交換講壇的時候
[00:00:52.600 --> 00:00:55.600]  「合一主人」是什麼呢?或者「合一」是什麼呢?
[00:00:55.600 --> 00:01:01.100]  或者當我們說「合一」的時候,還有什麼我們可以說的呢?
[00:01:01.100 --> 00:01:03.400]  很多年前整個教會都在說「合一」
[00:01:03.400 --> 00:01:05.200]  我們要探索「合一」的時候
[00:01:05.200 --> 00:01:07.500]  我們又在想不如在教義裏面「合一」
[00:01:07.500 --> 00:01:09.100]  United in Doctrine
[00:01:09.100 --> 00:01:13.200]  在教義裏面會不會有多些地方能夠去溝通呢?
[00:01:13.200 --> 00:01:16.200]  漸漸又覺得好像大家來自不同的傳統
[00:01:16.200 --> 00:01:19.700]  有不同的背景的時間,或者信仰有些
[00:01:19.700 --> 00:01:22.300]  大家有些著重不同的地方
[00:01:22.300 --> 00:01:25.100]  所以又在說不如我們在使命裏面「合一」
[00:01:25.100 --> 00:01:27.100]  United in Mission
[00:01:27.100 --> 00:01:29.700]  合一在使命裏面做一些事,我們合一
[00:01:29.700 --> 00:01:31.300]  探索那個「合一」究竟是怎樣
[00:01:31.300 --> 00:01:33.600]  教會是要怎樣「合一」的
[00:01:33.600 --> 00:01:36.500]  但事實上我們今天說「合一」是不容易的
[00:01:36.500 --> 00:01:37.800]  不知道大家是否明白
[00:01:37.800 --> 00:01:39.700]  過去半年裏面可能有不同的堂會
[00:01:39.700 --> 00:01:43.200]  都要面對很多不同的大家的立場、看法
[00:01:43.200 --> 00:01:45.300]  教會以外、教會以內
[00:01:45.300 --> 00:01:47.300]  政治的立場取態
[00:01:47.300 --> 00:01:50.600]  帶來一些可能在堂會裏面撕裂的關係
[00:01:50.600 --> 00:01:55.900]  亦都可能在家裏面,或者朋友當中撕裂的關係都未定
[00:01:55.900 --> 00:01:58.000]  所以這種人關係的撕裂
[00:01:58.000 --> 00:02:01.100]  我想說的不單止是在堂會裏面出現
