
[00:00:00.000 --> 00:00:03.500]  《羅馬書》第31章
[00:00:03.500 --> 00:00:07.500]  我們剛剛才講完大衛傳
[00:00:07.500 --> 00:00:09.600]  大衛傳記不記得結束時
[00:00:09.600 --> 00:00:12.100]  我用什麼經文來結束
[00:00:12.100 --> 00:00:16.500]  我說大衛最後在阿羅那的打鞠場
[00:00:16.500 --> 00:00:21.900]  獻上祭物來回應神的憐憫
[00:00:21.900 --> 00:00:26.200]  我用了《羅馬書》第12章1至2節
[00:00:26.200 --> 00:00:28.800]  就是我們今天的經文
[00:00:28.800 --> 00:00:31.400]  所以聖經真的非常精彩
[00:00:31.400 --> 00:00:33.200]  無論是舊約還是新約
[00:00:33.200 --> 00:00:36.100]  你看到的訊息都是一致
[00:00:36.100 --> 00:00:38.000]  有人問牧師
[00:00:38.000 --> 00:00:40.200]  你今天講兩節的經文嗎?
[00:00:40.200 --> 00:00:42.600]  你有時講兩章的經文
[00:00:42.600 --> 00:00:44.200]  一篇道
[00:00:44.200 --> 00:00:46.000]  如果我講舊約
[00:00:46.000 --> 00:00:47.200]  因為很多故事
[00:00:47.200 --> 00:00:50.600]  真的可以一篇道講兩章的經文
[00:00:50.600 --> 00:00:54.200]  新約真的很豐富很精彩很重要
[00:00:54.200 --> 00:00:58.000]  所以我要用時間來講這兩節的經文
[00:00:58.000 --> 00:00:59.900]  因為是很重要
[00:00:59.900 --> 00:01:01.400]  今天的題目是
[00:01:01.400 --> 00:01:05.100]  如何獻上自己當作活祭
[00:01:05.100 --> 00:01:08.200]  是一個非常熟悉的題目
[00:01:08.200 --> 00:01:10.500]  是保羅叫我們怎樣
[00:01:10.500 --> 00:01:13.500]  要將我們自己獻上當作活祭
[00:01:13.500 --> 00:01:16.600]  是聖潔的是神所喜悅的
[00:01:16.600 --> 00:01:18.900]  我們聽就聽得多了
[00:01:18.900 --> 00:01:22.800]  究竟怎樣將自己獻上當作活祭呢?
[00:01:22.800 --> 00:01:26.400]  我今天就要和大家分享
[00:01:26.400 --> 00:01:30.400]  保羅首先是用了十一章的經文
[00:01:30.400 --> 00:01:33.000]  告訴我們很多的神學
[00:01:33.000 --> 00:01:35.000]  很多的理論
[00:01:35.000 --> 00:01:37.800]  然後去到十二至十六章
[00:01:37.800 --> 00:01:41.500]  叫我們要實踐要走出來
