
[00:00:00.000 --> 00:00:02.360]  喜大利兄姊妹 早安
[00:00:02.360 --> 00:00:05.040]  在開始進入經文之前
[00:00:05.040 --> 00:00:07.640]  今天想和大家做一個實驗
[00:00:07.640 --> 00:00:11.680]  因為我之前也提到一個相關的實驗
[00:00:11.680 --> 00:00:13.520]  那我就想邀請大家
[00:00:13.520 --> 00:00:17.120]  先問問大家 平時有誰有戴手錶的?
[00:00:17.120 --> 00:00:20.800]  對 而且今天可能就是
[00:00:20.800 --> 00:00:23.600]  比較是一些非電子手錶的人
[00:00:23.600 --> 00:00:25.640]  這個實驗會比較好
[00:00:25.640 --> 00:00:28.520]  大家首先用沒有戴手錶的手
[00:00:28.520 --> 00:00:30.760]  就先按著你的手錶
[00:00:30.760 --> 00:00:32.080]  按一按
[00:00:32.080 --> 00:00:34.800]  我就想問一下大家
[00:00:34.800 --> 00:00:37.520]  知不知道你的手錶的錶面
[00:00:37.520 --> 00:00:40.920]  是用阿拉伯數字 羅馬數字
[00:00:40.920 --> 00:00:43.120]  還是只有線條的呢?
[00:00:43.120 --> 00:00:44.800]  先想一想
[00:00:44.800 --> 00:00:47.800]  想一想自己的手錶是甚麼樣子的呢?
[00:00:47.800 --> 00:00:50.280]  好 大家都想了 是不是?
[00:00:50.280 --> 00:00:52.280]  我們一起來看一下你的答案
[00:00:52.280 --> 00:00:54.440]  看看是否正確
[00:00:54.440 --> 00:00:57.040]  有沒有人是答對的?
[00:00:57.040 --> 00:00:59.560]  有沒有人是答錯的?
[00:00:59.560 --> 00:01:01.120]  也有些人
[00:01:01.120 --> 00:01:05.240]  好 現在我們又用手按著你的手錶
[00:01:05.240 --> 00:01:06.720]  好 我想問一下
[00:01:06.720 --> 00:01:09.320]  大家知不知道你的手錶的錶面
[00:01:09.320 --> 00:01:11.600]  是否有秒針的呢?
[00:01:11.600 --> 00:01:13.280]  先想一想
[00:01:13.280 --> 00:01:16.360]  好 我們又來看一下答案
[00:01:16.360 --> 00:01:19.200]  好 想問一下有沒有人是答對的?
[00:01:19.200 --> 00:01:21.240]  有沒有人是答錯的?
[00:01:21.240 --> 00:01:22.280]  也有些人
[00:01:22.280 --> 00:01:25.640]  好 我們又按著手錶
[00:01:25.640 --> 00:01:27.640]  好 最後就是想問大家
[00:01:27.640 --> 00:01:29.920]  知不知道現在是幾點呢?
[00:01:29.920 --> 00:01:31.920]  準確地 準確地
[00:01:31.920 --> 00:01:34.400]  是幾點?
[00:01:34.400 --> 00:01:35.880]  好 我們來看一下
[00:01:35.880 --> 00:01:38.280]  又來看一下答案
[00:01:38.280 --> 00:01:40.120]  誰是答對的?
[00:01:40.120 --> 00:01:41.920]  誰是答錯的?
[00:01:41.920 --> 00:01:43.720]  是 也有些人
[00:01:43.720 --> 00:01:47.000]  其實這個實驗也在週五
[00:01:47.000 --> 00:01:48.640]  週六也做了
[00:01:48.640 --> 00:01:51.840]  其實這個實驗是做甚麼的呢?
[00:01:51.840 --> 00:01:55.240]  它是說一個叫做不注意事慢
[00:01:55.240 --> 00:01:56.000]  即是甚麼意思呢?
[00:01:56.000 --> 00:01:59.280]  就是如果有些事你不留意它
[00:01:59.280 --> 00:02:01.720]  或者你只是看著其他東西
[00:02:01.720 --> 00:02:02.480]  譬如是甚麼呢?
[00:02:02.480 --> 00:02:04.280]  譬如剛才我叫大家
[00:02:04.280 --> 00:02:06.320]  看一下數字是甚麼時候
[00:02:06.320 --> 00:02:08.960]  你就不會留意究竟有沒有秒針
[00:02:08.960 --> 00:02:11.040]  然後我問你有沒有秒針的時候
[00:02:11.040 --> 00:02:12.000]  你就看著秒針
[00:02:12.000 --> 00:02:13.560]  你就不會在多少點
[00:02:13.560 --> 00:02:16.240]  實驗結果在這裏
[00:02:16.240 --> 00:02:17.680]  成不成功也無所謂
[00:02:17.680 --> 00:02:19.920]  但我最想和大家分享的就是
[00:02:19.920 --> 00:02:22.920]  原來有時候我們去看東西的時候
[00:02:22.920 --> 00:02:26.840]  是會很聚焦在一些我們想看到的東西
[00:02:26.840 --> 00:02:28.480]  又或者是聚焦在
