
[00:00:00.000 --> 00:00:04.800]  我們今天來繼續看《四行傳》第九章最後一個段落
[00:00:04.800 --> 00:00:10.000]  以及先想到這個寶貴的題目
[00:00:10.000 --> 00:00:16.000]  就是我們能夠做一個福音的拓展者
[00:00:16.000 --> 00:00:18.000]  好像誰呢 好像彼得
[00:00:18.000 --> 00:00:23.000]  我們大家看過在《四行傳》第九章
[00:00:23.000 --> 00:00:25.000]  其實有幾個人物
[00:00:25.000 --> 00:00:27.000]  我們都去過了
[00:00:27.000 --> 00:00:29.000]  首先是素羅
[00:00:29.000 --> 00:00:32.000]  我們看見在素羅身上是神翻轉他的生命
[00:00:32.000 --> 00:00:34.000]  去托付他的使命
[00:00:34.000 --> 00:00:39.000]  巴不得我們都能夠真的被神翻轉我們的生命
[00:00:39.000 --> 00:00:44.000]  以致能夠承載神給我們人生當中的使命
[00:00:44.000 --> 00:00:49.000]  我們又看見其中阿拿尼亞
[00:00:49.000 --> 00:00:51.000]  也在第九章記載的
[00:00:51.000 --> 00:00:54.000]  這位是一位被神使用的人
[00:00:54.000 --> 00:00:56.000]  他是一個小人物 很平凡
[00:00:56.000 --> 00:00:59.000]  但卻是蒙神使用他
[00:00:59.000 --> 00:01:02.000]  成為帶領素羅歸主一個很重要的人
[00:01:02.000 --> 00:01:10.000]  以致日後整個福音的傳揚有很大的貢獻
[00:01:10.000 --> 00:01:14.000]  我們又看見上一次跟大家看的就是巴拿巴
[00:01:14.000 --> 00:01:17.000]  巴拿巴可以說是保羅
[00:01:17.000 --> 00:01:20.000]  他能夠成為後來教會的領袖
[00:01:20.000 --> 00:01:22.000]  一個關鍵的人物
[00:01:22.000 --> 00:01:24.000]  巴拿巴就是一個這樣的人
[00:01:24.000 --> 00:01:27.000]  是一個勸慰子 是一個建立別人的人
[00:01:27.000 --> 00:01:30.000]  巴不得我們也成為神所使用的
[00:01:30.000 --> 00:01:32.000]  成為人際之間的橋樑
[00:01:32.000 --> 00:01:34.000]  成為建立別人的人
[00:01:34.000 --> 00:01:38.000]  以致我們的生命可以去榮神益人
[00:01:38.000 --> 00:01:41.000]  今天我們來看第九章最後一部分
[00:01:41.000 --> 00:01:44.000]  其實是連接到第十章和第十一章
[00:01:44.000 --> 00:01:48.000]  我們知道在司唐傳裡一開始
[00:01:48.000 --> 00:01:52.000]  就是講到彼得 講到他是一個很重要的人物
[00:01:52.000 --> 00:01:54.000]  在司唐傳頭一個部分裡
[00:01:54.000 --> 00:01:59.000]  可以說是一個很重要的關鍵人物
[00:01:59.000 --> 00:02:01.000]  教會的成立
[00:02:01.000 --> 00:02:07.000]  後來兩次全福音五千人信主 三千人信主
[00:02:07.000 --> 00:02:11.000]  我們又看見他後來去到撒瑪利亞和約翰
[00:02:11.000 --> 00:02:14.000]  開展另一個領域
[00:02:14.000 --> 00:02:17.000]  我們在這裡今天看見第九章
[00:02:17.000 --> 00:02:19.000]  這個是三十二節
[00:02:19.000 --> 00:02:21.000]  上個星期我們看三十一節
[00:02:21.000 --> 00:02:23.000]  三十一節怎樣講呢
[00:02:23.000 --> 00:02:25.000]  我們一起讀讀這節經文好不好
[00:02:25.000 --> 00:02:27.000]  就是上個星期我們最後一節的經文
[00:02:27.000 --> 00:02:29.000]  我們一起讀出 請讀
[00:02:29.000 --> 00:02:35.000]  那時猶太 加利利 撒瑪利亞各處的教會
[00:02:35.000 --> 00:02:40.000]  都得平安 被建立 凡是敬畏主
[00:02:40.000 --> 00:02:45.000]  蒙聖靈的安慰 人數就增多了
[00:02:45.000 --> 00:02:51.000]  很明顯這節經文是一個結論的陳詞
[00:02:51.000 --> 00:02:55.000]  形容當時的一個情況 可以說是一個結語
[00:02:55.000 --> 00:02:57.000]  這個結語就是說
[00:02:57.000 --> 00:03:04.000]  那時猶太 加利利 撒瑪利亞各處都得平安 被建立
[00:03:04.000 --> 00:03:08.000]  凡是敬畏主 蒙聖靈的安慰 人數就增多了
[00:03:08.000 --> 00:03:17.000]  形容當時耶路撒冷 猶太傳地 加利利 甚至撒瑪利亞
[00:03:17.000 --> 00:03:21.000]  各處的地方都有教會被建立起來
[00:03:21.000 --> 00:03:23.000]  而且人數增加
[00:03:23.000 --> 00:03:27.000]  所以當時的士堂傳第一章
[00:03:27.000 --> 00:03:33.000]  耶穌頒布給使徒和教會的門徒的使命
[00:03:33.000 --> 00:03:35.000]  他們等候聖靈降臨
[00:03:35.000 --> 00:03:40.000]  他們就一直傳福音 耶路撒冷 猶太傳地 撒瑪利亞
[00:03:40.000 --> 00:03:45.000]  還有一句是什麼 直到地極
[00:03:45.000 --> 00:03:47.000]  所以來到這個階段
[00:03:47.000 --> 00:03:52.000]  可以說是已經有一個很圓滿
[00:03:52.000 --> 00:03:58.000]  還有一個新的階段準備開始的情況
[00:03:58.000 --> 00:04:01.000]  就是他們怎樣去到地極
[00:04:01.000 --> 00:04:05.000]  所以在這裡我們看到有了這個總結之後
[00:04:05.000 --> 00:04:08.000]  就開始另外一個階段
[00:04:08.000 --> 00:04:10.000]  這個另外一個階段是什麼呢
[00:04:10.000 --> 00:04:13.000]  就是福音傳到地極
[00:04:13.000 --> 00:04:15.000]  福音傳到地極 在猶太人的觀念來說
[00:04:15.000 --> 00:04:19.000]  就是說福音傳到不是猶太人的地方
[00:04:19.000 --> 00:04:21.000]  是外邦的地方
[00:04:21.000 --> 00:04:26.000]  是當時羅馬管轄的一個很大的版圖
[00:04:26.000 --> 00:04:31.000]  是一些外邦人希臘文化的羅馬文化的人
[00:04:31.000 --> 00:04:35.000]  所以神的心意是讓福音繼續的傳開
[00:04:35.000 --> 00:04:37.000]  直到地極
[00:04:37.000 --> 00:04:39.000]  就是無論猶太人也好
[00:04:39.000 --> 00:04:42.000]  無論非猶太人也好的外邦人
