
[00:00:00.000 --> 00:00:03.000]  我們過去我們看羅馬書第七章對不對
[00:00:03.000 --> 00:00:07.000]  我們講到保羅他帶著我們看見信主之後
[00:00:07.000 --> 00:00:10.000]  在我們裡面仍然我們跟罪有掙扎
[00:00:10.000 --> 00:00:13.000]  我們跟罪有在那邊搏鬥
[00:00:13.000 --> 00:00:16.000]  那麼當我們和我們的罪掙扎的時候
[00:00:16.000 --> 00:00:19.000]  保羅他告訴我們他說真是苦啊
[00:00:19.000 --> 00:00:22.000]  如果說我們有主耶穌的生命在我們裡頭
[00:00:22.000 --> 00:00:24.000]  我們一定會講同樣的話
[00:00:24.000 --> 00:00:26.000]  一定會說我真是苦啊
[00:00:26.000 --> 00:00:29.000]  那麼每次我們想要站起來的時候
[00:00:29.000 --> 00:00:30.000]  他就把我們推倒
[00:00:30.000 --> 00:00:32.000]  每次想要站起來的時候
[00:00:32.000 --> 00:00:34.000]  他就把我們推下去
[00:00:34.000 --> 00:00:35.000]  這就是我們的光景
[00:00:35.000 --> 00:00:37.000]  那麼保羅他到了第七章
[00:00:37.000 --> 00:00:40.000]  最後的時候他就說我真是苦啊
[00:00:40.000 --> 00:00:41.000]  一直到第25節的時候
[00:00:41.000 --> 00:00:46.000]  直到他發現原來答案是在基督耶穌的身上
[00:00:46.000 --> 00:00:49.000]  所以他帶我們進到了第八章
[00:00:49.000 --> 00:00:51.000]  那麼他讓我們明白
[00:00:51.000 --> 00:00:53.000]  也是他自己能夠明白
[00:00:53.000 --> 00:00:55.000]  原來在基督耶穌裡
[00:00:55.000 --> 00:00:58.000]  我們早就被釋放了
[00:00:58.000 --> 00:01:01.000]  而且是在創世以前
[00:01:01.000 --> 00:01:04.000]  神已經把這件事情做好了
[00:01:04.000 --> 00:01:05.000]  我們常常在想說
[00:01:05.000 --> 00:01:07.000]  神檢選我們 神檢選我們
[00:01:07.000 --> 00:01:09.000]  但是弟兄姊妹如果我們想一下
[00:01:09.000 --> 00:01:18.000]  他是說在創世以前在基督裡檢選了我們
[00:01:18.000 --> 00:01:20.000]  我們最近在慶祝聖誕節
[00:01:20.000 --> 00:01:22.000]  每年一度的
[00:01:22.000 --> 00:01:25.000]  有的時候你走在街上的時候
[00:01:25.000 --> 00:01:26.000]  走在魔王裡面的時候
[00:01:26.000 --> 00:01:28.000]  你就會想說怎麼搞的
[00:01:28.000 --> 00:01:31.000]  又來放這種音樂了
[00:01:31.000 --> 00:01:33.000]  但是對我們自己來講
[00:01:33.000 --> 00:01:35.000]  我們神的兒女
[00:01:35.000 --> 00:01:38.000]  因基督他的降世為人
[00:01:38.000 --> 00:01:41.000]  這個才是聖誕節真正的意義
