
[00:00:00.000 --> 00:00:02.000]  好 港福堂的弟兄姊妹
[00:00:02.000 --> 00:00:06.000]  今天呢 我很高興在大家當中
[00:00:06.000 --> 00:00:10.000]  我剛剛從蒙古宣教回來
[00:00:10.000 --> 00:00:14.000]  當了很多經歷 不過可以和大家分享
[00:00:14.000 --> 00:00:18.000]  不過呢 經過這個蒙古國
[00:00:18.000 --> 00:00:21.000]  這個牧師的訓練
[00:00:21.000 --> 00:00:24.000]  我訓練牧師做傳道
[00:00:24.000 --> 00:00:29.000]  我體會到很多人都很想給主洗肉
[00:00:29.000 --> 00:00:31.000]  大會給我的題目呢
[00:00:31.000 --> 00:00:35.000]  是《馬後福音》十一章整章
[00:00:35.000 --> 00:00:41.000]  但是呢 我就今天呢 希望集中在十一章的第一節
[00:00:41.000 --> 00:00:44.000]  到第十節 和大家分享
[00:00:44.000 --> 00:00:50.000]  分享的主題呢 就叫做主要用他
[00:00:50.000 --> 00:00:56.000]  我相信呢 每一個弟兄姊妹你的成長的階段
[00:00:56.000 --> 00:01:00.000]  你都會很想呢 有你的夢想
[00:01:00.000 --> 00:01:04.000]  希望呢 能夠被使用
[00:01:04.000 --> 00:01:07.000]  未信耶穌的人呢 當然都一樣的
[00:01:07.000 --> 00:01:10.000]  我們很希望呢 給什麼
[00:01:10.000 --> 00:01:14.000]  給大公司來使用 誰會用我呢
[00:01:14.000 --> 00:01:18.000]  以美國來說 我在加拿大來的 北美來的
[00:01:18.000 --> 00:01:20.000]  最好是彪基啦 是不是
[00:01:20.000 --> 00:01:26.000]  哇 進到彪基的那個Microsoft公司裡面做
[00:01:26.000 --> 00:01:28.000]  你說多重要呢
[00:01:28.000 --> 00:01:33.000]  那有些在矽谷呢 你知道矽谷都很多這些不同的大的機構
[00:01:33.000 --> 00:01:36.000]  這些IT的機構 很厲害
[00:01:36.000 --> 00:01:39.000]  大家都很夢想的 在我們多不多一些呢
[00:01:39.000 --> 00:01:41.000]  弟兄姊妹呢 哇 多好啊
[00:01:41.000 --> 00:01:43.000]  拿到很好的成績呢
[00:01:43.000 --> 00:01:45.000]  申請這個矽谷裡面
[00:01:45.000 --> 00:01:51.000]  能夠 希望有一個的大公司能夠來錄用他
[00:01:51.000 --> 00:01:54.000]  這個是一個很大的光榮 是不是
[00:01:54.000 --> 00:01:58.000]  我不知道今天呢 你信了耶穌之後
[00:01:58.000 --> 00:02:02.000]  你是不是以 哎呀 我是彪基所使用的
[00:02:02.000 --> 00:02:06.000]  彪基用我 矽谷用我
[00:02:06.000 --> 00:02:09.000]  我們加拿大有一個姊妹都是
[00:02:09.000 --> 00:02:11.000]  有一個Headhunter呢
[00:02:11.000 --> 00:02:15.000]  走去我們多不多 找到一個玩具的
[00:02:15.000 --> 00:02:21.000]  一些這樣的做生意的 有財幹的人
[00:02:21.000 --> 00:02:25.000]  重金禮聘他 回來香港
[00:02:25.000 --> 00:02:32.000]  在大陸成為世界八個最大的VP
[00:02:32.000 --> 00:02:35.000]  在他公司裡面成為一員
[00:02:35.000 --> 00:02:38.000]  很好的福利
[00:02:38.000 --> 00:02:41.000]  我們可能被人這樣來到
[00:02:41.000 --> 00:02:44.000]  這些叫做Headhunter 到處去Headhunter
[00:02:44.000 --> 00:02:50.000]  我們會覺得很被尊重 和很光榮
[00:02:50.000 --> 00:02:52.000]  但是今天我和你說這個題目
[00:02:52.000 --> 00:02:54.000]  主會用他
[00:02:54.000 --> 00:02:57.000]  這個主會用他呢 很特別
[00:02:57.000 --> 00:03:04.000]  這個他呢 其實呢 是一個的 奴隸子
[00:03:04.000 --> 00:03:07.000]  主怎麼會用他呢
[00:03:07.000 --> 00:03:10.000]  當然這一段的經文呢
[00:03:10.000 --> 00:03:15.000]  有很多的牧師 或者傳道都講過的 我相信
[00:03:15.000 --> 00:03:17.000]  很多牧師就以什麼呢
[00:03:17.000 --> 00:03:19.000]  能夠主要用你
[00:03:19.000 --> 00:03:22.000]  去鼓勵這個信徒要被神使用
[00:03:22.000 --> 00:03:24.000]  好像呢 這些奴隸子
[00:03:24.000 --> 00:03:26.000]  沒有經驗 不顯赫
