
[00:00:00.000 --> 00:00:05.520]  在上個月我們曾經講到守安息的意思
[00:00:05.520 --> 00:00:08.160]  今個月是聖樂月
[00:00:08.160 --> 00:00:14.000]  在上個禮拜方牧師和我們講到更深刻的敬拜
[00:00:14.000 --> 00:00:20.800]  今晚我想在這個聖樂月當中繼續談及崇拜
[00:00:20.800 --> 00:00:24.960]  談及崇拜當中的盼望
[00:00:24.960 --> 00:00:29.600]  所以幾次的訊息都是息息相關的
[00:00:30.000 --> 00:00:32.000]  我們同心禱告
[00:00:32.000 --> 00:00:36.600]  親愛的主多謝祢讓我們能夠在祢的聖所
[00:00:36.600 --> 00:00:39.800]  我們一同去敬拜祢
[00:00:39.800 --> 00:00:41.800]  求祢幫助我們明白
[00:00:41.800 --> 00:00:45.320]  在敬拜當中我們更有盼望
[00:00:45.320 --> 00:00:48.120]  主啊 求祢教導我們
[00:00:48.120 --> 00:00:50.600]  幫助我們 因待我們
[00:00:50.600 --> 00:00:54.600]  我們這樣的祈禱是奉主耶穌基督的名字求
[00:00:54.600 --> 00:00:56.600]  阿們
[00:00:56.600 --> 00:01:02.600]  城鎮家是很喜歡講信 忘 愛
[00:01:02.600 --> 00:01:08.600]  陳世英執事常常講信 忘 愛
[00:01:08.600 --> 00:01:10.600]  他很喜歡信 忘 愛
[00:01:10.600 --> 00:01:13.600]  這三個神學的觀念
[00:01:13.600 --> 00:01:17.600]  香港浸信會神學院在六年前
[00:01:17.600 --> 00:01:21.600]  都開展了一個信 忘 愛的工程
[00:01:21.600 --> 00:01:23.600]  在過往的日子
[00:01:23.600 --> 00:01:27.600]  我們常常都在講道當中會講到信心
[00:01:27.600 --> 00:01:29.600]  亦會講到愛心
[00:01:29.600 --> 00:01:33.600]  但是留意我們比較少講到盼望
[00:01:33.600 --> 00:01:38.600]  所以今天晚上想和大家多一點講講盼望
[00:01:38.600 --> 00:01:44.600]  但是我不會和你一起講盼望的哲學定義
[00:01:44.600 --> 00:01:47.600]  盼望的神學定義
[00:01:47.600 --> 00:01:50.600]  或者日子過後 將來日子
[00:01:50.600 --> 00:01:56.600]  大家想知道多一點 我們可以多談盼望的義理
[00:01:56.600 --> 00:01:58.600]  在今天晚上
[00:01:58.600 --> 00:02:02.600]  我是和大家思想如何盼望
[00:02:02.600 --> 00:02:05.600]  我只會講一小部分
[00:02:05.600 --> 00:02:09.600]  我會講到人如何去盼望
[00:02:09.600 --> 00:02:13.600]  我認為 我相信
[00:02:13.600 --> 00:02:19.600]  崇拜是能夠叫我們多有盼望
[00:02:19.600 --> 00:02:24.600]  所以可以說 崇拜就是盼望
[00:02:24.600 --> 00:02:28.600]  但是不是所有弟兄姊妹們
[00:02:28.600 --> 00:02:30.600]  參加崇拜的時候
[00:02:30.600 --> 00:02:35.600]  都認為在崇拜當中可以盼望
[00:02:35.600 --> 00:02:41.600]  有的弟兄姊妹們就認為其實崇拜不夠真實
[00:02:41.600 --> 00:02:45.600]  是可有可無的附加物
[00:02:45.600 --> 00:02:49.600]  一位新居要職的行政人員
[00:02:49.600 --> 00:02:51.600]  他參加了一個崇拜之後
[00:02:51.600 --> 00:02:55.600]  他說今天的敬拜都很好
[00:02:55.600 --> 00:03:00.600]  不過我現在要回到更加真實的世界
[00:03:00.600 --> 00:03:04.600]  對他來說 崇拜是不夠真實的
[00:03:04.600 --> 00:03:08.600]  敬拜神事實上是次要的
[00:03:08.600 --> 00:03:14.600]  賺錢才是最真實最重要的
[00:03:14.600 --> 00:03:17.600]  對他來說 這是他心裡的看法
[00:03:17.600 --> 00:03:22.600]  我不知道這是不是你心裡的看法
[00:03:22.600 --> 00:03:25.600]  或者有些人真的認為
[00:03:25.600 --> 00:03:28.600]  崇拜不是一個真實的世界
[00:03:28.600 --> 00:03:34.600]  是一個不能夠充滿神恩典的世界
[00:03:34.600 --> 00:03:37.600]  在昔日的以賽亞先知
[00:03:37.600 --> 00:03:39.600]  他對於這樣的態度
[00:03:39.600 --> 00:03:42.600]  他是非常生氣的
[00:03:42.600 --> 00:03:46.600]  他責備人是不明白崇拜的意思
[00:03:46.600 --> 00:03:49.600]  是扭曲了崇拜的真義
[00:03:49.600 --> 00:03:53.600]  所以先知他責罵猶大的統治者
[00:03:53.600 --> 00:03:57.600]  說他們是所多瑪的統治者
[00:03:57.600 --> 00:04:03.600]  責備猶大的人民為「阿摩拉」的人民
[00:04:03.600 --> 00:04:07.600]  以賽亞他說到耶和華神
[00:04:07.600 --> 00:04:12.600]  是怎樣增護這班人的敬拜
[00:04:12.600 --> 00:04:15.600]  在以賽亞書一章十一節這樣說
[00:04:15.600 --> 00:04:22.600]  「耶和華說你們所獻的許多祭物與我何益呢?
[00:04:22.600 --> 00:04:27.600]  公綿羊的繁濟和肥畜的滋油
[00:04:27.600 --> 00:04:30.600]  我已經夠了
[00:04:30.600 --> 00:04:35.600]  公牛的血、羊羔的血、公山羊的血
[00:04:35.600 --> 00:04:37.600]  我都不起血
[00:04:37.600 --> 00:04:42.600]  你們內朝見我誰向你們討這些?
[00:04:42.600 --> 00:04:46.600]  使你們踐踏我的言語呢?
[00:04:46.600 --> 00:04:51.600]  你們不是要再獻虛浮的貢物
[00:04:51.600 --> 00:04:55.600]  香品是我所增護的
[00:04:55.600 --> 00:05:00.600]  月朔和安息日並宣召的大會
[00:05:00.600 --> 00:05:03.600]  也是我增護的
[00:05:03.600 --> 00:05:07.600]  作罪孽由手嚴肅回
[00:05:07.600 --> 00:05:10.600]  我也不能容忍
[00:05:10.600 --> 00:05:13.600]  你們的月朔和節慶
[00:05:13.600 --> 00:05:16.600]  我心裡幸惡
[00:05:16.600 --> 00:05:18.600]  我都以為麻煩
[00:05:18.600 --> 00:05:21.600]  我擔當便不外乏」
[00:05:21.600 --> 00:05:24.600]  稱職以賽亞指出
[00:05:24.600 --> 00:05:28.600]  耶和華是很增護當時的人的敬拜
[00:05:28.600 --> 00:05:34.600]  似乎不是因為他們這些人不敬拜
[00:05:34.600 --> 00:05:38.600]  是因為事實上這些人是敬拜的
[00:05:38.600 --> 00:05:40.600]  問題是他們怎樣敬拜?
[00:05:40.600 --> 00:05:42.600]  這些人的敬拜是怎樣呢?
[00:05:42.600 --> 00:05:46.600]  他們是滿足了敬拜的規條
[00:05:46.600 --> 00:05:50.600]  並且他們說要增加敬拜的次數
[00:05:50.600 --> 00:05:53.600]  所以這些人是敬拜的
[00:05:53.600 --> 00:05:55.600]  並且他們敬拜的時候
[00:05:55.600 --> 00:05:58.600]  都好像很有情感
[00:05:58.600 --> 00:06:00.600]  他們伸開雙手
[00:06:00.600 --> 00:06:04.600]  做了很多很多的祈禱
[00:06:04.600 --> 00:06:05.600]  但神就說
[00:06:05.600 --> 00:06:07.600]  「你們舉手禱告
[00:06:07.600 --> 00:06:09.600]  我必遮眼不看
[00:06:09.600 --> 00:06:12.600]  就是你們多多的祈禱
[00:06:12.600 --> 00:06:14.600]  我也不聽」
[00:06:14.600 --> 00:06:19.600]  這記載在以賽亞書一章十五節
[00:06:19.600 --> 00:06:23.600]  但以賽亞不是說你們這些人不敬拜神
[00:06:23.600 --> 00:06:27.600]  他說你們這些人敬拜神
[00:06:27.600 --> 00:06:29.600]  但你們敬拜的時候
[00:06:29.600 --> 00:06:33.600]  你們的手是充滿血腥的
