
[00:00:00.000 --> 00:00:02.000]  今日仍是新年頭
[00:00:02.000 --> 00:00:05.760]  我們仍有很多很美的佈置和新年氣氛
[00:00:05.760 --> 00:00:07.900]  有很多美女姊妹還穿著新年衣服
[00:00:07.900 --> 00:00:10.900]  今天年初幾呀?
[00:00:10.900 --> 00:00:12.900]  年初六
[00:00:12.900 --> 00:00:17.600]  祝大家身心靈健康
[00:00:17.600 --> 00:00:21.000]  我們能夠積財在天上
[00:00:21.000 --> 00:00:23.800]  為主多作見證
[00:00:23.800 --> 00:00:29.600]  今年更多結滿神給我們的果子
[00:00:29.600 --> 00:00:34.600]  今天和大家思想新年題目
[00:00:34.600 --> 00:00:36.600]  氣救更新
[00:00:36.600 --> 00:00:41.600]  我們中國人的傳統
[00:00:41.600 --> 00:00:43.600]  過年是一個很大的節日
[00:00:43.600 --> 00:00:46.600]  所謂炮竹一聲除舊
[00:00:46.600 --> 00:00:48.600]  跟著呢
[00:00:48.600 --> 00:00:50.600]  萬象更新
[00:00:50.600 --> 00:00:52.600]  我們見到
[00:00:52.600 --> 00:00:54.600]  雖然我們身在美國
[00:00:54.600 --> 00:00:57.600]  但仍然見到周圍不同的地方
[00:00:57.600 --> 00:00:59.600]  其實除了華人
[00:00:59.600 --> 00:01:01.600]  今天是農曆新年
[00:01:01.600 --> 00:01:03.600]  有很多其他的族裔
[00:01:03.600 --> 00:01:06.600]  包括越南、韓國等等
[00:01:06.600 --> 00:01:08.600]  他們都是新年期間
[00:01:08.600 --> 00:01:10.600]  所以我們都是叫農曆新年
[00:01:10.600 --> 00:01:14.600]  實在是新年幫助我們有一個更新的意念
[00:01:14.600 --> 00:01:16.600]  在聖經裏面
[00:01:16.600 --> 00:01:18.600]  其實亦都非常強調
[00:01:18.600 --> 00:01:21.600]  我們能夠除去舊的我
[00:01:21.600 --> 00:01:23.600]  活出新的人
[00:01:23.600 --> 00:01:27.600]  這就是耶穌基督給我們新造的人的恩典
[00:01:27.600 --> 00:01:30.600]  在基督裏面我們都是新造的人
[00:01:30.600 --> 00:01:34.600]  所以今天和大家看一個人物
[00:01:34.600 --> 00:01:36.600]  是真是新造的人
[00:01:36.600 --> 00:01:38.600]  在這裏的記載裏面
[00:01:38.600 --> 00:01:39.600]  短短十節經文
[00:01:39.600 --> 00:01:44.600]  耶穌似乎教導了好幾個關乎氣救更新的真理
[00:01:44.600 --> 00:01:46.600]  所以在這個新年期間
[00:01:46.600 --> 00:01:49.600]  我們今天一同思想
[00:01:49.600 --> 00:01:50.600]  這個人是誰呢?
[00:01:50.600 --> 00:01:52.600]  這個人大家都很熟悉的
[00:01:52.600 --> 00:01:53.600]  就是馬太
[00:01:53.600 --> 00:01:57.600]  或者希伯來的名字就是利美
[00:01:57.600 --> 00:02:01.600]  我們看一看在《瑪漢福音》第二章
[00:02:01.600 --> 00:02:03.600]  十三至二十二節的十節經文
[00:02:03.600 --> 00:02:06.600]  我們一同讀出
[00:02:06.600 --> 00:02:09.600]  淪陌一點淺色
[00:02:09.600 --> 00:02:10.600]  看不看得到?
[00:02:10.600 --> 00:02:13.600]  看得到嗎?
[00:02:13.600 --> 00:02:14.600]  我們一同讀
[00:02:14.600 --> 00:02:15.600]  請讀
[00:02:15.600 --> 00:02:18.600]  耶穌又出到海邊去
[00:02:18.600 --> 00:02:21.600]  眾人就來了他來
[00:02:21.600 --> 00:02:23.600]  他便教訓他們
[00:02:23.600 --> 00:02:25.600]  耶穌經過的時候
[00:02:25.600 --> 00:02:29.600]  看見阿肋肥的兒子利美坐在隧棺上
[00:02:29.600 --> 00:02:33.600]  就對他說:你跟從我來
[00:02:33.600 --> 00:02:36.600]  他就起來跟從了耶穌
[00:02:36.600 --> 00:02:40.600]  耶穌在利美家裏坐直的時候
[00:02:40.600 --> 00:02:43.600]  有好些瑞利和聚人
[00:02:43.600 --> 00:02:46.600]  與耶穌並門徒一同坐直
[00:02:46.600 --> 00:02:49.600]  因為這樣的人多
[00:02:49.600 --> 00:02:52.600]  他們也跟從耶穌
[00:02:52.600 --> 00:02:54.600]  法利塞人中的文字
[00:02:54.600 --> 00:02:58.600]  看見耶穌和聚人並瑞利一同吃飯
[00:02:58.600 --> 00:03:00.600]  就對他們徒說
[00:03:00.600 --> 00:03:04.600]  他和瑞利並聚人一同吃汗嗎?
[00:03:04.600 --> 00:03:08.600]  耶穌聽見就對他們說
[00:03:08.600 --> 00:03:10.600]  健康的人用不著醫生
[00:03:10.600 --> 00:03:13.600]  有病的人才用得著
[00:03:13.600 --> 00:03:15.600]  我來本不是召義人
[00:03:15.600 --> 00:03:18.600]  乃是召聚人
[00:03:18.600 --> 00:03:21.600]  約翰的門徒和法利塞人禁食
[00:03:21.600 --> 00:03:24.600]  他們耐問耶穌說
[00:03:24.600 --> 00:03:28.600]  約翰的門徒和法利塞人的門徒禁食
[00:03:28.600 --> 00:03:30.600]  你的門徒都不禁食
[00:03:30.600 --> 00:03:32.600]  這是為什麼呢?
[00:03:32.600 --> 00:03:34.600]  耶穌對他們說
[00:03:34.600 --> 00:03:38.600]  新郎和陪伴之人同在的時候
[00:03:38.600 --> 00:03:41.600]  陪伴之人豈能禁食呢?
[00:03:41.600 --> 00:03:43.600]  新郎還同在
[00:03:43.600 --> 00:03:45.600]  他們不能禁食
[00:03:45.600 --> 00:03:49.600]  但日子將到新郎要離開他們
[00:03:49.600 --> 00:03:52.600]  那日他們就要禁食了
[00:03:52.600 --> 00:03:57.600]  沒有人把新布縫在舊衣服上
[00:03:57.600 --> 00:04:01.600]  恐怕所補上的新布帶壞了舊衣服
[00:04:01.600 --> 00:04:03.600]  破的就更大了
[00:04:03.600 --> 00:04:08.600]  也沒有人把新酒裝在舊皮袋裡
[00:04:08.600 --> 00:04:11.600]  恐怕酒把皮袋裂開
[00:04:11.600 --> 00:04:14.600]  酒和皮袋就都壞了
[00:04:14.600 --> 00:04:19.600]  為把新酒裝在新皮袋裡
[00:04:19.600 --> 00:04:23.600]  我們看到這裡明顯講到很多舊、新等等的事情
