
[00:00:00.000 --> 00:00:04.000]  如果大家有上教會時間比較長一點的話
[00:00:04.000 --> 00:00:09.000]  你知道今天已經是進入壽福節的最後一個禮拜
[00:00:09.000 --> 00:00:13.000]  也是我們在一個傳統教會里面講到的宗資主義
[00:00:13.000 --> 00:00:17.000]  就是他們拿着宗資那個數字
[00:00:17.000 --> 00:00:21.000]  圍着那個聖殿來走一個圈
[00:00:21.000 --> 00:00:23.000]  然後這個宗資就掛在自己家門口
[00:00:23.000 --> 00:00:27.000]  然後等到圖窺節的時候拿出來
[00:00:27.000 --> 00:00:30.000]  或者摸那個十字架這樣的一個傳統
[00:00:30.000 --> 00:00:35.000]  所以這段經文也是在這個背景情況以下
[00:00:35.000 --> 00:00:39.000]  每一年都是在這個禮拜會念一段這樣的一個
[00:00:39.000 --> 00:00:44.000]  有關耶穌基督榮耀的進入耶路撒冷的一個故事
[00:00:44.000 --> 00:00:48.000]  這個耶穌進入耶路撒冷的一個故事
[00:00:48.000 --> 00:00:50.000]  《西卷福音書》都有講到
[00:00:50.000 --> 00:00:54.000]  馬太、馬可、路加和約翰都有講到
[00:00:54.000 --> 00:00:59.000]  但是當中有一些比較些微的一些的細節不太一樣
[00:00:59.000 --> 00:01:03.000]  因爲這個作者的讀者不一樣的時候
[00:01:03.000 --> 00:01:06.000]  按照他們的需要他加了一點點的情節進去
[00:01:06.000 --> 00:01:08.000]  像我們看那個電視的那個新聞一樣
[00:01:08.000 --> 00:01:11.000]  每一個電臺拍的鏡頭都可能不一樣
[00:01:11.000 --> 00:01:12.000]  主題是一樣的
[00:01:12.000 --> 00:01:13.000]  大家明白嗎
[00:01:13.000 --> 00:01:16.000]  所以我今天用這個經文的話也有些壓力
[00:01:16.000 --> 00:01:19.000]  第一這個經文大家都很熟的了
[00:01:19.000 --> 00:01:20.000]  都聽過的
[00:01:20.000 --> 00:01:23.000]  不管你看哪一卷的福音書你都聽過
[00:01:23.000 --> 00:01:27.000]  那這樣再講的話會不會有更新的一些的體會呢
[00:01:27.000 --> 00:01:32.000]  第二就是當中有些用詞比較難講
[00:01:32.000 --> 00:01:35.000]  這個雷子還是爐子還是雷
[00:01:35.000 --> 00:01:37.000]  反正就是搞不清楚的
[00:01:37.000 --> 00:01:39.000]  大家如果我普通話講不好
[00:01:39.000 --> 00:01:42.000]  你就知道這條的出生好不好
[00:01:42.000 --> 00:01:45.000]  不要計較這個發音準不準確
[00:01:45.000 --> 00:01:47.000]  因爲既然用我們一起來敬拜
[00:01:47.000 --> 00:01:49.000]  我們就一起在地球禱告
[00:01:49.000 --> 00:01:51.000]  讓這個時間照給耶穌
