
[00:00:00.000 --> 00:00:02.440]  很感恩每個星期的崇拜
[00:00:02.440 --> 00:00:04.440]  都有台上的敬拜隊
[00:00:04.440 --> 00:00:06.120]  和我們一起侍奉
[00:00:06.120 --> 00:00:08.600]  也有台下有我們迎新員
[00:00:08.600 --> 00:00:10.920]  有我們影音的弟兄姊妹
[00:00:10.920 --> 00:00:12.920]  還有我們的代禱者
[00:00:12.920 --> 00:00:16.760]  我們一同在教會裡侍奉神
[00:00:16.760 --> 00:00:20.160]  其實聖經裡侍奉就是敬拜
[00:00:20.160 --> 00:00:21.720]  是同一個字根
[00:00:21.720 --> 00:00:23.080]  我們去侍奉神
[00:00:23.080 --> 00:00:25.560]  代表著我們去敬拜我們的主
[00:00:25.560 --> 00:00:27.360]  而且我們一同侍奉
[00:00:27.360 --> 00:00:30.680]  神就源於我們當中
[00:00:30.680 --> 00:00:33.960]  今天和大家分享我們要分享的題目
[00:00:33.960 --> 00:00:36.200]  是一個天上的敬拜
[00:00:36.200 --> 00:00:39.960]  經文是記載在聖經最後一卷書啟示錄
[00:00:39.960 --> 00:00:44.960]  四章一至十一節和五章五至十四節裡
[00:00:44.960 --> 00:00:46.840]  首先我問問弟兄姊妹
[00:00:46.840 --> 00:00:50.240]  你們是否也很喜歡敬拜
[00:00:50.240 --> 00:00:52.360]  咦?沒有什麼反應
[00:00:52.360 --> 00:00:57.880]  同福堂也是一間很重視敬拜的教會
[00:00:57.880 --> 00:00:59.280]  所以你坐在這裡
[00:00:59.280 --> 00:01:02.480]  你應該對敬拜不會太過抗拒
[00:01:02.480 --> 00:01:04.480]  因為我們在崇拜的時候
[00:01:04.480 --> 00:01:07.280]  我們必定會開始的時候會有敬拜
[00:01:07.280 --> 00:01:09.160]  如果大家一起回到祈禱會
[00:01:09.160 --> 00:01:11.640]  敬拜的時間就會更長
[00:01:11.640 --> 00:01:13.040]  我們開小組
[00:01:13.040 --> 00:01:15.080]  以先我們會一起敬拜
[00:01:15.080 --> 00:01:16.800]  我們做任何的事工
[00:01:16.800 --> 00:01:18.280]  無論我們去做外展
[00:01:18.280 --> 00:01:19.320]  我們去派禮物
[00:01:19.320 --> 00:01:21.240]  我們去開嘉年華會
[00:01:21.240 --> 00:01:22.760]  我們去報佳音
[00:01:22.760 --> 00:01:26.840]  全部都是首先我們用敬拜神去開始
[00:01:26.840 --> 00:01:29.960]  我們亦都很鼓勵弟兄姊妹
[00:01:29.960 --> 00:01:31.680]  他們無論在他們的職場
[00:01:31.680 --> 00:01:33.200]  無論在家庭裡
[00:01:33.200 --> 00:01:36.640]  我們都要培養到一個敬拜的生命
[00:01:36.640 --> 00:01:40.360]  敬拜就成為了我們的生活方式
[00:01:40.360 --> 00:01:41.680]  雖然這樣說
[00:01:41.680 --> 00:01:44.880]  但是我相信在座裡面
[00:01:44.880 --> 00:01:47.160]  或者在我們的群眾當中
[00:01:47.160 --> 00:01:50.920]  其實都不是每一個人都很喜歡敬拜
[00:01:50.920 --> 00:01:57.520]  因為我曾經和一對我自己相熟的夫婦聊過天
[00:01:57.520 --> 00:01:58.640]  因為和他們很熟
[00:01:58.640 --> 00:02:01.400]  所以每一樣事情都可以聊到
[00:02:01.400 --> 00:02:02.920]  我問她
[00:02:02.920 --> 00:02:06.920]  為什麼你們每一個禮拜回崇拜的時候
[00:02:06.920 --> 00:02:08.920]  都會這麼準時
[00:02:08.920 --> 00:02:10.520]  準時到那個地步是
[00:02:10.520 --> 00:02:11.440]  崇拜開始之後
[00:02:11.440 --> 00:02:14.200]  每一次都是十四分三十幾秒的時候
[00:02:14.200 --> 00:02:17.320]  你們就會走進牆裡面
[00:02:17.320 --> 00:02:19.160]  真是準時
[00:02:19.160 --> 00:02:20.960]  她告訴我們
[00:02:20.960 --> 00:02:26.280]  原來其實我們不是很喜歡唱歌
[00:02:26.280 --> 00:02:29.560]  所以我回教會主要都是回來聽道
[00:02:29.560 --> 00:02:34.160]  所以我就自己去調教了我們崇拜開始的時間
[00:02:34.160 --> 00:02:35.760]  總之教會關門之前
[00:02:35.760 --> 00:02:36.960]  我進來的時候
[00:02:36.960 --> 00:02:38.560]  我就可以唱少一點歌
[00:02:38.560 --> 00:02:41.840]  然後我就可以聽道
[00:02:41.840 --> 00:02:44.240]  我又問過另外一個姐妹
[00:02:44.240 --> 00:02:45.160]  她說
