
[00:00:00.000 --> 00:00:02.000]  羅馬書第十講
[00:00:02.000 --> 00:00:04.000]  羅馬書第四章
[00:00:04.000 --> 00:00:06.000]  今天的題目是
[00:00:06.000 --> 00:00:09.000]  「阿伯蘭怎被算為異人?」
[00:00:09.000 --> 00:00:11.000]  阿伯蘭是誰?
[00:00:11.000 --> 00:00:13.000]  阿伯蘭就是阿伯拉罕
[00:00:13.000 --> 00:00:15.000]  我們知道他後來改名
[00:00:15.000 --> 00:00:17.000]  神將他的名字由「阿伯蘭」
[00:00:17.000 --> 00:00:19.000]  改為「阿伯拉罕」
[00:00:19.000 --> 00:00:21.000]  今天就要看
[00:00:21.000 --> 00:00:23.000]  阿伯拉罕究竟是怎樣
[00:00:23.000 --> 00:00:25.000]  被神稱為一個異人
[00:00:25.000 --> 00:00:29.000]  我們有兩個星期沒有講羅馬書
[00:00:29.000 --> 00:00:32.000]  所以需要溫習一下
[00:00:32.000 --> 00:00:36.000]  羅馬書一章至三章二十節
[00:00:36.000 --> 00:00:38.000]  寶來告訴我們
[00:00:38.000 --> 00:00:40.000]  所有人都是罪人
[00:00:40.000 --> 00:00:42.000]  完全沒有例外
[00:00:42.000 --> 00:00:43.000]  每個人都是罪人
[00:00:43.000 --> 00:00:45.000]  這是壞消息
[00:00:45.000 --> 00:00:47.000]  但是好消息是什麼?
[00:00:47.000 --> 00:00:51.000]  接著在羅馬書三章二十一至三十一節
[00:00:51.000 --> 00:00:53.000]  告訴我們
[00:00:53.000 --> 00:00:56.000]  一個罪人怎樣能夠與神和好
[00:00:56.000 --> 00:00:58.000]  怎樣能夠被神稱為異人
[00:00:58.000 --> 00:01:01.000]  怎樣能夠得救
[00:01:01.000 --> 00:01:04.000]  接著在羅馬書的第四章
[00:01:04.000 --> 00:01:06.000]  就是今天的經文
[00:01:06.000 --> 00:01:08.000]  保羅給了一個例子給我們
[00:01:08.000 --> 00:01:10.000]  就是阿伯拉罕
[00:01:10.000 --> 00:01:12.000]  我上一次也跟大家講過
[00:01:12.000 --> 00:01:15.000]  這個跟我學足圍棋是很相似
[00:01:15.000 --> 00:01:17.000]  買一些圍棋書回來看
[00:01:17.000 --> 00:01:19.000]  會怎樣?
[00:01:19.000 --> 00:01:21.000]  先教你理論戰略
[00:01:21.000 --> 00:01:23.000]  然後會給一些實例給你
[00:01:23.000 --> 00:01:25.000]  讓你來參考
[00:01:25.000 --> 00:01:29.000]  今天保羅在羅馬書的第四章
[00:01:29.000 --> 00:01:31.000]  給了我們一個實例
[00:01:31.000 --> 00:01:33.000]  是阿伯拉罕的例子
[00:01:33.000 --> 00:01:38.000]  為什麼保羅要用阿伯拉罕來做例子?
[00:01:38.000 --> 00:01:43.000]  因為阿伯拉罕是受到以色列人極大的尊敬
[00:01:43.000 --> 00:01:45.000]  他是以色列人之父
[00:01:45.000 --> 00:01:49.000]  他的名字就是萬國之父
[00:01:49.000 --> 00:01:52.000]  他是以色列人的老祖宗
[00:01:52.000 --> 00:01:55.000]  在聖經裏面也是讚美阿伯拉罕
[00:01:55.000 --> 00:01:57.000]  說他是神的朋友
[00:01:57.000 --> 00:01:59.000]  有歷代之下的二十章
[00:01:59.000 --> 00:02:01.000]  耳塞亞書的四十一章
[00:02:01.000 --> 00:02:04.000]  以及亞國書的二章
[00:02:04.000 --> 00:02:07.000]  所以保羅就用阿伯拉罕來做例子
[00:02:07.000 --> 00:02:09.000]  如果阿伯拉罕
[00:02:09.000 --> 00:02:11.000]  都是因信稱義
[00:02:11.000 --> 00:02:13.000]  因為他的信心
[00:02:13.000 --> 00:02:15.000]  被神稱為一個義人
[00:02:15.000 --> 00:02:18.000]  而得救所有以色列人都是一樣
[00:02:18.000 --> 00:02:22.000]  甚至所有我們這些以信為本的人
[00:02:22.000 --> 00:02:24.000]  都是一樣
[00:02:24.000 --> 00:02:28.000]  今天這篇道有一個大綱
[00:02:28.000 --> 00:02:29.000]  有三點
[00:02:29.000 --> 00:02:33.000]  第一點就是阿伯拉罕是憑信
[00:02:33.000 --> 00:02:35.000]  不是憑他的行為
[00:02:35.000 --> 00:02:37.000]  被神稱為義人
[00:02:37.000 --> 00:02:41.000]  第二點就是他靠神的恩典
[00:02:41.000 --> 00:02:43.000]  不是靠律法得救
[00:02:43.000 --> 00:02:45.000]  第三點
[00:02:45.000 --> 00:02:47.000]  他是藉著神的能力
[00:02:47.000 --> 00:02:49.000]  神的大能
[00:02:49.000 --> 00:02:51.000]  而不是藉著自己的能力
[00:02:51.000 --> 00:02:53.000]  被神稱為義人
[00:02:53.000 --> 00:02:56.000]  我們先看第一點
[00:02:56.000 --> 00:02:59.000]  就是阿伯拉罕憑著信心
[00:02:59.000 --> 00:03:01.000]  被神稱為義人
[00:03:01.000 --> 00:03:06.000]  其實這正和以色列人所相信的剛剛相反
[00:03:06.000 --> 00:03:08.000]  以色列人相信阿伯拉罕
[00:03:08.000 --> 00:03:10.000]  是一個完美的人
[00:03:10.000 --> 00:03:13.000]  是一個世上最好的人
[00:03:13.000 --> 00:03:15.000]  是一個義人
