
[00:00:00.000 --> 00:00:04.760]  今天說到的題目叫做「享安息的操練」
[00:00:04.760 --> 00:00:08.920]  不知道通常你放假會做些什麼呢?
[00:00:08.920 --> 00:00:14.880]  最近發現原來出了2027年明年的公眾假期
[00:00:14.880 --> 00:00:20.640]  社交媒體已經列出明年有哪些日子
[00:00:20.640 --> 00:00:22.680]  你可以請一天假、兩天假
[00:00:22.680 --> 00:00:27.320]  就可以放五、六天假、幾天假、七、八天假
[00:00:27.320 --> 00:00:30.680]  其實預計有些人正在想去旅行
[00:00:30.680 --> 00:00:35.960]  預計2027年怎樣能夠請最少的年假
[00:00:35.960 --> 00:00:41.400]  又能夠放到最長的假去玩、去旅遊
[00:00:41.400 --> 00:00:43.480]  所以一般人會覺得
[00:00:43.480 --> 00:00:45.960]  我真的很想去「安息」
[00:00:45.960 --> 00:00:48.320]  去旅行就最「安息」了
[00:00:48.320 --> 00:00:51.080]  很多人放假最多人
[00:00:51.080 --> 00:00:53.800]  原來日本大阪的城市
[00:00:53.800 --> 00:00:58.280]  是香港人最愛旅遊的地方
[00:00:58.280 --> 00:00:59.880]  我們經常都會說
[00:00:59.880 --> 00:01:01.760]  你又去哪裡?我又回鄉下了
[00:01:01.760 --> 00:01:05.360]  很多人都是去日本或是去首爾
[00:01:05.360 --> 00:01:07.360]  全部都是免簽證
[00:01:07.360 --> 00:01:11.440]  不過首爾免簽證原來是緊排榜尾
[00:01:11.440 --> 00:01:15.040]  所以我們都是很想
[00:01:15.040 --> 00:01:18.960]  透過去旅行期望能夠有「安息」
[00:01:18.960 --> 00:01:20.560]  當然不一定要飛
[00:01:20.560 --> 00:01:21.960]  當你去旅行
[00:01:21.960 --> 00:01:26.280]  可以去北上,現在越來越多人喜歡去北上
[00:01:26.280 --> 00:01:28.960]  特別在深圳,很近我們的地方
[00:01:28.960 --> 00:01:31.560]  有很多很大很漂亮的商場
[00:01:31.560 --> 00:01:33.920]  去那裡又方便
[00:01:33.920 --> 00:01:35.400]  一個小時就可以去到
[00:01:35.400 --> 00:01:38.280]  或者有些頂尖會住得近關口
[00:01:38.280 --> 00:01:39.520]  可能半小時到那裡
[00:01:39.520 --> 00:01:41.960]  那裡也有很多不同的食物
[00:01:41.960 --> 00:01:43.760]  有很多時尚的東西買
[00:01:43.760 --> 00:01:47.720]  甚至有些商場
[00:01:47.720 --> 00:01:52.280]  地鐵一出,不用日曬雨淋就可以去到
[00:01:52.280 --> 00:01:54.720]  去一去可能都覺得很有「安息」
[00:01:54.720 --> 00:01:58.040]  很有放假的感覺
[00:01:58.040 --> 00:02:00.480]  當然有些人說為什麼那麼喜歡北上呢?
[00:02:00.480 --> 00:02:02.080]  因為商場漂亮
[00:02:02.080 --> 00:02:03.680]  坐車又便宜
[00:02:03.680 --> 00:02:05.840]  但原來也有些女士說
[00:02:05.840 --> 00:02:07.800]  在深圳很多美女
[00:02:07.800 --> 00:02:09.880]  這個可能我不太留意
[00:02:09.880 --> 00:02:10.560]  也不太知道
[00:02:10.560 --> 00:02:14.720]  但她說唱卡拉OK有東西吃很划算
[00:02:14.720 --> 00:02:16.200]  去整牙又划算
[00:02:16.200 --> 00:02:17.680]  去配眼鏡又划算
[00:02:17.680 --> 00:02:21.200]  有些人特別說去酒吧看美女
[00:02:21.200 --> 00:02:24.120]  我會覺得去北上
[00:02:24.120 --> 00:02:26.240]  讓人有很放鬆的感覺
[00:02:26.240 --> 00:02:29.040]  讓人有好像真的度假的感覺
[00:02:29.040 --> 00:02:31.720]  有這個「安息」的感覺
[00:02:31.720 --> 00:02:36.680]  當然不一定放假要去坐飛機
[00:02:36.680 --> 00:02:38.120]  又或者要北上
[00:02:38.120 --> 00:02:39.920]  如果你留港消費
[00:02:39.920 --> 00:02:42.680]  你可以選擇去看電影
[00:02:42.680 --> 00:02:46.480]  不知道你接下來有沒有什麼電影想看
[00:02:46.480 --> 00:02:48.280]  又或者去行山
[00:02:48.280 --> 00:02:51.120]  不過這個時間行山比較熱
[00:02:51.120 --> 00:02:53.960]  自助餐有冷氣
[00:02:53.960 --> 00:02:57.040]  你可以看看哪裏的自助餐
[00:02:57.040 --> 00:02:59.120]  哪個酒店現在都有優惠
[00:02:59.120 --> 00:03:01.080]  買二送一或者買一送一
[00:03:01.080 --> 00:03:02.520]  都很多
[00:03:02.520 --> 00:03:03.680]  或者去燒烤
[00:03:03.680 --> 00:03:04.760]  不過現在那麼熱
[00:03:04.760 --> 00:03:05.880]  難一點去燒烤
[00:03:05.880 --> 00:03:06.960]  但無論如何
[00:03:06.960 --> 00:03:08.920]  通常我們放假
[00:03:08.920 --> 00:03:10.320]  我們就很想放鬆
[00:03:10.320 --> 00:03:11.240]  去玩
[00:03:11.240 --> 00:03:13.520]  去吃一餐好的
[00:03:13.520 --> 00:03:14.840]  去看電影
[00:03:14.840 --> 00:03:17.120]  這些都是無可厚非的
[00:03:17.120 --> 00:03:20.040]  通常星期日下午你會做什麼
[00:03:20.040 --> 00:03:22.240]  星期日早上我們就會崇拜
[00:03:22.240 --> 00:03:25.160]  就算今早在八號風球裏
[00:03:25.160 --> 00:03:29.160]  我們都會在家參與網上崇拜
[00:03:29.160 --> 00:03:32.800]  但星期日下午通常你會做什麼
[00:03:32.800 --> 00:03:34.000]  可能有些頂姐妹說
[00:03:34.000 --> 00:03:36.240]  我就去補眠 睡覺
[00:03:36.240 --> 00:03:38.280]  我都試過星期日下午
[00:03:38.280 --> 00:03:39.680]  即是完了服事
[00:03:39.680 --> 00:03:41.880]  兩點多三點回到家
[00:03:41.880 --> 00:03:45.080]  睡眼覺其實是很幸福的
[00:03:45.080 --> 00:03:46.720]  因為不需要調鬧鐘
[00:03:46.720 --> 00:03:48.200]  然後可以睡到自然醒
[00:03:48.200 --> 00:03:50.480]  然後睡到五六點起床吃飯
[00:03:50.480 --> 00:03:53.280]  有些頂姐妹可能星期日下午
[00:03:53.280 --> 00:03:54.920]  會做家務
[00:03:54.920 --> 00:03:56.520]  因為一至六都很忙
[00:03:56.520 --> 00:03:57.720]  做不到家務
[00:03:57.720 --> 00:04:00.280]  可能就留到星期日下午
[00:04:00.280 --> 00:04:02.320]  可能要洗一下廁所
[00:04:02.320 --> 00:04:04.440]  抹一下廚房
[00:04:04.440 --> 00:04:07.880]  或者有些人很喜歡打機
[00:04:07.880 --> 00:04:10.600]  或者上網看Netflix
[00:04:10.600 --> 00:04:12.520]  或者看YouTube 看電影
[00:04:12.520 --> 00:04:14.440]  我不知道你有沒有星期日下午
[00:04:14.440 --> 00:04:15.760]  都要繼續上班
[00:04:15.760 --> 00:04:19.640]  或者繼續工作累積得很多
[00:04:19.640 --> 00:04:21.440]  所以星期日下午都要工作
[00:04:21.440 --> 00:04:25.200]  又或者星期日下午你會煮一餐好的
[00:04:25.200 --> 00:04:26.040]  即不是出街食
[00:04:26.040 --> 00:04:27.840]  當然出街食餐好
[00:04:27.840 --> 00:04:29.480]  亦都很多人會有這個選擇
[00:04:29.480 --> 00:04:32.480]  但星期日就可以有機會下廚
[00:04:32.480 --> 00:04:34.880]  這個都是星期日下午
[00:04:34.880 --> 00:04:38.240]  通常你可能有機會會做的事
[00:04:38.240 --> 00:04:40.800]  但通常星期日去到傍晚
[00:04:40.800 --> 00:04:43.760]  有些人就開始不太開心
