
[00:00:00.000 --> 00:00:03.000]  今年會透過大衛的生平
[00:00:03.000 --> 00:00:07.000]  在三個議題上講解大衛的生平
[00:00:07.000 --> 00:00:09.000]  關於一個很重要的課題
[00:00:09.000 --> 00:00:13.000]  在大衛的生平裏面已經進入了一個叫訓練期
[00:00:13.000 --> 00:00:16.000]  我們上次已經提到是一個第一期的訓練
[00:00:16.000 --> 00:00:19.000]  現在可以進入一個叫第二期的訓練
[00:00:19.000 --> 00:00:21.000]  在這個訓練期裏面我們知道
[00:00:21.000 --> 00:00:25.000]  聖經稱大衛為合神心意的和
[00:00:25.000 --> 00:00:27.000]  一個合神心意的和
[00:00:27.000 --> 00:00:29.000]  大衛不是一個完全人
[00:00:29.000 --> 00:00:32.000]  不是一個聖潔的人
[00:00:32.000 --> 00:00:37.000]  但是他是一個合神心意的和
[00:00:37.000 --> 00:00:40.000]  為什麼他被稱為合神心意的和呢
[00:00:40.000 --> 00:00:43.000]  我們先看一下先有的簡介
[00:00:43.000 --> 00:00:47.000]  就是在撒姆爾記上19章到31章
[00:00:47.000 --> 00:00:50.000]  就是去到撒姆爾記上最後一章
[00:00:50.000 --> 00:00:54.000]  其實在撒姆爾記佔了一半的記載
[00:00:54.000 --> 00:00:58.000]  都是記載這個第二任皇帝的逃亡生涯
[00:00:58.000 --> 00:01:01.000]  由19章到31章
[00:01:01.000 --> 00:01:06.000]  是整個大衛高立為王之後
[00:01:06.000 --> 00:01:07.000]  未正式登基
[00:01:07.000 --> 00:01:09.000]  但是整個生命是逃亡的
[00:01:09.000 --> 00:01:14.000]  而多多撒姆爾記下第2章
[00:01:14.000 --> 00:01:18.000]  他才正式登基做以色列的第二任皇帝
[00:01:18.000 --> 00:01:23.000]  多多撒姆爾記下第15章大衛晚年的時候
[00:01:23.000 --> 00:01:27.000]  他的兒子阿沙隆是想謀朝篡位
[00:01:27.000 --> 00:01:32.000]  大衛又再一次過逃亡生涯
[00:01:32.000 --> 00:01:33.000]  很慘
[00:01:33.000 --> 00:01:38.000]  你會看到大衛整個生涯到晚年都繼續逃亡
[00:01:38.000 --> 00:01:41.000]  是很陰公的事情
[00:01:41.000 --> 00:01:44.000]  我們在整個大衛生平裡面
[00:01:44.000 --> 00:01:47.000]  看到他經歷了很多的事情
[00:01:47.000 --> 00:01:49.000]  有高低起跌
[00:01:49.000 --> 00:01:50.000]  政治的人生
