
[00:00:00.000 --> 00:00:01.760]  我們一起讀一節聖經
[00:00:01.760 --> 00:00:04.320]  在哈巴古書第三章第二節
[00:00:04.320 --> 00:00:05.320]  只有一節的聖經
[00:00:05.320 --> 00:00:06.280]  我們一同來念
[00:00:06.280 --> 00:00:07.360]  來
[00:00:07.360 --> 00:00:10.680]  耶和華 我聽見祢的鳴聲就懼怕
[00:00:10.680 --> 00:00:14.560]  耶和華 求祢在這些年間復興祢的作為
[00:00:14.560 --> 00:00:17.000]  在這些年間顯明出來
[00:00:17.000 --> 00:00:20.040]  在發怒的時候以憐憫為念
[00:00:20.040 --> 00:00:21.720]  我們就讀到這裡
[00:00:21.720 --> 00:00:23.920]  感謝神在過去兩天晚上
[00:00:23.920 --> 00:00:27.040]  我們在Shakina Glory的會堂
[00:00:27.040 --> 00:00:29.240]  我們舉辦了疫情之後
[00:00:29.240 --> 00:00:31.240]  第一次的復興一日特會
[00:00:31.240 --> 00:00:32.400]  哈利路亞
[00:00:32.400 --> 00:00:35.080]  感謝讚美我們的神
[00:00:35.080 --> 00:00:36.560]  有多少人已經參加了
[00:00:36.560 --> 00:00:37.600]  在我們中間這兩天
[00:00:37.600 --> 00:00:38.760]  哈利路亞
[00:00:38.760 --> 00:00:41.040]  我不知道你們有沒有感覺
[00:00:41.040 --> 00:00:42.320]  前兩天晚上來參加
[00:00:42.320 --> 00:00:43.680]  覺得好興奮
[00:00:43.680 --> 00:00:45.800]  太久沒參加特會了
[00:00:45.800 --> 00:00:47.920]  哇 真的來到神面前
[00:00:47.920 --> 00:00:51.400]  無論是與弟兄姊妹打招呼
[00:00:51.400 --> 00:00:53.200]  敬拜 聽講到
[00:00:53.200 --> 00:00:55.600]  都是覺得非常的興奮
[00:00:55.600 --> 00:00:56.880]  也真的感謝神
[00:00:56.880 --> 00:00:57.680]  前兩天晚上
[00:00:57.680 --> 00:00:59.440]  我們看見神在我們中間
[00:00:59.440 --> 00:01:02.160]  真的是神的靈大大在運行
[00:01:02.160 --> 00:01:04.240]  很多人得到方言
[00:01:04.240 --> 00:01:06.560]  也有些人得到醫治
[00:01:06.560 --> 00:01:08.760]  好幾個人跟我做見證
[00:01:08.760 --> 00:01:11.200]  不要忘記如果你得醫治的話
[00:01:11.200 --> 00:01:12.960]  一定要做見證
[00:01:12.960 --> 00:01:14.000]  無論有寫下來
[00:01:14.000 --> 00:01:15.240]  或跟人家訴說
[00:01:15.240 --> 00:01:16.680]  我們將榮耀歸給神
[00:01:16.680 --> 00:01:17.600]  Amen
[00:01:17.600 --> 00:01:20.760]  我深深相信神也藉著這兩天晚上
[00:01:20.760 --> 00:01:23.320]  大大的重新眺望了
[00:01:23.320 --> 00:01:26.120]  我們對復興的渴望
[00:01:26.120 --> 00:01:29.840]  特別在這樣一個充滿危機的一個時代
[00:01:29.840 --> 00:01:33.120]  不但是疫情好像沒完沒了
[00:01:33.120 --> 00:01:36.640]  多少時候當我們面對我們的生活環境
[00:01:36.640 --> 00:01:39.120]  甚至當我們面對我們自己人生
[00:01:39.120 --> 00:01:41.080]  各樣的關口的時候
[00:01:41.080 --> 00:01:44.440]  我們也不知道要何去何從
[00:01:44.440 --> 00:01:46.360]  我們有時候真的必須承認了
[00:01:46.360 --> 00:01:48.200]  我們沒有答案
[00:01:48.200 --> 00:01:50.560]  我們真的是需要神
[00:01:50.560 --> 00:01:54.440]  我們也真的需要神來復興我們
[00:01:54.440 --> 00:01:56.120]  在剛才所讀的經文當中
[00:01:56.120 --> 00:01:58.720]  我們看見先知哈巴古
[00:01:58.720 --> 00:02:00.400]  當時所處在的時刻
[00:02:00.400 --> 00:02:04.560]  也是一個以色列人國非常黑暗的時期
[00:02:04.560 --> 00:02:08.040]  不但當時以色列人心遠離神
[00:02:08.040 --> 00:02:13.080]  他們的境外也有比以色列人更加邪惡的迦勒底人
[00:02:13.080 --> 00:02:15.880]  馬上就要攻打進來
[00:02:15.880 --> 00:02:21.120]  甚至境內連牛羊食物都缺乏
[00:02:21.120 --> 00:02:26.120]  這可以說是一個令人絕望的一個景況
[00:02:26.120 --> 00:02:27.880]  可就在這個時刻
[00:02:27.880 --> 00:02:30.760]  他向神發出了一個呼求
