
[00:00:00.000 --> 00:00:08.400]  (自然音樂)
[00:00:08.400 --> 00:00:10.840]  「溫水煮蛙」意思是
[00:00:10.840 --> 00:00:14.400]  如果我們將一隻青蛙放在舒適的溫水裡
[00:00:14.400 --> 00:00:17.040]  讓牠自由自在地游泳
[00:00:17.040 --> 00:00:19.600]  然後我們慢慢將水加熱
[00:00:19.600 --> 00:00:21.840]  青蛙是不會發覺的
[00:00:21.840 --> 00:00:24.000]  直到青蛙在不知不覺之下
[00:00:24.000 --> 00:00:26.680]  被越來越熱的水煮熟了
[00:00:26.680 --> 00:00:30.320]  這句說話是形容我們在變化緩慢的環境之下
[00:00:30.320 --> 00:00:31.840]  失去了危機感
[00:00:31.840 --> 00:00:34.360]  最後被變化了的環境消滅
[00:00:34.360 --> 00:00:37.280]  這種慢慢地、逐一逐一的力量
[00:00:37.280 --> 00:00:39.480]  其實是很厲害的
[00:00:39.480 --> 00:00:42.040]  不過慢慢地、逐一逐一的力量
[00:00:42.040 --> 00:00:44.560]  不一定會將事物變差
[00:00:44.560 --> 00:00:49.080]  有時可以是慢慢地、逐一逐一變好的
[00:00:49.080 --> 00:00:51.720]  在這個持續了一段時間的疫情之下
[00:00:51.720 --> 00:00:54.080]  大家在生活上都有改變
[00:00:54.080 --> 00:00:58.360]  你有沒有檢視過這個改變令你的生活變得好了
[00:00:58.360 --> 00:01:00.000]  還是變差了呢?
[00:01:00.000 --> 00:01:02.360]  暫停了現場實體崇拜
[00:01:02.360 --> 00:01:03.880]  轉為網上直播
[00:01:03.880 --> 00:01:06.600]  你會不會慢慢覺得可以在家崇拜
[00:01:06.600 --> 00:01:09.040]  又就腳又方便又省時間
[00:01:09.040 --> 00:01:11.360]  慢慢覺得很適應、很習慣
[00:01:11.360 --> 00:01:14.400]  還是你越來越希望能夠去到上帝的殿
[00:01:14.400 --> 00:01:17.080]  和弟兄姊妹一齊來崇拜呢?
[00:01:17.080 --> 00:01:19.680]  暫停了小組和團契的聚會
[00:01:19.680 --> 00:01:22.280]  大家可以透過互聯網開組
[00:01:22.280 --> 00:01:24.280]  你會不會慢慢地覺得
[00:01:24.280 --> 00:01:27.120]  這樣的相交方式都沒有所謂
[00:01:27.120 --> 00:01:30.000]  還是你越來越想和弟兄姊妹見面
[00:01:30.000 --> 00:01:33.640]  因為你覺得這樣才有真正的團契的生活呢?
[00:01:33.640 --> 00:01:35.640]  其實形式都是其次的
[00:01:35.640 --> 00:01:38.560]  最希望我們能夠更加的緊靠神
[00:01:38.560 --> 00:01:41.080]  深信無論在任何的環境之下
[00:01:41.080 --> 00:01:43.200]  祂都能夠帶領我們經過
[00:01:43.200 --> 00:01:46.000]  彼得前書五章八節提醒我們
[00:01:46.000 --> 00:01:48.040]  勿要緊守、謹慎
[00:01:48.040 --> 00:01:49.960]  因為你們的仇敵魔鬼
[00:01:49.960 --> 00:01:53.080]  如同嘲笑的獅子遍地遊行
[00:01:53.080 --> 00:01:55.080]  尋找可吞吃的人
