
[00:00:00.000 --> 00:00:01.240]  請節省們大家平安
[00:00:01.240 --> 00:00:04.680]  多謝穆子剛才為我們中毒的經文
[00:00:04.680 --> 00:00:07.240]  今天教會給我的題目就是
[00:00:07.240 --> 00:00:09.680]  福音託付
[00:00:09.680 --> 00:00:12.960]  我期間還給了一個分題給他
[00:00:12.960 --> 00:00:15.000]  叫做無要傳道
[00:00:15.000 --> 00:00:17.880]  我們再來看多一次我們剛才
[00:00:17.880 --> 00:00:18.880]  聖經
[00:00:18.880 --> 00:00:21.880]  使徒保羅他起提摩太后書
[00:00:21.880 --> 00:00:23.600]  四章這段的聖經
[00:00:23.600 --> 00:00:25.960]  我估計大家以前看過了
[00:00:25.960 --> 00:00:26.960]  看過了嗎
[00:00:26.960 --> 00:00:28.680]  看過了
[00:00:29.200 --> 00:00:30.280]  甚至乎聽到
[00:00:30.280 --> 00:00:32.200]  都應該聽過了
[00:00:32.200 --> 00:00:33.400]  熟不熟
[00:00:33.400 --> 00:00:35.560]  熟的了
[00:00:35.560 --> 00:00:36.240]  是不是
[00:00:36.240 --> 00:00:37.680]  但是我在今天
[00:00:37.680 --> 00:00:38.800]  我有一個
[00:00:38.800 --> 00:00:42.160]  的使命和任務
[00:00:42.160 --> 00:00:45.160]  我很盼望今天大家能夠對於這段聖經
[00:00:45.160 --> 00:00:47.720]  我們可以再更加深入一點
[00:00:47.720 --> 00:00:49.600]  更加全面一點
[00:00:49.600 --> 00:00:51.680]  要緊的是怎麼樣呢
[00:00:51.680 --> 00:00:54.120]  我們全體都一起來領受
[00:00:54.120 --> 00:00:56.240]  今天的題目叫做
[00:00:56.240 --> 00:00:57.800]  福音託付之
[00:00:58.320 --> 00:00:59.520]  無要傳道
[00:00:59.520 --> 00:01:02.960]  在使徒保羅他寫這封信給
[00:01:02.960 --> 00:01:05.280]  他的屬靈兒子提摩太后的時候
[00:01:05.280 --> 00:01:06.560]  我們來注意
[00:01:06.560 --> 00:01:09.240]  輪到在第二節的時候說
[00:01:09.240 --> 00:01:10.760]  無要傳道
[00:01:10.760 --> 00:01:12.680]  無論得時不得時
[00:01:12.680 --> 00:01:15.160]  請大家留心結構
[00:01:15.160 --> 00:01:16.800]  保羅怎麼說呢
[00:01:16.800 --> 00:01:17.840]  他在第一節
[00:01:17.840 --> 00:01:20.960]  說到說無要傳道的時候他就說
[00:01:20.960 --> 00:01:23.000]  我在神的面前
[00:01:23.000 --> 00:01:26.080]  並在將來審判
[00:01:26.880 --> 00:01:29.880]  死人活人死人的基督耶穌面前
[00:01:29.880 --> 00:01:31.480]  憑著祂的顯然
[00:01:31.480 --> 00:01:35.400]  和祂的國度鄭重地勸誡你
[00:01:35.400 --> 00:01:37.560]  所以先說明
[00:01:37.560 --> 00:01:40.080]  他是憑著什麼
[00:01:40.080 --> 00:01:42.840]  也要讓起當時
[00:01:42.840 --> 00:01:45.200]  凡是屬於主的人
[00:01:45.200 --> 00:01:46.880]  我們都要留心
[00:01:46.880 --> 00:01:48.320]  為什麼我們要
[00:01:48.320 --> 00:01:49.720]  傳揚真道
[00:01:49.720 --> 00:01:51.680]  而這種情況
[00:01:51.680 --> 00:01:53.360]  我們會覺得其實
[00:01:53.360 --> 00:01:54.440]  都不陌生的
[00:01:54.440 --> 00:01:56.840]  我們可不可以再一次背誦
[00:01:57.000 --> 00:01:57.800]  《馬太福音》
[00:01:57.800 --> 00:01:59.480]  第二十八章
[00:01:59.480 --> 00:02:00.960]  第十八節
[00:02:00.960 --> 00:02:02.440]  照第二十節
[00:02:02.440 --> 00:02:03.320]  我估計
[00:02:03.320 --> 00:02:04.680]  如果背的話
[00:02:04.680 --> 00:02:07.440]  你們用的版本不止是用
[00:02:07.440 --> 00:02:09.560]  是的
[00:02:09.560 --> 00:02:10.600]  我們用和修版
[00:02:10.600 --> 00:02:11.400]  但是你們背的時候
[00:02:11.400 --> 00:02:13.040]  是不是都是背和修版的
[00:02:13.040 --> 00:02:14.360]  還是用回以前的
[00:02:14.360 --> 00:02:15.920]  用回以前的
[00:02:15.920 --> 00:02:16.960]  好
[00:02:16.960 --> 00:02:18.720]  需要時間
[00:02:18.720 --> 00:02:21.680]  和修版我都未必背得準
[00:02:21.680 --> 00:02:23.800]  我們背回我們以前
[00:02:23.800 --> 00:02:25.080]  一直背開那個好嗎
[00:02:25.800 --> 00:02:27.360]  《馬太福音》第二十八章
[00:02:27.360 --> 00:02:28.520]  第十八節
[00:02:28.520 --> 00:02:29.840]  先背第十八節
[00:02:29.840 --> 00:02:30.560]  一起來
[00:02:30.560 --> 00:02:34.000]  耶穌進前來
[00:02:34.000 --> 00:02:35.920]  現在說第十八節
[00:02:35.920 --> 00:02:36.720]  一起來
[00:02:36.720 --> 00:02:38.520]  耶穌進前來
[00:02:38.520 --> 00:02:39.920]  對他們說
[00:02:39.920 --> 00:02:41.160]  天上
[00:02:41.160 --> 00:02:41.960]  地下
[00:02:41.960 --> 00:02:44.640]  所有的權柄都賜給我了
[00:02:44.640 --> 00:02:45.720]  所以
[00:02:45.720 --> 00:02:47.560]  這是第十九節
[00:02:47.560 --> 00:02:48.240]  照二十節
[00:02:48.240 --> 00:02:49.480]  所以
[00:02:49.480 --> 00:02:50.680]  你們要去
[00:02:50.680 --> 00:02:52.840]  使萬民作我的門徒
[00:02:52.840 --> 00:02:55.200]  奉父指聖靈的名
[00:02:55.280 --> 00:02:56.640]  給他們施洗
[00:02:56.640 --> 00:02:58.760]  凡我所吩咐你們的
[00:02:58.760 --> 00:03:00.520]  都教導他們遵守
[00:03:00.520 --> 00:03:02.920]  我就常與你們同在
[00:03:02.920 --> 00:03:05.120]  直到世界的末了
[00:03:05.120 --> 00:03:07.600]  不管是主耶穌所說的
