
[00:00:00.000 --> 00:00:02.000]  今天我們要來分享
[00:00:02.000 --> 00:00:04.000]  上禮拜我們也繼續來分享
[00:00:04.000 --> 00:00:06.000]  就是跟禱告主理說
[00:00:06.000 --> 00:00:08.000]  我們進入一個新的季節
[00:00:08.000 --> 00:00:10.000]  所以我們就在
[00:00:10.000 --> 00:00:12.000]  這一個信節我們要來承接
[00:00:12.000 --> 00:00:14.000]  我們就要叩叩禱告來承接
[00:00:14.000 --> 00:00:16.000]  今天我們繼續來回應
[00:00:16.000 --> 00:00:17.000]  剛剛我們叩叩禱告
[00:00:17.000 --> 00:00:19.000]  神也幫助我們提醒
[00:00:19.000 --> 00:00:21.000]  就是我們所居住的城市
[00:00:21.000 --> 00:00:23.000]  是神所愛的城市
[00:00:23.000 --> 00:00:25.000]  所以其實呢
[00:00:25.000 --> 00:00:26.000]  神給我們一個作為
[00:00:26.000 --> 00:00:28.000]  就是我們要禱告
[00:00:28.000 --> 00:00:30.000]  來守護我們的城市
[00:00:30.000 --> 00:00:32.000]  神把我們放在哪一個地方
[00:00:32.000 --> 00:00:33.000]  其實神就要讓我們
[00:00:33.000 --> 00:00:34.000]  祝福那個地方
[00:00:34.000 --> 00:00:36.000]  這是基督會一個很大的榮耀
[00:00:36.000 --> 00:00:38.000]  因為我們就是可以
[00:00:38.000 --> 00:00:40.000]  祝福我們所居住的地方
[00:00:40.000 --> 00:00:41.000]  只有基督可以
[00:00:41.000 --> 00:00:42.000]  因為神跟我們同在
[00:00:42.000 --> 00:00:44.000]  來祝我們快樂
[00:00:44.000 --> 00:00:45.000]  所以聖經裡面提到
[00:00:45.000 --> 00:00:47.000]  那城若有義人存在
[00:00:47.000 --> 00:00:49.000]  那城就會得平安
[00:00:49.000 --> 00:00:50.000]  所以是誰呢
[00:00:50.000 --> 00:00:51.000]  就是我們
[00:00:51.000 --> 00:00:53.000]  所以我想我們就來回應主
[00:00:53.000 --> 00:00:54.000]  幫助我們董哥
[00:00:54.000 --> 00:00:55.000]  來回應主
