
[00:00:00.000 --> 00:00:02.540]  接著是講道的時間
[00:00:02.540 --> 00:00:08.600]  我們先讀出今天要讀的經文
[00:00:08.600 --> 00:00:13.580]  我想我們讀小行傳十九章
[00:00:13.580 --> 00:00:21.040]  我們先讀十九章的二十到二十三節
[00:00:21.040 --> 00:00:24.680]  十九章的二十到二十三節
[00:00:24.680 --> 00:00:26.880]  讀這四節聖經
[00:00:26.880 --> 00:00:30.960]  如果找到的話我請丁潔媚一起讀出
[00:00:30.960 --> 00:00:31.960]  預備起
[00:00:56.880 --> 00:01:02.920]  「那時留在亞細亞,那時因這道路而起的騷動不少。」
[00:01:02.920 --> 00:01:08.620]  今天的講題是主道興旺的標記
[00:01:08.620 --> 00:01:11.920]  主道興旺的時刻
[00:01:11.920 --> 00:01:16.400]  在小行傳來到以弗所這個地方
[00:01:16.400 --> 00:01:19.100]  有一個很特別的描述
[00:01:19.100 --> 00:01:22.620]  一會兒我們去研讀這段聖經的時候
[00:01:22.620 --> 00:01:25.720]  讓我們看看主道興旺的時候
[00:01:25.720 --> 00:01:29.960]  有什麼特別的事情伴隨著發生呢?
[00:01:29.960 --> 00:01:34.960]  在聆聽神的話之前讓我們再一次禱告
[00:01:34.960 --> 00:01:38.960]  天主上求祢開我們的心
[00:01:38.960 --> 00:01:45.160]  讓我們願意領受祢的道
[00:01:45.160 --> 00:01:47.160]  臣祢的話語
[00:01:47.160 --> 00:01:50.560]  主或者我們心裡有一些愁煩
[00:01:50.560 --> 00:01:52.060]  有一些憂慮
[00:01:52.060 --> 00:01:54.760]  甚至有一些恐懼
[00:01:54.760 --> 00:01:58.000]  或者我們心裡有不安
[00:01:58.000 --> 00:01:59.000]  煩惱
[00:01:59.000 --> 00:02:02.500]  或者有一些未解的心結
[00:02:02.500 --> 00:02:04.760]  主求祢幫我們知道
[00:02:04.760 --> 00:02:10.500]  在祢面前我們可以將所有憂愁困難都卸給祢
[00:02:10.500 --> 00:02:16.500]  主求祢幫我們可以全生命去擁抱祢
[00:02:16.500 --> 00:02:21.500]  祢自己的同在能夠改變我們所有
[00:02:21.500 --> 00:02:24.500]  所有的難處都能夠勝過
[00:02:24.500 --> 00:02:26.000]  就像聖經說的
[00:02:26.000 --> 00:02:33.000]  神的話大有能力一路去增長興旺並且得勝
[00:02:33.000 --> 00:02:35.000]  主求祢幫助
[00:02:35.000 --> 00:02:39.000]  當主的道在我們生命裡興旺的時候
[00:02:39.000 --> 00:02:45.500]  我們可能就面對有來自世界甚至撒旦的攻擊
[00:02:45.500 --> 00:02:48.500]  求祢讓我們不需要驚訝
[00:02:48.500 --> 00:02:52.000]  讓我們能夠依靠祢得勝
[00:02:52.000 --> 00:02:54.500]  在神面前靠主得勝
[00:02:54.500 --> 00:02:57.500]  多謝您聽我們祈禱奉耶穌的聖名
[00:03:23.000 --> 00:03:26.000]  (記者問:不明和不明白)
[00:03:26.000 --> 00:03:28.000]  其實不明和不明白
[00:03:28.000 --> 00:03:31.000]  不是不明 是不能和不明白
[00:03:31.000 --> 00:03:37.000]  在中國內地很多網民就李明亮醫生
[00:03:37.000 --> 00:03:43.000]  他在武漢宣告向他身邊的親朋戚友說
[00:03:43.000 --> 00:03:47.000]  有肺炎這些傳染病發生的時候
[00:03:47.000 --> 00:03:51.000]  他很緊張要通知他身邊的人
[00:03:51.000 --> 00:03:56.000]  之後他被公安訓誡
[00:03:56.000 --> 00:04:00.000]  接著那張就是公安當局給他的訓誡書
[00:04:00.000 --> 00:04:02.000]  大致上的內容就是說
[00:04:02.000 --> 00:04:05.000]  他已經在網上犯法
[00:04:05.000 --> 00:04:08.000]  做了一些違法的事是不容許的
[00:04:08.000 --> 00:04:12.000]  所以主要就帶出兩個問題要他去配合
[00:04:12.000 --> 00:04:22.000]  他說你會不會能夠做到政府當局公安的要求
[00:04:22.000 --> 00:04:24.000]  停止這些行為
[00:04:24.000 --> 00:04:27.000]  你能不能
[00:04:27.000 --> 00:04:30.000]  你可不可以知道自己不對
[00:04:30.000 --> 00:04:33.000]  你能不能停止繼續這件事
[00:04:33.000 --> 00:04:37.000]  能不能
[00:04:37.000 --> 00:04:40.000]  第二句就說你要明白你要知道
[00:04:40.000 --> 00:04:42.000]  如果你繼續這樣做
[00:04:42.000 --> 00:04:45.000]  不思悔改
[00:04:45.000 --> 00:04:47.000]  不理你繼續做
[00:04:47.000 --> 00:04:51.000]  你要明白你要面對嚴重的後果
[00:04:51.000 --> 00:04:55.000]  如果你不停
[00:04:55.000 --> 00:04:57.000]  你會面對嚴重的後果
[00:04:57.000 --> 00:04:58.000]  他的問題是
[00:04:58.000 --> 00:05:03.000]  除了問你能不能配合政府公安
[00:05:03.000 --> 00:05:06.000]  第二個問題是你能不能明白這件事
[00:05:10.000 --> 00:05:13.000]  有些人批評李醫生
[00:05:13.000 --> 00:05:16.000]  覺得他不夠骨氣
[00:05:16.000 --> 00:05:18.000]  但我心裏想
