
[00:00:00.000 --> 00:00:03.800]  今天是宗之主日
[00:00:03.800 --> 00:00:09.880]  即是紀念主耶穌入耶路撒冷
[00:00:09.880 --> 00:00:12.600]  騎著路入耶路撒冷的時候
[00:00:12.600 --> 00:00:15.000]  人去歡呼
[00:00:15.000 --> 00:00:19.000]  歡呼說:和撒拿歸於大位之子
[00:00:19.000 --> 00:00:22.200]  奉主名來的是應當稱頌的
[00:00:22.200 --> 00:00:26.000]  至高無上的和撒拿
[00:00:26.000 --> 00:00:29.400]  就是紀念這個日子
[00:00:29.400 --> 00:00:31.400]  而我們今天
[00:00:31.400 --> 00:00:33.400]  我們就會思想
[00:00:33.400 --> 00:00:36.400]  主耶穌入耶路撒冷之前
[00:00:36.400 --> 00:00:38.400]  祂的服事
[00:00:38.400 --> 00:00:40.400]  祂做過什麼
[00:00:40.400 --> 00:00:46.400]  《馬太福音》第九章35到38節
[00:00:46.400 --> 00:00:49.400]  我們試試一起讀一次
[00:00:49.400 --> 00:00:51.400]  四節很短
[00:00:51.400 --> 00:00:53.400]  準備起
[00:00:53.400 --> 00:00:56.400]  耶穌走遍各城各鄉
[00:00:56.400 --> 00:00:59.400]  在他們的會堂裡教導人
[00:00:59.400 --> 00:01:01.400]  宣講天國的福音
[00:01:01.400 --> 00:01:04.400]  又醫治各樣的病症
[00:01:04.400 --> 00:01:08.400]  他看見一大群人就憐憫他們
[00:01:08.400 --> 00:01:11.400]  因為他們困苦無助
[00:01:11.400 --> 00:01:14.400]  如同羊沒有牧人一樣
[00:01:14.400 --> 00:01:16.400]  於是他對門徒說
[00:01:16.400 --> 00:01:18.400]  要收的莊稼多
[00:01:18.400 --> 00:01:20.400]  做工的人少
[00:01:20.400 --> 00:01:23.400]  所以你們要求莊稼的主
[00:01:23.400 --> 00:01:25.400]  差遣做工的人
[00:01:25.400 --> 00:01:28.400]  出去收他的莊稼
[00:01:28.400 --> 00:01:30.400]  一開始
[00:01:30.400 --> 00:01:32.400]  第35節就已經說
[00:01:32.400 --> 00:01:35.400]  耶穌走遍各城各鄉
[00:01:35.400 --> 00:01:38.400]  在他們的會堂裡教導人
[00:01:38.400 --> 00:01:40.400]  宣講天國的福音
[00:01:40.400 --> 00:01:42.400]  又醫治各樣的病症
[00:01:42.400 --> 00:01:45.400]  第35節重複出現的
[00:01:45.400 --> 00:01:48.400]  三個國字
[00:01:48.400 --> 00:01:50.400]  在原文裡這個國字
[00:01:50.400 --> 00:01:53.400]  代表每一或者所有
[00:01:53.400 --> 00:01:56.400]  就是耶穌走遍所有的城市
[00:01:56.400 --> 00:01:58.400]  所有的鄉村
[00:01:58.400 --> 00:02:00.400]  又醫治所有的病症
[00:02:00.400 --> 00:02:04.400]  在原文裡的確有三個國字
[00:02:04.400 --> 00:02:07.400]  不過不是這三個位置
[00:02:07.400 --> 00:02:12.400]  是耶穌走遍各城和鄉
[00:02:12.400 --> 00:02:14.400]  第一個國字
[00:02:14.400 --> 00:02:17.400]  第二個國字是醫治各樣的疾病
[00:02:17.400 --> 00:02:21.400]  和各樣的病弱或病痛
[00:02:21.400 --> 00:02:24.400]  在中文翻譯的時候
[00:02:24.400 --> 00:02:28.400]  病症、疾病、病弱、病痛
[00:02:28.400 --> 00:02:29.400]  歸一類
[00:02:29.400 --> 00:02:32.400]  變成各樣的疾病
[00:02:32.400 --> 00:02:34.400]  但其實這三個國字
[00:02:34.400 --> 00:02:37.400]  分別放在三個不同的地方
[00:02:37.400 --> 00:02:39.400]  不單止這樣
[00:02:39.400 --> 00:02:41.400]  其實這次的經文
[00:02:41.400 --> 00:02:44.400]  也跟4章23節很相似
[00:02:44.400 --> 00:02:46.400]  4章23節說
[00:02:46.400 --> 00:02:49.400]  耶穌走遍加利利在各會堂裡教導人
[00:02:49.400 --> 00:02:51.400]  宣廣天國的福音
[00:02:51.400 --> 00:02:57.400]  醫治百姓各樣的疾病
[00:02:57.400 --> 00:02:59.400]  原文裡同樣是
[00:02:59.400 --> 00:03:01.400]  醫治百姓各疾病
[00:03:01.400 --> 00:03:05.400]  和各樣的病弱、病痛
[00:03:05.400 --> 00:03:07.400]  當我們看第35節的時候
[00:03:07.400 --> 00:03:09.400]  第一個感覺就是耶穌很忙碌
[00:03:09.400 --> 00:03:11.400]  事實耶穌真的很忙碌
[00:03:11.400 --> 00:03:13.400]  耶穌很辛苦
[00:03:13.400 --> 00:03:16.400]  走遍各城各鄉
