
[00:00:00.000 --> 00:00:02.380]  OK 大家姐妹早安
[00:00:02.380 --> 00:00:05.080]  今天是我們2026年
[00:00:05.080 --> 00:00:07.120]  活因教會第一次慶祝新年
[00:00:07.120 --> 00:00:09.900]  我們一起給大家一點鼓勵 好不好
[00:00:09.900 --> 00:00:12.560]  我們再一次跟大家說新年快樂
[00:00:12.560 --> 00:00:14.720]  新年快樂
[00:00:14.720 --> 00:00:18.300]  好了 今天講到的主題
[00:00:18.300 --> 00:00:20.480]  麻煩弟兄幫我去
[00:00:20.480 --> 00:00:22.840]  對了 我們講了很多次
[00:00:22.840 --> 00:00:25.080]  我們的主題是什麼 大家記不記得
[00:00:25.080 --> 00:00:27.000]  今年教會主題
[00:00:27.000 --> 00:00:29.160]  FIFA
[00:00:29.160 --> 00:00:31.160]  很有活力的一個主題
[00:00:31.160 --> 00:00:33.640]  是Faith in Fellowship in Action
[00:00:33.640 --> 00:00:35.280]  Fellowship是什麼意思呢
[00:00:35.280 --> 00:00:37.360]  就是我們要再一次的學習
[00:00:37.360 --> 00:00:39.160]  在我們的團契裡面得力
[00:00:39.160 --> 00:00:43.320]  我們要懂得在團契裡面有愛
[00:00:43.320 --> 00:00:45.800]  彼此相愛
[00:00:45.800 --> 00:00:47.600]  然後我們才可以一起
[00:00:47.600 --> 00:00:50.280]  去走出這個世界
[00:00:50.280 --> 00:00:53.720]  中文的主題叫做
[00:00:53.720 --> 00:00:56.360]  非凡人生 活出主因
[00:00:56.360 --> 00:00:58.040]  是不是很容易記
[00:00:58.040 --> 00:00:59.920]  我們一起去讀這個主題好不好
[00:00:59.920 --> 00:01:02.000]  等一下 醞釀一下
[00:01:02.000 --> 00:01:04.200]  非凡人生 活出主因
[00:01:04.200 --> 00:01:05.160]  記不記得
[00:01:05.160 --> 00:01:06.680]  我們一起去讀這個主題好不好
[00:01:06.680 --> 00:01:07.920]  1 2 3
[00:01:07.920 --> 00:01:11.440]  非凡人生 活出主因
[00:01:11.440 --> 00:01:13.960]  太激動了 走音了
[00:01:13.960 --> 00:01:16.080]  OK 究竟其實很多弟兄姐妹
[00:01:16.080 --> 00:01:17.800]  就是說什麼意思呢
[00:01:17.800 --> 00:01:19.920]  怎樣非凡人生法呢
[00:01:19.920 --> 00:01:22.520]  怎樣才可以活出主因呢
[00:01:22.520 --> 00:01:24.680]  我們教睦 同工
[00:01:24.680 --> 00:01:26.720]  我們都有一點點的開會
[00:01:26.720 --> 00:01:28.840]  初步有一個比較
[00:01:28.840 --> 00:01:31.080]  概括的schedule給大家
[00:01:31.080 --> 00:01:32.920]  除了我們講道主題
[00:01:32.920 --> 00:01:34.640]  還有我們第二堂的
[00:01:34.640 --> 00:01:36.400]  言經 茶經
[00:01:36.400 --> 00:01:39.160]  我們會配合我們的主題之外
[00:01:39.160 --> 00:01:41.080]  一年有四個季度
[00:01:41.080 --> 00:01:43.520]  我們嘗試每一個季度
[00:01:43.520 --> 00:01:46.040]  都有一點點教會性的一些活動
[00:01:46.040 --> 00:01:48.960]  去幫助大家一起去活出主因
[00:01:48.960 --> 00:01:51.680]  譬如在三月份之前
[00:01:51.680 --> 00:01:53.560]  我們會有一系列的
[00:01:53.560 --> 00:01:55.080]  這個退休會
[00:01:55.080 --> 00:01:57.920]  就是禱告的退休會
[00:01:57.920 --> 00:02:01.000]  因為萬事是從禱告開始
[00:02:01.000 --> 00:02:03.840]  我們就會在三月份之前
[00:02:03.840 --> 00:02:05.920]  我們會組織一個退休會
[00:02:05.920 --> 00:02:08.440]  一起離開我們煩擾的生活
[00:02:08.440 --> 00:02:09.960]  去到一個地方
[00:02:09.960 --> 00:02:12.360]  我們是用禱告開始
[00:02:12.360 --> 00:02:14.040]  來預備我們的心
[00:02:14.040 --> 00:02:15.960]  在四至六月份這個時間
[00:02:15.960 --> 00:02:17.800]  預備好我們的心的時候
[00:02:17.800 --> 00:02:19.600]  我們在四至六月的時候
[00:02:19.600 --> 00:02:22.560]  我們就會預備去做一些
[00:02:22.560 --> 00:02:25.560]  無論是小組的宣教活動
[00:02:25.560 --> 00:02:27.560]  小組的福音工作
[00:02:27.560 --> 00:02:31.160]  還是全教會一些大型性的福音工作
[00:02:31.160 --> 00:02:33.720]  我們會在四至六月份的時候
[00:02:33.720 --> 00:02:35.160]  會去舉辦
[00:02:35.160 --> 00:02:37.800]  去到七至九月份的時候
[00:02:37.800 --> 00:02:39.800]  我們就會有一個培靈會
[00:02:39.800 --> 00:02:41.160]  聖經培靈會
[00:02:41.160 --> 00:02:43.040]  就和梁牧師在這裡
[00:02:43.040 --> 00:02:44.720]  大概是九月五號
[00:02:44.720 --> 00:02:45.680]  大概九月五號
[00:02:45.680 --> 00:02:46.520]  不要quote我
[00:02:46.520 --> 00:02:48.840]  大概九月頭的時間
[00:02:48.840 --> 00:02:51.080]  我們可能會找一個星期六
[00:02:51.080 --> 00:02:55.240]  梁牧師會帶我們去讀《仕途行傳》
[00:02:55.240 --> 00:02:56.640]  在《仕途行傳》裡面
[00:02:56.640 --> 00:02:57.640]  我們得力
[00:02:57.640 --> 00:03:00.840]  看看神是如何帶領初期教會
[00:03:00.840 --> 00:03:02.760]  在逼迫當中
[00:03:02.760 --> 00:03:04.480]  都令到福音興旺
[00:03:04.480 --> 00:03:06.920]  去到十至十二月份的時候
[00:03:06.920 --> 00:03:11.040]  我們會繼續去服務這個社區
[00:03:11.040 --> 00:03:14.400]  你看到是有一個pattern的
[00:03:14.400 --> 00:03:15.880]  我們由禱告開始
[00:03:15.880 --> 00:03:16.680]  being
[00:03:16.680 --> 00:03:17.920]  我們要懂得親近神
[00:03:17.920 --> 00:03:18.840]  好像Candace那樣說
[00:03:18.840 --> 00:03:20.040]  我們要親近神
[00:03:20.040 --> 00:03:22.680]  然後我們才會有少少的doing
[00:03:22.680 --> 00:03:25.120]  有些action去respond
[00:03:25.120 --> 00:03:25.920]  接著又怎樣
[00:03:25.920 --> 00:03:27.280]  接著又有些being
[00:03:27.280 --> 00:03:28.560]  培靈會
[00:03:28.560 --> 00:03:30.560]  接著我們又再有些action
[00:03:30.560 --> 00:03:31.600]  有些doing
[00:03:31.600 --> 00:03:34.760]  希望我們今年可以一起
[00:03:34.760 --> 00:03:36.400]  互相去鼓勵
[00:03:36.400 --> 00:03:37.760]  去活出神的使命
[00:03:37.760 --> 00:03:38.800]  活出主因
[00:03:38.800 --> 00:03:39.520]  好不好
[00:03:39.520 --> 00:03:41.760]  今天第一個講道主題
[00:03:41.760 --> 00:03:43.960]  就是講道愛
[00:03:43.960 --> 00:03:44.480]  愛
[00:03:44.480 --> 00:03:47.040]  我們一起要由愛開始
[00:03:47.040 --> 00:03:48.120]  教會的存在
[00:03:48.120 --> 00:03:50.120]  我們是要活出愛
[00:03:50.120 --> 00:03:52.120]  究竟什麼叫做愛
[00:03:52.120 --> 00:03:53.560]  和為什麼我們要愛呢
[00:03:53.560 --> 00:03:55.760]  今天我們就在啟示錄那裡
[00:03:55.760 --> 00:03:57.760]  去學習何謂愛
[00:03:57.760 --> 00:03:58.760]  好不好
[00:03:58.760 --> 00:04:00.760]  我們來看看經文怎樣說
[00:04:00.760 --> 00:04:02.760]  這個是聖經裡面
[00:04:02.760 --> 00:04:04.760]  最後的一卷書
[00:04:04.760 --> 00:04:06.760]  是主耶穌
[00:04:06.760 --> 00:04:09.760]  給教會最後的一些教導
[00:04:09.760 --> 00:04:11.760]  最後的一些訓導
[00:04:11.760 --> 00:04:13.760]  這個是給已忽所書
[00:04:13.760 --> 00:04:16.760]  教會的一個勸勉
[00:04:16.760 --> 00:04:18.760]  英文這樣說
[00:04:18.760 --> 00:04:19.760]  他和約翰說
[00:04:19.760 --> 00:04:21.760]  你和已忽所教會的人這樣說
[00:04:21.760 --> 00:04:25.760]  那一位右手握著七星
[00:04:25.760 --> 00:04:29.760]  在七個金燈台中間行走的
[00:04:29.760 --> 00:04:31.760]  這樣說
[00:04:31.760 --> 00:04:35.760]  為什麼耶穌不直接稱自己為耶穌呢
[00:04:35.760 --> 00:04:37.760]  為什麼他一定要emphasize
[00:04:37.760 --> 00:04:41.760]  自己是右手握著七星的呢
[00:04:41.760 --> 00:04:44.760]  他要告訴教會的使者
[00:04:44.760 --> 00:04:45.760]  使徒們
[00:04:45.760 --> 00:04:46.760]  告訴他們
