
[00:00:00.000 --> 00:00:06.180]  聖誕的故事就傳了千幾二千年
[00:00:06.180 --> 00:00:10.200]  都是聖經記載馬槽聖嬰
[00:00:10.200 --> 00:00:15.960]  沐人民信 明星引路 三王來朝
[00:00:15.960 --> 00:00:22.480]  其實聖誕故事原來都傳講了百多年
[00:00:22.480 --> 00:00:26.080]  拍過電影 拍過舞臺劇
[00:00:26.080 --> 00:00:29.440]  改編成卡通片 什麼都有的
[00:00:29.440 --> 00:00:33.920]  這就是英國文豪查理斯·狄金斯所作的
[00:00:33.920 --> 00:00:37.960]  聖誕術儀Christmas Carol
[00:00:37.960 --> 00:00:43.120]  一個今天聽來仍然很令我們感動的故事
[00:00:43.120 --> 00:00:47.200]  話說有個超級有錢佬叫史高祠
[00:00:47.200 --> 00:00:49.920]  史君孤寒成性
[00:00:49.920 --> 00:00:54.080]  有一年的平安夜他仍然要開工
[00:00:54.080 --> 00:00:56.880]  他的夥計跟着他工作很辛苦
[00:00:56.880 --> 00:00:59.240]  英國天氣很冷
[00:00:59.240 --> 00:01:03.120]  他甚至孤寒到加一塊炭都不捨得
[00:01:03.120 --> 00:01:04.720]  因爲這樣的孤寒才處
[00:01:04.720 --> 00:01:08.680]  就這樣去過他孤獨的平安夜
[00:01:08.680 --> 00:01:12.000]  終於在寒夜當中就睡着了
[00:01:12.000 --> 00:01:16.560]  睡着了就竟然夢到一個他唯一生前的老友
[00:01:16.560 --> 00:01:21.960]  已經死了七年的唯一的朋友兼拍檔 馬利
[00:01:21.960 --> 00:01:26.680]  馬利似乎在地獄歸來 他揹着很重的枷鎖
[00:01:26.680 --> 00:01:33.880]  什麼枷鎖?就是生前的支票 賬簿 欠單 很多很多
[00:01:33.880 --> 00:01:36.640]  當然 他是很辛苦
[00:01:36.640 --> 00:01:38.600]  他告訴這個老友
[00:01:38.600 --> 00:01:44.280]  遲些有三隻精靈來找你 你自己執生
[00:01:44.280 --> 00:01:46.040]  夢繼續發
[00:01:46.040 --> 00:01:49.800]  第一個出現的精靈叫做過去的精靈
[00:01:49.800 --> 00:01:52.960]  他和史高祠就回到他以前
[00:01:52.960 --> 00:01:56.200]  是怎樣去孤寒 怎樣去刻薄
[00:01:56.200 --> 00:02:01.120]  甚至他本來有個女朋友 未婚妻
[00:02:01.120 --> 00:02:07.760]  由於她未婚妻 就借了錢 借了他錢去做按揭
[00:02:07.760 --> 00:02:12.000]  就遲了交按揭 竟然就翻臉
[00:02:12.000 --> 00:02:17.880]  將來大好姻緣都可以因此拆散了
[00:02:17.880 --> 00:02:22.400]  可想而知他生前是多麼刻薄寡恩
[00:02:22.400 --> 00:02:24.200]  所以他沒有朋友
[00:02:24.200 --> 00:02:26.360]  接着第二隻精靈出現了
[00:02:26.360 --> 00:02:29.000]  第二隻精靈就帶他去看現在的
[00:02:29.000 --> 00:02:33.000]  現在他就帶他去看周浩仁怎樣過聖誕
[00:02:33.000 --> 00:02:35.360]  你就孤孤單單一個人在這裏
[00:02:35.360 --> 00:02:37.880]  他帶他去一個很窮人的家裏
[00:02:37.880 --> 00:02:42.120]  那些窮人有個小孩病了 沒什麼錢
[00:02:42.120 --> 00:02:43.640]  沒什麼大餐喫
[00:02:43.640 --> 00:02:48.920]  但一家很團結 很開心
[00:02:48.920 --> 00:02:51.680]  能夠很歡度他們的平安夜
[00:02:51.680 --> 00:02:54.600]  儘管沒什麼物質生活
[00:02:54.600 --> 00:02:57.520]  但這個家庭很和諧
[00:02:57.520 --> 00:03:02.440]  相對史高柱發覺一個人過聖誕多淒涼
[00:03:02.440 --> 00:03:05.440]  接着第三隻精靈叫做未來的精靈
[00:03:05.440 --> 00:03:08.080]  這隻精靈就帶史高柱去看他將來是怎樣
[00:03:08.080 --> 00:03:11.360]  一去 就去到有一年
[00:03:11.360 --> 00:03:15.640]  他又在聖誕節離開世界
[00:03:15.640 --> 00:03:20.040]  他的喪禮是連一個朋友都沒有
[00:03:20.040 --> 00:03:24.920]  沒有人可惜他的離世
[00:03:24.920 --> 00:03:29.440]  緊緊的醒了 已經是25號聖誕節了
[00:03:29.440 --> 00:03:32.320]  於是這三個夢就令他很觸動
[00:03:32.320 --> 00:03:34.640]  於是就痛改前非
[00:03:34.640 --> 00:03:37.600]  怎樣和人分享他的財富
[00:03:37.600 --> 00:03:41.120]  於是不再一樣
[00:03:41.120 --> 00:03:45.440]  這個故事是在1843年發表
[00:03:45.440 --> 00:03:49.280]  當時的英國也同樣是貧富懸殊
[00:03:49.280 --> 00:03:51.280]  是一個缺乏了恩情
[00:03:51.280 --> 00:03:55.600]  並且忘記了聖誕意義的國家
[00:03:55.600 --> 00:03:57.520]  所以查理斯蒂金斯這個故事
[00:03:57.520 --> 00:04:00.400]  是再次令到英國人
[00:04:00.400 --> 00:04:06.280]  去找回他們心中原來的聖誕故事
[00:04:06.280 --> 00:04:10.120]  平安 喜樂 分享
[00:04:10.120 --> 00:04:12.080]  2015年的平安夜
[00:04:12.080 --> 00:04:15.080]  今天難得大家可能喫完飯都趕過來
[00:04:15.080 --> 00:04:19.320]  聽一場沒有明星的報道會
[00:04:19.320 --> 00:04:21.080]  我希望今晚我的信息
[00:04:21.080 --> 00:04:25.000]  你都能夠改寫你的聖誕故事
[00:04:25.000 --> 00:04:28.000]  就算是基督徒你都反省一下
[00:04:28.000 --> 00:04:33.040]  昨日的你 今日的你 和將來的你
[00:04:33.040 --> 00:04:36.120]  未信主的朋友當然希望你能夠明白到
[00:04:36.120 --> 00:04:38.120]  聖誕真正的意義
[00:04:38.120 --> 00:04:41.040]  從此活得不再一樣
[00:04:41.040 --> 00:04:44.440]  你和這個節日是有關係的
[00:04:44.440 --> 00:04:48.920]  我們的題目叫做「幸福人生由此起」
[00:04:48.920 --> 00:04:52.240]  其實去探索 研究
[00:04:52.240 --> 00:04:54.440]  如何做一個快樂幸福人生
[00:04:54.440 --> 00:04:58.120]  是我幾十年來不斷去想的題目
[00:04:58.120 --> 00:05:00.440]  我做了半世紀的基督徒
[00:05:00.440 --> 00:05:02.120]  從小上教會
[00:05:02.120 --> 00:05:04.080]  做了近四十年的傳媒工作
[00:05:04.080 --> 00:05:07.000]  一直都是冷眼觀世情
[00:05:07.000 --> 00:05:09.720]  以血傳福音
[00:05:09.720 --> 00:05:13.240]  所以我覺得信仰不是很抽離
[00:05:13.240 --> 00:05:15.600]  不是一些很抽象的東西
[00:05:15.600 --> 00:05:17.560]  真正的信仰是可以令我們
[00:05:17.560 --> 00:05:22.280]  過着一個幸福快樂的人生
[00:05:22.280 --> 00:05:26.320]  但是如何界定幸福快樂
[00:05:26.320 --> 00:05:28.360]  每個人的定義會不一樣
[00:05:28.360 --> 00:05:30.760]  在國際上有幾個大機構
[00:05:30.760 --> 00:05:32.960]  英國有 法國也有
[00:05:32.960 --> 00:05:35.880]  他們經常一年都會做一個叫做
[00:05:35.880 --> 00:05:39.120]  快樂國家的排行榜
[00:05:39.120 --> 00:05:42.000]  我看回十幾年來一直看這些排行榜
[00:05:42.000 --> 00:05:45.160]  其實每年變動不大
[00:05:45.160 --> 00:05:48.360]  總是那幾個國家在前面
[00:05:48.360 --> 00:05:49.800]  是什麼國家呢
[00:05:49.800 --> 00:05:51.720]  北歐幾個小國
[00:05:51.720 --> 00:05:53.080]  這些小國家
[00:05:53.080 --> 00:05:56.520]  亞洲來說不但年年上榜
[00:05:56.520 --> 00:05:59.400]  相反所有有錢國家
[00:05:59.400 --> 00:06:02.480]  G7 G20
[00:06:02.480 --> 00:06:04.560]  沒有哪個國家上榜
[00:06:04.560 --> 00:06:06.600]  中國經濟砰砰聲
