
[00:00:00.000 --> 00:00:04.560]  今天講到的主題是有關男女關係
[00:00:04.560 --> 00:00:08.080]  我們先玩一個遊戲
[00:00:08.080 --> 00:00:13.440]  測試一下大家對於現代、近代
[00:00:13.440 --> 00:00:18.760]  有關男女關係的一些港式潮語有多認識
[00:00:18.760 --> 00:00:20.760]  我們去第一題
[00:00:20.760 --> 00:00:25.760]  A380是什麼意思呢?
[00:00:26.440 --> 00:00:39.640]  A380的意思是這個人單身,他拍拖的次數是380次
[00:00:39.640 --> 00:00:47.640]  選擇B,就是這個人拍拖的次數是380次
[00:00:47.640 --> 00:00:51.640]  現在終於選擇A了,脫單可以結婚了
[00:00:51.640 --> 00:00:59.640]  大家選擇A還是B,選擇A的請舉手
[00:00:59.640 --> 00:01:08.640]  請高一點,肯定的,選擇B的舉手,肯定一點
[00:01:08.640 --> 00:01:13.640]  各參半,昨晚的比數有點不同
[00:01:13.640 --> 00:01:18.640]  公開答案了,正確答案是A
[00:01:18.640 --> 00:01:24.640]  表示這個人是A380,即是他現在是單身的
[00:01:24.640 --> 00:01:28.640]  他曾經拍過380次的拖
[00:01:28.640 --> 00:01:31.640]  測試問題潮語2
[00:01:31.640 --> 00:01:35.640]  MBA,這個比較淺的,可能很多人認識
[00:01:35.640 --> 00:01:40.640]  先給面子,我想了很久怎麼可以有三個答案
[00:01:40.640 --> 00:01:43.640]  A是Married but available
[00:01:43.640 --> 00:01:46.640]  B是Mingle but available
[00:01:46.640 --> 00:01:48.640]  C是Married but alone
[00:01:48.640 --> 00:01:52.640]  我選定了,A,B,C,想到了吧
[00:01:52.640 --> 00:02:00.640]  A的舉手,B的舉手,好像沒有
[00:02:00.640 --> 00:02:04.640]  C的舉手,C的也沒有
[00:02:04.640 --> 00:02:09.640]  厲害了,全答對,A的答案就是A了
[00:02:09.640 --> 00:02:11.640]  就是Married but available
[00:02:11.640 --> 00:02:15.640]  多謝大家參與這個警察遊戲,武將
[00:02:15.640 --> 00:02:19.640]  好像很搞笑,跟大家玩
[00:02:19.640 --> 00:02:23.640]  大家真的想想,真實去面對這些問題
[00:02:23.640 --> 00:02:26.640]  這些就是現代男女關係裏面想的東西
[00:02:26.640 --> 00:02:29.640]  其實真的面對的時候一點都不好笑
[00:02:29.640 --> 00:02:36.640]  這些字其實是反映現代男女關係裏面的混亂
[00:02:36.640 --> 00:02:40.640]  從個人主義出發,想想怎麼可以A380
[00:02:40.640 --> 00:02:45.640]  一個人拍了380次,還單身,為什麼會這樣發生呢
[00:02:45.640 --> 00:02:50.640]  一個人結了婚,為什麼還可以A380呢
[00:02:50.640 --> 00:02:58.640]  Married脫單就是收工,為什麼還可以A380呢
[00:02:58.640 --> 00:03:01.640]  真的很混亂,很複雜
[00:03:01.640 --> 00:03:05.640]  對於一班年輕人,特別是一班職青
[00:03:05.640 --> 00:03:11.640]  可能他們會想問,面對這麼混亂,複雜的男女關係世界裏面
[00:03:11.640 --> 00:03:16.640]  可以怎樣找到真愛,怎樣遇見真愛,怎樣看見真愛呢
[00:03:16.640 --> 00:03:23.640]  我想我們教會的弟兄姊妹,年輕人都不想經歷A380
[00:03:23.640 --> 00:03:29.640]  在我牧羊的生涯裏面,的確見證過
[00:03:29.640 --> 00:03:36.640]  見到很多在教會界裏面發生的很心痛的個案
[00:03:36.640 --> 00:03:42.640]  見過一個姊妹去拍拖,明明很好的,應該可以結婚
[00:03:42.640 --> 00:03:47.640]  但突然間可以收到男朋友的短訊,說分手了
[00:03:47.640 --> 00:03:50.640]  但沒有原因,可能分手不喜歡他
[00:03:50.640 --> 00:03:54.640]  然後就可以從此人間蒸發
[00:03:54.640 --> 00:04:03.640]  亦見過一對男女,弟兄姊妹,在教會裏面一起回教會
[00:04:03.640 --> 00:04:07.640]  回得很好,一起侍奉
[00:04:07.640 --> 00:04:14.640]  但有一天,這位弟兄收到女朋友的通知,說分手了
[00:04:14.640 --> 00:04:19.640]  但弟兄知道自己沒有做過,分手了就不是他了
[00:04:19.640 --> 00:04:22.640]  是否很心痛
[00:04:22.640 --> 00:04:27.640]  後現代的男女關係,混亂複雜
[00:04:27.640 --> 00:04:33.640]  原來男女關係混亂複雜,不只是現在的問題
[00:04:33.640 --> 00:04:38.640]  在古代,男女關係一樣混亂複雜
[00:04:38.640 --> 00:04:47.640]  這正是今天我們講到的經文,想嘗試就著這個問題去找出路
[00:04:47.640 --> 00:04:57.640]  今天講到重點的經文是取自《生命記》22章13至30節
[00:04:57.640 --> 00:05:02.640]  裏面講述發生在古代的五個案例
[00:05:02.640 --> 00:05:07.640]  都是關於婚姻以外的同朕關係
[00:05:07.640 --> 00:05:12.640]  裏面仔細所提到的男女關係的混亂複雜
[00:05:12.640 --> 00:05:16.640]  裏面的行為可能跟今時今日有些差別
[00:05:16.640 --> 00:05:19.640]  但是混亂複雜是真實的
[00:05:19.640 --> 00:05:26.640]  人從自我中心出發,個人主義為重要是真實的
[00:05:26.640 --> 00:05:35.640]  在今天講到的裏面,我們會一起去分析經文當中的五個個案
[00:05:35.640 --> 00:05:42.640]  都是關於婚姻以外的同朕關係
[00:05:42.640 --> 00:05:52.640]  希望幫助你,幫助我,重新去檢視不可姦淫這條誡命的意義
[00:05:52.640 --> 00:06:01.640]  更加重要的是,希望我們能夠明白天父設立他這個訓誨背後的深長
[00:06:01.640 --> 00:06:07.640]  讓我們先一起去土谷
[00:06:07.640 --> 00:06:12.640]  創造天地萬物,自由永有的三一真神
