
[00:00:00.000 --> 00:00:02.000]  各位早晨,請聖母平安
[00:00:02.000 --> 00:00:04.000]  多謝主給我們有機會
[00:00:04.000 --> 00:00:06.000]  再一次聚首一堂
[00:00:06.000 --> 00:00:08.000]  來敬拜主
[00:00:08.000 --> 00:00:14.000]  有沒有玩過這個遊戲?
[00:00:14.000 --> 00:00:18.000]  不要透露了
[00:00:18.000 --> 00:00:20.000]  我很喜歡玩這個遊戲
[00:00:20.000 --> 00:00:22.000]  這個遊戲叫做
[00:00:22.000 --> 00:00:24.000]  《天下太平》
[00:00:24.000 --> 00:00:26.000]  想不到我上幾個月
[00:00:26.000 --> 00:00:28.000]  去了一間教會做
[00:00:28.000 --> 00:00:30.000]  兒童時光訓練
[00:00:30.000 --> 00:00:32.000]  那些導師竟然懂得玩
[00:00:32.000 --> 00:00:34.000]  很年輕
[00:00:34.000 --> 00:00:36.000]  《天下太平》
[00:00:36.000 --> 00:00:38.000]  是一個很古老的
[00:00:38.000 --> 00:00:40.000]  紙上遊戲
[00:00:40.000 --> 00:00:42.000]  如果你玩過,我覺得很好玩
[00:00:42.000 --> 00:00:44.000]  我很喜歡玩
[00:00:44.000 --> 00:00:46.000]  有一次我跟一個小孩玩
[00:00:46.000 --> 00:00:48.000]  那個小孩大概九歲
[00:00:48.000 --> 00:00:52.000]  玩《天下太平》,你也知道
[00:00:52.000 --> 00:00:54.000]  要雙方猜,然後
[00:00:54.000 --> 00:00:56.000]  起飛機,起國旗
[00:00:56.000 --> 00:00:58.000]  然後斗轟炸,沒有玩過
[00:00:58.000 --> 00:01:00.000]  回去查查,然後回去玩
[00:01:00.000 --> 00:01:02.000]  很好玩,兩個人就可以了
[00:01:02.000 --> 00:01:04.000]  兩個人玩
[00:01:04.000 --> 00:01:06.000]  我覺得很開心
[00:01:06.000 --> 00:01:08.000]  有一次他贏了
[00:01:08.000 --> 00:01:10.000]  炸光我的飛機,起國旗
[00:01:10.000 --> 00:01:12.000]  他很開心
[00:01:12.000 --> 00:01:14.000]  當然兩個人一起玩
[00:01:14.000 --> 00:01:16.000]  大家不知道我
[00:01:16.000 --> 00:01:18.000]  其實我猜東西很厲害
