
[00:00:00.000 --> 00:00:03.300]  有一個新開張的婚姻介紹所
[00:00:03.300 --> 00:00:06.000]  或者講婚姻服務所
[00:00:06.000 --> 00:00:08.000]  他們有六樓
[00:00:08.000 --> 00:00:10.000]  開張第一天
[00:00:10.000 --> 00:00:11.500]  他就大做廣告
[00:00:11.500 --> 00:00:14.000]  邀請許多人來
[00:00:14.000 --> 00:00:15.000]  做的廣告是說
[00:00:15.000 --> 00:00:20.000]  我們每一層樓都有不相同的男士
[00:00:20.000 --> 00:00:23.000]  你可以選擇
[00:00:23.000 --> 00:00:26.000]  基本上是樓數越高
[00:00:26.000 --> 00:00:28.000]  男生的條件越棒
[00:00:28.000 --> 00:00:32.000]  人數也越少
[00:00:32.000 --> 00:00:34.000]  規則是
[00:00:34.000 --> 00:00:38.000]  你只能住一層樓
[00:00:38.000 --> 00:00:40.000]  女士們來到一層樓
[00:00:40.000 --> 00:00:43.000]  看到門上貼的
[00:00:43.000 --> 00:00:47.000]  這裡面的男生都有工作
[00:00:47.000 --> 00:00:49.000]  大家連想都不想
[00:00:49.000 --> 00:00:52.000]  就直接就上二樓去了
[00:00:52.000 --> 00:00:54.000]  二樓貼了一個
[00:00:54.000 --> 00:00:56.000]  這裡的男生都有工作
[00:00:56.000 --> 00:01:00.000]  都熱愛小孩子的
[00:01:00.000 --> 00:01:02.000]  這個有人就稍微私了一下
[00:01:02.000 --> 00:01:04.000]  繼續往上走
[00:01:04.000 --> 00:01:05.000]  因為樓越高
[00:01:05.000 --> 00:01:06.000]  男生越棒
[00:01:06.000 --> 00:01:08.000]  不是嗎
[00:01:08.000 --> 00:01:10.000]  第三樓說
[00:01:10.000 --> 00:01:13.000]  不但是有工作愛小孩子
[00:01:13.000 --> 00:01:15.000]  而且還會幫忙做家事的
[00:01:15.000 --> 00:01:17.000]  棒吧
[00:01:17.000 --> 00:01:19.000]  哇 饒了我吧
[00:01:19.000 --> 00:01:22.000]  繼續又往上走
[00:01:22.000 --> 00:01:23.000]  第四層樓
[00:01:23.000 --> 00:01:28.000]  不但是有工作愛小孩子
[00:01:28.000 --> 00:01:31.000]  而且會幫忙做家事
[00:01:31.000 --> 00:01:34.000]  長得又帥
[00:01:34.000 --> 00:01:37.000]  哇 這個腳都站不住了
[00:01:37.000 --> 00:01:40.000]  真想進去看一看
[00:01:40.000 --> 00:01:43.000]  但是樓上還有更好的
[00:01:43.000 --> 00:01:46.000]  繼續往上走
[00:01:46.000 --> 00:01:48.000]  來到第五層樓
[00:01:48.000 --> 00:01:49.000]  它上面說
[00:01:49.000 --> 00:01:52.000]  這地方不但有工作
[00:01:52.000 --> 00:01:53.000]  愛小孩子
[00:01:53.000 --> 00:01:55.000]  而且長得帥
[00:01:55.000 --> 00:01:57.000]  而且幫忙做家事
[00:01:57.000 --> 00:01:58.000]  而且這裡的男士
[00:01:58.000 --> 00:02:01.000]  都非常的羅曼蒂克
[00:02:01.000 --> 00:02:03.000]  Hallelujah 讚美神
[00:02:03.000 --> 00:02:04.000]  我知道
[00:02:04.000 --> 00:02:08.000]  我是絕對不會在三樓的
[00:02:08.000 --> 00:02:11.000]  我大概在一二樓的
[00:02:11.000 --> 00:02:13.000]  這個女士要發狂了
[00:02:13.000 --> 00:02:15.000]  但是禁不住
[00:02:15.000 --> 00:02:18.000]  人人要往上去探個究竟
[00:02:18.000 --> 00:02:20.000]  結果就上了六樓
[00:02:20.000 --> 00:02:21.000]  沒有選擇了
[00:02:21.000 --> 00:02:22.000]  人進去了一打開
