
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹主乃平安
[00:00:02.000 --> 00:00:04.800]  讓我們再一次同心禱告
[00:00:04.800 --> 00:00:10.180]  主耶穌,我們感謝祢
[00:00:10.180 --> 00:00:12.620]  祢釘身在十字架上
[00:00:12.620 --> 00:00:15.880]  成為待聚的羔羊
[00:00:15.880 --> 00:00:18.700]  我們感謝祢,欣賞祢的愛
[00:00:18.700 --> 00:00:22.380]  讓我們本來不懂得怎樣去愛,我們學習去愛
[00:00:22.380 --> 00:00:25.300]  主耶穌願意我們常常
[00:00:25.300 --> 00:00:28.380]  去依靠祢,仰望祢
[00:00:28.840 --> 00:00:30.840]  跟隨祢的腳蹤行
[00:00:30.840 --> 00:00:33.680]  求聖靈去感動
[00:00:33.680 --> 00:00:36.460]  帶領著我們每一個人的
[00:00:36.460 --> 00:00:39.820]  心,有個敞開的心
[00:00:39.820 --> 00:00:42.180]  有個聆聽的耳朵
[00:00:42.180 --> 00:00:45.600]  讓聖靈掌管著我的心思意念
[00:00:45.600 --> 00:00:48.080]  讓我所講的訊息
[00:00:48.080 --> 00:00:51.460]  是來自主祢所起的訊息
[00:00:51.460 --> 00:00:55.400]  以上禱告奉主耶穌基督得聖名祈求
[00:00:55.400 --> 00:00:57.400]  阿們
[00:00:57.400 --> 00:00:59.400]  各位姐妹有沒有留意到
[00:00:59.400 --> 00:01:01.400]  今年我們有新的禱告
[00:01:01.400 --> 00:01:03.400]  掛在大堂
[00:01:03.400 --> 00:01:05.400]  我們讀一次好不好
[00:01:05.400 --> 00:01:07.400]  這邊先開始
[00:01:07.400 --> 00:01:09.400]  預備,起
[00:01:09.400 --> 00:01:11.400]  禱告參與了
[00:01:11.400 --> 00:01:13.400]  連結世代,作燈台
[00:01:13.400 --> 00:01:15.400]  正如在1月1日的
[00:01:15.400 --> 00:01:17.400]  講道裡面我說的
[00:01:17.400 --> 00:01:19.400]  這是全套童宮和一些會所
[00:01:19.400 --> 00:01:21.400]  我們集體的創作
[00:01:21.400 --> 00:01:23.400]  我們一同的領受,希望透過
[00:01:23.400 --> 00:01:25.400]  祈禱,一同去聆聽
[00:01:25.400 --> 00:01:27.400]  去等候,去辨識
[00:01:27.400 --> 00:01:29.400]  上帝的心意和
[00:01:29.400 --> 00:01:31.400]  引領,大家有沒有留意到
[00:01:31.400 --> 00:01:33.400]  Banner有隻手
[00:01:33.400 --> 00:01:35.400]  手有沒有留意到
[00:01:35.400 --> 00:01:37.400]  其實是有個
[00:01:37.400 --> 00:01:39.400]  不夠在裡面
[00:01:39.400 --> 00:01:41.400]  我突然間看到
[00:01:41.400 --> 00:01:43.400]  所以需要解釋
[00:01:43.400 --> 00:01:45.400]  就是聖靈如急止
[00:01:45.400 --> 00:01:47.400]  在祈禱的手
[00:01:47.400 --> 00:01:49.400]  有沒有看到那個
[00:01:49.400 --> 00:01:51.400]  橙紅色的那個
[00:01:51.400 --> 00:01:53.400]  就是燈台的火,那個光
[00:01:53.400 --> 00:01:55.400]  都希望透過
[00:01:55.400 --> 00:01:57.400]  這麼有意義的一個設計
