
[00:00:00.000 --> 00:00:05.000]  保羅在哥倫多宣教一年六個月
[00:00:05.000 --> 00:00:09.000]  雖然我們很熟悉保羅寫給哥倫多教會的書信
[00:00:09.000 --> 00:00:14.000]  但我們不是很熟悉他在哥倫多所發生的事情
[00:00:14.000 --> 00:00:19.000]  保羅在哥倫多這個地方的時候
[00:00:19.000 --> 00:00:22.000]  有一次耶穌在意像跟他說
[00:00:22.000 --> 00:00:25.000]  不要怕只管說 不要閉口
[00:00:25.000 --> 00:00:28.000]  有我與你同在 必沒有人下手害你
[00:00:28.000 --> 00:00:33.000]  因為在這城裡我有許多的百姓
[00:00:33.000 --> 00:00:37.000]  耶穌鼓勵保羅叫他不用怕
[00:00:37.000 --> 00:00:40.000]  那他到底怕什麼呢
[00:00:40.000 --> 00:00:44.000]  一個忠心跟隨主 為主的道
[00:00:44.000 --> 00:00:48.000]  來工作的人會怕什麼呢
[00:00:48.000 --> 00:00:52.000]  我們會不會怕我們的利益受損呢
[00:00:52.000 --> 00:00:56.000]  我們的生活得不到保障呢
[00:00:56.000 --> 00:00:58.000]  保羅是怎樣生活的呢
[00:00:58.000 --> 00:01:02.000]  雖然他是一個安提屋派出去的宣教士
[00:01:02.000 --> 00:01:06.000]  但安提屋教會沒有資助他的生活
[00:01:06.000 --> 00:01:11.000]  聖經從來沒有讓我們提見安提屋教會有幫助他
[00:01:11.000 --> 00:01:15.000]  而我們知道保羅原來有自己的工作
[00:01:15.000 --> 00:01:18.000]  在哥倫多他遇到一些同行的人
[00:01:18.000 --> 00:01:21.000]  就是阿基拉和伯基拉
[00:01:21.000 --> 00:01:24.000]  於是保羅跟他們一起生活
[00:01:24.000 --> 00:01:30.000]  原來保羅的工作是織帳棚的工作
[00:01:30.000 --> 00:01:32.000]  為什麼保羅有工作呢
[00:01:32.000 --> 00:01:35.000]  因為保羅本身他未信主
[00:01:35.000 --> 00:01:37.000]  以前他是法利塞人
[00:01:37.000 --> 00:01:39.000]  他也是猶太人的拉比
[00:01:39.000 --> 00:01:41.000]  他以教導猶太人
[00:01:41.000 --> 00:01:46.000]  律法是他生命一個很重要的使命或者工作
[00:01:46.000 --> 00:01:51.000]  不過猶太人的拉比是不受薪的
[00:01:51.000 --> 00:01:56.000]  他們是不可以向他們的學生收取任何費用的
[00:01:56.000 --> 00:02:02.000]  猶太人的傳統就認為教導律法是一件很神聖的事
[00:02:02.000 --> 00:02:05.000]  不可以用這種方法去賺錢
[00:02:05.000 --> 00:02:09.000]  因為如果他們教導律法要收錢的話
[00:02:09.000 --> 00:02:11.000]  就將神的律法貶低了
[00:02:11.000 --> 00:02:15.000]  而且會透過因為要收錢
[00:02:15.000 --> 00:02:21.000]  他們可能會遷就學生改變了上帝的律法
[00:02:21.000 --> 00:02:26.000]  所以猶太人的拉比都有自己的職業
[00:02:26.000 --> 00:02:30.000]  所以雖然耶穌出來的時候
[00:02:30.000 --> 00:02:34.000]  他也是以一個猶太人的拉比的身份出來
[00:02:34.000 --> 00:02:38.000]  所以耶穌也不會透過他的教導收取費用
[00:02:38.000 --> 00:02:39.000]  耶穌有他的工作
[00:02:39.000 --> 00:02:41.000]  就是一個木匠的工作
[00:02:41.000 --> 00:02:46.000]  這個是當時的猶太人的拉比的做法
[00:02:46.000 --> 00:02:50.000]  也是初期教會的領袖
[00:02:50.000 --> 00:02:54.000]  或者這些宣教士他們都有這樣的做法
[00:02:54.000 --> 00:02:58.000]  今天我們就不是完全跟隨這種做法
[00:02:58.000 --> 00:03:00.000]  不過有些地方都是一樣的
[00:03:00.000 --> 00:03:03.000]  所以我們做宣教工作的時候
[00:03:03.000 --> 00:03:05.000]  我們傳福音的時候
[00:03:05.000 --> 00:03:07.000]  我們不會向人收錢的
[00:03:07.000 --> 00:03:10.000]  因為聖經說我們不想那些人要花錢才聽到福音
[00:03:10.000 --> 00:03:14.000]  以致當我們說恩典是白白給他們的時候
[00:03:14.000 --> 00:03:16.000]  就很容易令他們誤會
[00:03:16.000 --> 00:03:17.000]  因為他們不覺得白白
[00:03:17.000 --> 00:03:18.000]  他們會給錢的
[00:03:18.000 --> 00:03:20.000]  不給錢是沒得聽的
[00:03:20.000 --> 00:03:22.000]  但是當一個人信了耶穌之後
[00:03:22.000 --> 00:03:25.000]  他繼續接受教導的話
[00:03:25.000 --> 00:03:29.000]  如果我們仍然用這種方法的話
[00:03:29.000 --> 00:03:30.000]  就很容易
[00:03:30.000 --> 00:03:33.000]  第一,工人就沒有工價
[00:03:33.000 --> 00:03:35.000]  保羅奇後來也說
[00:03:35.000 --> 00:03:38.000]  工人得工價是應該的
[00:03:38.000 --> 00:03:43.000]  而且當我們不再讓那些人信了耶穌之後
[00:03:43.000 --> 00:03:45.000]  接受教導
[00:03:45.000 --> 00:03:49.000]  而教導的人需要自己來賺錢的話
[00:03:49.000 --> 00:03:52.000]  一來他沒有時間和專心
[00:03:52.000 --> 00:03:56.000]  二來他會在這些信徒當中
[00:03:56.000 --> 00:04:00.000]  因為他的教導慢慢建立影響力的話
[00:04:00.000 --> 00:04:03.000]  那些信徒又覺得他沒有收入
[00:04:03.000 --> 00:04:06.000]  於是隨著他的影響力增加
[00:04:06.000 --> 00:04:09.000]  他可能會收到的東西會更加多
[00:04:09.000 --> 00:04:12.000]  特別是我們中國人的傳統是這樣的
[00:04:12.000 --> 00:04:16.000]  中國人的傳統做官其實也是沒什麼錢收的
[00:04:16.000 --> 00:04:19.000]  甚至有些人是自己帶錢去做官的
[00:04:19.000 --> 00:04:22.000]  但是做官是崇高的地位
[00:04:22.000 --> 00:04:24.000]  讀書人為了做官
[00:04:24.000 --> 00:04:27.000]  以前的人做官不是一個工作
[00:04:27.000 --> 00:04:29.000]  是一種榮耀
[00:04:29.000 --> 00:04:32.000]  所以那些人是肯去做官的
[00:04:32.000 --> 00:04:34.000]  沒什麼錢都做的
[00:04:34.000 --> 00:04:38.000]  有太多錢反而會貶低了做官這種榮譽
[00:04:38.000 --> 00:04:45.000]  因為聖人教人應該謙虛、簡樸地生活
[00:04:45.000 --> 00:04:49.000]  所以中國人做官不是靠收入
[00:04:49.000 --> 00:04:52.000]  而是靠收禮
[00:04:52.000 --> 00:04:54.000]  中國人很講禮的
[00:04:54.000 --> 00:04:57.000]  所以我們尊重的人就會送禮
[00:04:57.000 --> 00:05:00.000]  知道他沒什麼錢、沒什麼收入
[00:05:00.000 --> 00:05:03.000]  可以因為你越來越尊重他
[00:05:03.000 --> 00:05:05.000]  你送禮是越來越大的
[00:05:05.000 --> 00:05:07.000]  所以以前做官的人
[00:05:07.000 --> 00:05:10.000]  他們主要的收支就是收禮和送禮
[00:05:10.000 --> 00:05:12.000]  這是他們最重要的收支
[00:05:12.000 --> 00:05:15.000]  因為他們需要送很多禮
[00:05:15.000 --> 00:05:16.000]  所以他們需要收很多禮
[00:05:16.000 --> 00:05:18.000]  因為他們沒錢去送禮
[00:05:18.000 --> 00:05:20.000]  於是越來越早就越大
[00:05:20.000 --> 00:05:24.000]  所以今天的教會我們就不用這個方法
[00:05:24.000 --> 00:05:26.000]  以前幾十年前都是
[00:05:26.000 --> 00:05:30.000]  你可以想像如果教會的傳道人是沒工資的
[00:05:30.000 --> 00:05:33.000]  你覺得他多好你就送多少給他
[00:05:33.000 --> 00:05:36.000]  以前我聽過在香港也是
[00:05:36.000 --> 00:05:38.000]  幾十年前在大陸更加是的
[00:05:38.000 --> 00:05:40.000]  教會的奉獻商大家就投錢進去
[00:05:40.000 --> 00:05:42.000]  傳道人要花錢在那裏拿
[00:05:42.000 --> 00:05:46.000]  所以當他的影響力越來越大的時候
[00:05:46.000 --> 00:05:48.000]  他可以拿的就越來越多
[00:05:48.000 --> 00:05:51.000]  變了傳道變成一種生意
[00:05:51.000 --> 00:05:52.000]  大家可以明白
[00:05:52.000 --> 00:05:54.000]  你講好一點人們就多點來
[00:05:54.000 --> 00:05:56.000]  你又可以拿多點
[00:05:56.000 --> 00:06:01.000]  慢慢反而更加容易為了遷就人
[00:06:01.000 --> 00:06:04.000]  而去講一些大家喜歡聽的東西
[00:06:04.000 --> 00:06:06.000]  或者能夠吸引人的東西
[00:06:06.000 --> 00:06:10.000]  所以今時今日我們就不會用這種方法
[00:06:10.000 --> 00:06:12.000]  我們傳道人就會有固定的收入
[00:06:12.000 --> 00:06:16.000]  為了反過來原因也是一樣
