
[00:00:00.000 --> 00:00:04.480]  在聖經裏面有好幾個地方
[00:00:04.480 --> 00:00:06.480]  是有提到一句說話
[00:00:06.480 --> 00:00:08.320]  這句說話就是記載在
[00:00:08.320 --> 00:00:11.480]  例如《獵王紀》上第十八章第三十六節
[00:00:11.480 --> 00:00:12.800]  我們看看這個powerpoint裏面
[00:00:12.800 --> 00:00:14.560]  你會見到這句說話就是
[00:00:14.560 --> 00:00:19.200]  耶和華是阿伯拉罕以撒瓦國的神
[00:00:19.200 --> 00:00:24.040]  但你知不知道原來還有一個更長的版本
[00:00:24.040 --> 00:00:26.640]  而這個更長的版本就放在下面
[00:00:26.640 --> 00:00:31.760]  我就是阿伯拉罕的神 以撒的神 瓦國的神
[00:00:31.760 --> 00:00:36.480]  聰明的讀者一看就大概猜到分別在哪裏
[00:00:36.480 --> 00:00:40.640]  分別就在每一個人名之後有沒有一個神字
[00:00:40.640 --> 00:00:42.640]  你可能會覺得有什麼特別
[00:00:42.640 --> 00:00:44.800]  有一個神字和沒有一個神字
[00:00:44.800 --> 00:00:47.240]  我們要知道作者不是要騙稿費
[00:00:47.240 --> 00:00:51.440]  故意要寫一個神字或者不寫一個神字
[00:00:51.440 --> 00:00:53.440]  其實下面那句
[00:00:53.440 --> 00:00:56.680]  我是阿伯拉罕的神 以撒的神 瓦國的神
[00:00:56.680 --> 00:01:01.440]  是出自於出埃及的典故
[00:01:01.440 --> 00:01:05.440]  那裏大概你都記得摩西去到一個山上的時候
[00:01:05.440 --> 00:01:08.440]  他見到荊棘火焰燒著
[00:01:08.440 --> 00:01:11.240]  而那些荊棘是沒有燒著的
[00:01:11.240 --> 00:01:14.440]  所以他就在那個時間和神相遇
[00:01:14.440 --> 00:01:18.640]  而神就第一次告訴摩西
[00:01:18.640 --> 00:01:23.040]  我就是阿伯拉罕的神 以撒的神 瓦國的神
[00:01:23.040 --> 00:01:27.040]  四次在出埃及記裏面提到這一句說話
[00:01:27.040 --> 00:01:30.440]  這四次之後在聖經裏面只是交代
[00:01:30.440 --> 00:01:32.640]  如果有的話在新約裏面有記載
