
[00:00:00.000 --> 00:00:01.180]  那麼
[00:00:01.180 --> 00:00:04.780]  今天我想先看一個video
[00:00:04.780 --> 00:00:07.320]  你們有沒有誰看過這個節目
[00:00:07.320 --> 00:00:10.340]  叫做Preachers of LA
[00:00:10.340 --> 00:00:13.220]  是一個真人reality tv
[00:00:13.220 --> 00:00:15.320]  我也很難想像說我們活在一個年代
[00:00:15.320 --> 00:00:18.560]  連牧師都有自己的真人show這樣子
[00:00:18.560 --> 00:00:21.420]  對,他們就請了LA幾個很
[00:00:21.420 --> 00:00:24.200]  celebrity type of preacher
[00:00:24.200 --> 00:00:27.380]  然後就做了一個reality tv
[00:00:27.380 --> 00:00:30.540]  收視率還不錯 裡面都是一些很
[00:00:30.540 --> 00:00:32.940]  很奇怪的
[00:00:32.940 --> 00:00:35.860]  很奇奇怪怪的各種各樣的事情
[00:00:35.860 --> 00:00:38.020]  那為什麼我要播這個
[00:00:38.020 --> 00:00:41.300]  這個片讓你看呢 是因為今天我們的題目
[00:00:41.300 --> 00:00:44.000]  是要討論一個新的
[00:00:44.000 --> 00:00:46.300]  講到的系列叫做神的總管
[00:00:46.300 --> 00:00:49.220]  就是神的管家的意思 那麼在第一堂
[00:00:49.220 --> 00:00:51.440]  我們需要討論一個題目就是
[00:00:51.440 --> 00:00:54.380]  富足與貧窮 富足與貧窮
[00:00:54.380 --> 00:00:57.360]  就是我們 作為基督徒我們怎麼樣看富足
[00:00:57.360 --> 00:01:00.360]  跟貧窮 我們知道有時候我們遇到很多
[00:01:00.360 --> 00:01:03.380]  很有錢的人 也遇到很多很有缺乏的人
[00:01:03.380 --> 00:01:06.460]  那麼從神的角度看 怎麼樣去看這件事情呢
[00:01:06.460 --> 00:01:09.460]  那麼今天我們稍微有一點
[00:01:09.460 --> 00:01:12.780]  誒 什麼時候來的powerpoint
[00:01:12.780 --> 00:01:15.040]  我以為今天會沒有powerpoint
[00:01:15.040 --> 00:01:18.780]  ok 就是神的富足
[00:01:18.780 --> 00:01:21.780]  那麼所以今天你們可能要看這一張
[00:01:21.780 --> 00:01:24.780]  是沒有powerpoint的 所以我預備很多很多
[00:01:24.780 --> 00:01:28.140]  照片都沒有辦法放在上面 所以今天就只能
[00:01:28.140 --> 00:01:31.180]  old school我們來看這個 那麼剛剛你們看到的
[00:01:31.180 --> 00:01:34.140]  The Preachers of LA呢 那麼它有一個特點就是
[00:01:34.140 --> 00:01:37.420]  它這部戲裡面 不是戲 這部
[00:01:37.420 --> 00:01:40.120]  就真人reality show裡面呢
[00:01:40.120 --> 00:01:43.120]  它每一個在LA請回來的牧師
[00:01:43.120 --> 00:01:46.120]  都是一派的牧師 這一派呢
[00:01:46.120 --> 00:01:48.740]  叫做成功神學的那一派
[00:01:48.740 --> 00:01:51.780]  Prosperity Gospel 如果你不知道
[00:01:51.780 --> 00:01:54.820]  成功神學是什麼呢 我就告訴你 今天很簡單就是
[00:01:54.820 --> 00:01:57.620]  在基督教裡面有一派的人相信
[00:01:57.620 --> 00:02:00.820]  如果你信 他覺得神的心意
[00:02:00.820 --> 00:02:03.820]  是要他所有的兒女 都生活過得
[00:02:03.820 --> 00:02:06.820]  非常的富足 非常的成功
[00:02:06.820 --> 00:02:09.820]  也非常的健康 所以他們相信
[00:02:09.820 --> 00:02:12.820]  只要你是基督徒 你對神有信心
[00:02:12.820 --> 00:02:15.820]  只要你真的順服的話 你的人生
[00:02:15.820 --> 00:02:18.820]  應該是 應該過得很有錢
[00:02:18.820 --> 00:02:21.820]  很富足 或者你的身體一定會很好
[00:02:21.820 --> 00:02:24.820]  你的事業也會很成功 那麼
[00:02:24.820 --> 00:02:27.820]  基本上這個reality TV裡面 The Preachers of LA
[00:02:27.820 --> 00:02:30.820]  都是屬於那一派的 你看到
[00:02:30.820 --> 00:02:33.820]  上面就是開Ferrari啊 開些很
[00:02:33.820 --> 00:02:36.820]  billion dollars 他們都是非常
[00:02:36.820 --> 00:02:39.820]  成功的 所謂的那一派的 那麼還有
[00:02:39.820 --> 00:02:42.820]  另外一派呢 另外一個極端呢
[00:02:42.820 --> 00:02:45.820]  叫做Poverty Theology 就貧窮的神學
[00:02:45.820 --> 00:02:48.820]  那麼這一派就是比較 比方說
[00:02:48.820 --> 00:02:51.820]  像以前天主教的
[00:02:51.820 --> 00:02:54.820]  Saint Francis Assisi
[00:02:54.820 --> 00:02:57.820]  就是聖方濟
[00:02:57.820 --> 00:03:00.820]  聖方濟的那一派
[00:03:00.820 --> 00:03:03.820]  開始鼓勵說 如果大家要來愛神的話
[00:03:03.820 --> 00:03:06.820]  就太多錢沒有辦法專心的跟神
[00:03:06.820 --> 00:03:09.820]  所以他們就開始promote
[00:03:09.820 --> 00:03:12.820]  一種觀念說 如果你真的要享受
[00:03:12.820 --> 00:03:15.820]  跟神在一起那種 靈裡面的豐盛
[00:03:15.820 --> 00:03:18.820]  那種屬靈的生命 那你就應該
[00:03:18.820 --> 00:03:21.820]  把很多你的家產賣掉
[00:03:21.820 --> 00:03:24.820]  然後就很專心的來到修道院 專心的
[00:03:24.820 --> 00:03:27.820]  禱告啊 專心的去靈修啊
[00:03:27.820 --> 00:03:30.820]  讀聖經啊 就享受你跟神之間的關係啊
[00:03:30.820 --> 00:03:33.820]  所以從聖方濟開始 就開始修道院
[00:03:33.820 --> 00:03:36.820]  就開始promote 所謂的Poverty Theology
[00:03:36.820 --> 00:03:39.820]  所以他們那時候去修道院的時候
[00:03:39.820 --> 00:03:42.820]  你要簽個約 就是貧窮的約
[00:03:42.820 --> 00:03:45.820]  就是這一輩子 我不會成為一個有錢人
[00:03:45.820 --> 00:03:48.820]  我就過一些很簡單的生活
[00:03:48.820 --> 00:03:51.820]  那你說到底哪一派是對呢 聖經到底怎麼說呢
[00:03:51.820 --> 00:03:54.820]  那麼今天我們就來看說 到底聖經怎麼說
[00:03:54.820 --> 00:03:57.820]  你們先看Bulletin的第一段經文
[00:03:57.820 --> 00:04:00.820]  是箴言22章第二節
[00:04:00.820 --> 00:04:03.820]  那邊講到一段經文 它那邊說
[00:04:03.820 --> 00:04:06.820]  貧窮人和有錢人有一處相同
[00:04:06.820 --> 00:04:09.820]  二者都是上主所造
[00:04:09.820 --> 00:04:12.820]  二者都是上主所造
[00:04:12.820 --> 00:04:15.820]  所以在這邊我們看到
[00:04:15.820 --> 00:04:18.820]  也有一本翻譯成說 貧窮人和有錢人
[00:04:18.820 --> 00:04:21.820]  在一同相處 就再次相遇
[00:04:21.820 --> 00:04:24.820]  他們兩者都是耶華所造
[00:04:24.820 --> 00:04:27.820]  都是神所造 所以無論有錢沒有錢
[00:04:27.820 --> 00:04:30.820]  有一樣沒有變的就是 都是神所造
[00:04:30.820 --> 00:04:33.820]  兩種人都是神所造 兩種人在世上
[00:04:33.820 --> 00:04:36.820]  偶爾也會遇到 那麼今天我們就來討論說
[00:04:36.820 --> 00:04:39.820]  我們持的一個到底是怎麼樣的立場
[00:04:39.820 --> 00:04:42.820]  去看待 作為基督徒你是相信
[00:04:42.820 --> 00:04:45.820]  如果你是神的兒女 應該過得很有錢 很成功
[00:04:45.820 --> 00:04:48.820]  還是你覺得說太有錢 沒有辦法專心跟神
[00:04:48.820 --> 00:04:51.820]  那搞不好就不要那麼有錢
[00:04:51.820 --> 00:04:54.820]  可以過一些比較簡單一點的生活就好了
[00:04:54.820 --> 00:04:57.820]  那麼第一點 我想跟大家分享的是
[00:04:57.820 --> 00:05:00.820]  無論是貧窮跟富足 有一個觀念是很清楚的
[00:05:00.820 --> 00:05:03.820]  要明白我們都是神的管家
[00:05:03.820 --> 00:05:06.820]  就是我們是管家的身份 這一點是不變的
[00:05:06.820 --> 00:05:11.820]  管家的身份 在聖經記的第八章十六到十八節那邊說
[00:05:11.820 --> 00:05:16.820]  又在曠野將你們列祖所不認識的馬拉賜給你們吃
[00:05:16.820 --> 00:05:21.820]  是要苦練你 試驗你 叫你終究享福
[00:05:21.820 --> 00:05:26.820]  恐怕你心裡說 這貨才是我力量 我能力得來的
[00:05:26.820 --> 00:05:29.820]  你要紀念耶華你的神
[00:05:29.820 --> 00:05:32.820]  因為得貨才的力量是祂給你的
[00:05:32.820 --> 00:05:36.820]  我也要堅定祂向你列祖 啟示所立的約
[00:05:36.820 --> 00:05:41.820]  像今日一樣 賜貨才的能力是神所給的
[00:05:41.820 --> 00:05:45.820]  我們今天有健康的身體 你有一些的才能 才幹
[00:05:45.820 --> 00:05:48.820]  能夠 不知道你有沒有認識身邊
[00:05:48.820 --> 00:05:51.820]  有一些真的很有賺錢恩賜的人
[00:05:51.820 --> 00:05:54.820]  他就是很會賺錢 什麼都不會 就會賺錢
[00:05:54.820 --> 00:06:00.820]  有些人就是很厲害 就是神特別賜給他有賺錢的才能
