
[00:00:00.000 --> 00:00:03.520]  弟兄姊妹、朋友,平安!
[00:00:03.520 --> 00:00:06.080]  我們當中的牧者,平安!
[00:00:06.080 --> 00:00:07.880]  我感謝神,
[00:00:07.880 --> 00:00:13.520]  讓我能夠今早跟大家分享神的說話。
[00:00:13.520 --> 00:00:16.080]  我記得最近在網上
[00:00:16.080 --> 00:00:21.400]  跟玻利維亞的一個小組,他們在查經。
[00:00:21.400 --> 00:00:24.240]  但查經的那個弟兄就很踴躍的,
[00:00:24.240 --> 00:00:27.600]  在跟我們查完之後,就請大家分享,
[00:00:27.600 --> 00:00:32.400]  究竟我們在信主之後有什麼恩典經歷過的,
[00:00:32.400 --> 00:00:34.000]  我們可以在這裡分享。
[00:00:34.000 --> 00:00:39.560]  當時弟兄姊妹都很願意,很興奮地去分享。
[00:00:39.560 --> 00:00:42.400]  但是我們發覺其中有一個弟兄,
[00:00:42.400 --> 00:00:45.880]  在鏡頭看到他,就很靜,沒有說話。
[00:00:45.880 --> 00:00:48.240]  再留意一下他的臉部表情,
[00:00:48.240 --> 00:00:52.000]  他是有些臉有藍色的,大家都留意到。
[00:00:52.000 --> 00:00:54.400]  於是乎,突然間就停下來,
[00:00:54.400 --> 00:00:57.040]  好像大家都很想等他說話一樣。
[00:00:57.040 --> 00:01:00.160]  終於等了一會兒,他就開口了。
[00:01:00.160 --> 00:01:04.120]  他第一句就說:「我不是很想掃興的。」
[00:01:04.120 --> 00:01:08.040]  我們都立刻靜下來,看他想說什麼。
[00:01:08.040 --> 00:01:11.000]  他說:「我聽到你們說你們經歷的恩典,
[00:01:11.000 --> 00:01:15.120]  但是,不知為何我沒有這種感受呢?
[00:01:15.120 --> 00:01:17.880]  我信了耶穌幾十年了,
[00:01:17.880 --> 00:01:20.160]  雖然我不是經常看聖經的人,
[00:01:20.160 --> 00:01:23.600]  但是我聽福音也聽了幾十年。
[00:01:23.600 --> 00:01:27.200]  我很知道耶穌愛我,耶穌為我死,
[00:01:27.200 --> 00:01:32.160]  耶穌三天後復活,這些我全部都信的。
[00:01:32.160 --> 00:01:35.320]  但是為什麼我沒有你們那種感覺,
[00:01:35.320 --> 00:01:37.960]  好像在經歷神的恩典呢?
[00:01:37.960 --> 00:01:41.360]  我不明白為什麼我要在中國移民來這個國家,
[00:01:41.360 --> 00:01:43.040]  我也不明白為什麼,
[00:01:43.040 --> 00:01:46.520]  我過去幾十年要在這個國家捱窮。」
[00:01:46.520 --> 00:01:49.600]  如果你們告訴我這是神的主權,
[00:01:49.600 --> 00:01:56.680]  或者是神的旨意的話,我沒話說,我認命。
[00:01:56.680 --> 00:01:59.040]  不過我真的不明白,
[00:01:59.040 --> 00:02:04.520]  究竟你們所說的「神的恩典」是什麼意思?
[00:02:04.520 --> 00:02:08.880]  大仙姐妹,如果我們在當中有人跟你這樣表達的話,
[00:02:08.880 --> 00:02:12.240]  你會怎樣去跟他說呢?
