
[00:00:00.000 --> 00:00:07.000]  再過兩個禮拜,我們就進到咒誅降生的高潮。
[00:00:07.000 --> 00:00:14.000]  我相信除了一些媽媽開始想到小孩子假期要做什麼以外,
[00:00:14.000 --> 00:00:19.000]  我相信在座的爸爸也開始想到要買什麼禮物給你的小孩子。
[00:00:19.000 --> 00:00:22.000]  我盼望你能夠給小孩子最好的禮物,
[00:00:22.000 --> 00:00:30.000]  就是讓他在這個職業期間重溫一下我們救助生命中最美的事,
[00:00:30.000 --> 00:00:32.000]  就是認識主耶穌基督。
[00:00:32.000 --> 00:00:38.000]  我相信我講這些話,大家都聽了很多,多番多次來聽,
[00:00:38.000 --> 00:00:44.000]  但老實說,我們生命當中最寶貴的的確就是從心裏面發出的。
[00:00:44.000 --> 00:00:50.000]  你買的東西,過了兩年三年,小孩子都不知道扔在什麼地方去,
[00:00:50.000 --> 00:00:56.000]  但是你讓他擁有耶穌基督的愛,他一生都能夠想到。
[00:00:56.000 --> 00:01:03.000]  今天我願意以這個題目,基督徒,基督徒的價值觀念,
[00:01:03.000 --> 00:01:09.000]  基督徒的世界觀爲題,來跟大家分享一下在嚴重的時候,
[00:01:09.000 --> 00:01:13.000]  我們是如何的看我們的一生。
[00:01:13.000 --> 00:01:18.000]  這三個字,這三個名詞不一樣。
[00:01:18.000 --> 00:01:25.000]  作爲基督徒,不一定有基督徒的價值觀念。
[00:01:25.000 --> 00:01:33.000]  有價值觀念也不一定成爲一個擁有世界觀的基督徒。
[00:01:33.000 --> 00:01:37.000]  當我相信,當我承認我是信主的時候,
[00:01:37.000 --> 00:01:43.000]  就不一定來說我已經擁有了基督徒的世界觀。
[00:01:43.000 --> 00:01:47.000]  我舉一些例子好不好,很簡單的例子。
[00:01:47.000 --> 00:01:54.000]  比方說我是一個很忠實的馬克思主義者。
[00:01:54.000 --> 00:01:58.000]  今天不是講政治的,放心。
[00:01:58.000 --> 00:02:07.000]  在我的裏面,我相信世界最好的方法是透過政治的改變,鬥爭。
[00:02:07.000 --> 00:02:13.000]  我相信在世界的當中,需要拿開個人利益,
[00:02:13.000 --> 00:02:18.000]  在共同生活體的當中,纔是一個最好的烏托邦。
[00:02:18.000 --> 00:02:27.000]  比方說這個人有一回到美國旅行,
[00:02:27.000 --> 00:02:34.000]  他到了三藩市,到了最出名的旅遊區。
[00:02:34.000 --> 00:02:36.000]  他的朋友帶他去,
[00:02:36.000 --> 00:02:41.000]  他說美國是一個資本主義的國家,
[00:02:41.000 --> 00:02:44.000]  有錢就可以買東西。
[00:02:44.000 --> 00:02:49.000]  結果他經過了一個賣鞋的店,
[00:02:49.000 --> 00:02:52.000]  那個朋友告訴他,等一下,等一下,等一下,
[00:02:52.000 --> 00:02:56.000]  剛好這個店大減價,
[00:02:56.000 --> 00:03:00.000]  Nike的鞋子一般是三百塊錢,
[00:03:00.000 --> 00:03:03.000]  今天特別便宜,兩百塊錢。
[00:03:03.000 --> 00:03:06.000]  他說對不起朋友,我先去買。
[00:03:06.000 --> 00:03:11.000]  你猜想這個擁有馬克思主義者的這個人,
[00:03:11.000 --> 00:03:15.000]  在那個時候會做什麼決定?
[00:03:15.000 --> 00:03:18.000]  他會說,我是個馬克思主義者,
[00:03:18.000 --> 00:03:26.000]  所以這些暴力從這些商人而來的這個貨品,
[00:03:26.000 --> 00:03:29.000]  我從來不買。
[00:03:29.000 --> 00:03:32.000]  還是他會想一想,兩百塊錢還是很便宜,
[00:03:32.000 --> 00:03:34.000]  中國買不到。
[00:03:34.000 --> 00:03:38.000]  他會溜進去買,會嗎?
[00:03:38.000 --> 00:03:42.000]  哦,不知道啊。
[00:03:42.000 --> 00:03:48.000]  又比方說,我跟外邊的美國人說,
[00:03:48.000 --> 00:03:55.000]  我們中國人是仁厚,我們是大義,
[00:03:55.000 --> 00:04:02.000]  我們是美麗的民族,我們不會侵略別人。
[00:04:02.000 --> 00:04:04.000]  那麼當我講到這個事情,
[00:04:04.000 --> 00:04:10.000]  是不是意味着當我的家人年紀老邁的時候,
[00:04:10.000 --> 00:04:14.000]  我一定會照顧他呢?
[00:04:14.000 --> 00:04:16.000]  不一定。
[00:04:16.000 --> 00:04:22.000]  我以前就在馬尼蘭州看到一個根本沒有辦法相信的新聞,
[00:04:22.000 --> 00:04:27.000]  在我們本區,燈寨。
[00:04:27.000 --> 00:04:39.000]  燈寨的記者訪問了一個從中國內地來看女兒的生活片段,
