
[00:00:00.000 --> 00:00:04.040]  不得善終 這個名字也挺可怕的
[00:00:04.040 --> 00:00:07.780]  在歷代之下 第14章到第16章
[00:00:07.780 --> 00:00:14.640]  剛剛我快70歲了 很開心收到匯友寄給我的生日卡
[00:00:14.640 --> 00:00:19.540]  但是更加開心的就是我收到學士學飛的細蚊仔
[00:00:19.540 --> 00:00:25.660]  他們來來去去 畫那些畫送給我
[00:00:25.660 --> 00:00:29.000]  細蚊仔給我的東西很寶貴
[00:00:29.000 --> 00:00:34.860]  所以我特意去買了個相架 鑲起它
[00:00:34.860 --> 00:00:37.960]  現在就放在我的電腦前面
[00:00:37.960 --> 00:00:41.660]  這個相架還是John Lewis的 是不是呢
[00:00:41.660 --> 00:00:43.360]  不過是在Charlotte買的
[00:00:43.360 --> 00:00:47.500]  這樣就給我一個鼓勵 提醒
[00:00:47.500 --> 00:00:51.760]  但是就更加提醒自己 千萬不要衰修眉
[00:00:51.760 --> 00:00:53.300]  在《聖經》裡面我們都見過了
[00:00:53.300 --> 00:00:55.440]  我們曾經查過《蘇羅》 是不是
[00:00:55.440 --> 00:00:58.620]  蘇羅王是神所揀選第一個王
[00:00:58.620 --> 00:01:01.340]  是非常好 高大威猛
[00:01:01.340 --> 00:01:08.320]  但是當他走了權勢 他就慢慢忘記神了
[00:01:08.320 --> 00:01:10.740]  所以很可悲 待會我都會看
[00:01:10.740 --> 00:01:12.380]  《鎖羅門》也是
[00:01:12.380 --> 00:01:18.660]  所以記住 你現在成功不等於你自己永遠都成功
[00:01:18.660 --> 00:01:20.180]  我們今天就會透過一個王
[00:01:20.180 --> 00:01:23.840]  可能大家不太熟悉的 就叫做阿薩王
[00:01:23.840 --> 00:01:28.840]  他的一生的喜悅樂 成為我們的提醒
[00:01:28.840 --> 00:01:31.120]  免得我們重蹈覆轍
[00:01:31.120 --> 00:01:36.280]  特別提醒自己 我們一定要很謹慎 謹慎
[00:01:36.280 --> 00:01:39.420]  有些人說臭罌就出臭草
[00:01:39.420 --> 00:01:43.980]  但是未必的 臭罌可能是會出香草的
[00:01:43.980 --> 00:01:48.760]  我們先看《聖經》裡面怎麼說阿薩王
[00:01:48.760 --> 00:01:52.060]  《歷代之下》第14章的第二節
[00:01:52.060 --> 00:01:57.380]  「阿薩行耶和華 他神眼中看為善 為正的事」
[00:01:57.380 --> 00:02:02.820]  原來阿薩行耶和華 神眼中看為善 看為正的事
[00:02:02.820 --> 00:02:06.660]  阿薩做一些神好喜悅的事 那很自然而已
[00:02:06.660 --> 00:02:10.060]  但是如果你了解背景 我發覺絕不自然
[00:02:10.060 --> 00:02:15.540]  原來阿薩所上的三代 都是非常差的
[00:02:15.540 --> 00:02:20.380]  他的曾祖父是誰呢 他的曾祖父就是鎖羅門
[00:02:20.380 --> 00:02:26.000]  鎖羅門是大衛的兒子 那時候他傾慎求智慧
[00:02:26.000 --> 00:02:30.040]  管理國家 國家是整個以色列歷史裡面
[00:02:30.040 --> 00:02:34.940]  是最興盛的國家 但是因為國勢很強
[00:02:34.940 --> 00:02:38.720]  於是有很多外邦人 把所有的公主
[00:02:38.720 --> 00:02:42.380]  就是政治的婚姻 建立了 看過大衛都是這樣
[00:02:42.380 --> 00:02:46.600]  建立了政治的婚姻 但是有很多外邦的女子
[00:02:46.600 --> 00:02:50.300]  引誘鎖羅門去拜偶像
[00:02:50.300 --> 00:02:53.680]  所以晚年的時候 鎖羅門是失敗的
[00:02:53.680 --> 00:02:59.360]  我們看看聶王記上第11章第4到第7節
[00:02:59.360 --> 00:03:03.280]  鎖羅門年老的時候 他的妃嬪誘惑他的心
[00:03:03.280 --> 00:03:06.920]  去隨從別臣 她討伐他父親大衛
[00:03:06.920 --> 00:03:10.220]  誠誠實實地信服耶和華他的臣
[00:03:10.220 --> 00:03:14.240]  因為鎖羅門隨從西頓人的女臣阿斯卡努
[00:03:14.240 --> 00:03:17.140]  和阿姆人可憎的臣米勒宮
[00:03:17.140 --> 00:03:20.260]  鎖羅門行耶和華眼中後為惡的事
[00:03:20.260 --> 00:03:24.440]  不效法他父親大衛 專心順從耶和華
[00:03:24.440 --> 00:03:27.880]  鎖羅門為摩額可憎的臣基末
[00:03:27.880 --> 00:03:30.180]  和阿姆人可憎的臣摩洛
[00:03:30.180 --> 00:03:34.180]  在耶路撒冷對面的山上建築幽壇
[00:03:34.180 --> 00:03:38.980]  不要忘記聖殿是誰建造的 是鎖羅門建造的
[00:03:38.980 --> 00:03:43.060]  鎖羅門建很宏偉的聖殿去敬拜神
[00:03:43.060 --> 00:03:47.580]  但是晚年的時候 它竟然受到外邦女子的影響
[00:03:47.580 --> 00:03:51.340]  拜西頓人的女臣阿斯卡勒 阿姆人的神米勒宮
[00:03:51.340 --> 00:03:54.660]  摩額人的神基末和阿姆人的神摩洛
[00:03:54.660 --> 00:03:56.320]  摩洛更加恐怖
[00:03:56.320 --> 00:03:59.700]  建造幽壇 所以你留意到
[00:03:59.700 --> 00:04:02.900]  原來誠也銷河 拜也銷河
[00:04:02.900 --> 00:04:06.380]  它可以一手建造聖殿 帶領子民來敬拜神
[00:04:06.380 --> 00:04:09.540]  但是一手怎樣呢 是來拜偶像
[00:04:09.540 --> 00:04:13.260]  使市民陷入罪惡當中 所以很可悲
[00:04:13.260 --> 00:04:16.400]  它就是臨終 壞掉了
[00:04:16.400 --> 00:04:18.640]  好了 鎖羅門的兒子叫什麼呢
[00:04:18.640 --> 00:04:20.180]  我們經常都會撈亂的
[00:04:20.180 --> 00:04:22.740]  耶羅波安還是羅波安呢
[00:04:22.740 --> 00:04:26.500]  是羅波安 羅波安是剛愎自用
[00:04:26.500 --> 00:04:31.940]  當他作王的時候 因為市民已經受到很多的奴役
[00:04:31.940 --> 00:04:36.780]  於是要求來帶去 可不可以來帶去分開
[00:04:36.780 --> 00:04:39.820]  讓他們休息一下 但是他不肯
[00:04:39.820 --> 00:04:42.580]  結果國家在手上就分裂
[00:04:42.580 --> 00:04:45.500]  北邊的國家就由耶羅波安來帶領
[00:04:45.500 --> 00:04:48.820]  但是問題是為什麼他會這樣呢
[00:04:48.820 --> 00:04:51.780]  原來他都沒有好一點的親近神
[00:04:51.780 --> 00:04:55.660]  我們看看 聶王記上第14章22到23節
[00:04:55.660 --> 00:05:01.860]  原來不單單是耶羅波安帶領子民拜金牛洞
[00:05:01.860 --> 00:05:05.300]  羅波安繼續來犯錯
[00:05:05.300 --> 00:05:08.640]  有大人行耶和華眼中向為惡的事
[00:05:08.640 --> 00:05:12.620]  犯罪觸動他的憤恨 比他們列祖更甚
[00:05:12.620 --> 00:05:15.660]  因為他們在各高崗山上
[00:05:15.660 --> 00:05:20.340]  各青翠樹下築壇 立柱像黃木偶
[00:05:20.340 --> 00:05:23.460]  比列祖更甚 那列祖是誰呢
[00:05:23.460 --> 00:05:27.820]  就是他的爸爸 鎖羅門大衛很好
[00:05:27.820 --> 00:05:29.820]  沒有來帶去做這些事
[00:05:29.820 --> 00:05:32.580]  也是來帶去鼓勵子民拜金牛洞
[00:05:32.580 --> 00:05:35.340]  所以留意到國家是因為他的而分裂了
[00:05:35.340 --> 00:05:37.380]  好了 鎖羅門的爸爸是誰呢
[00:05:37.380 --> 00:05:39.140]  就是阿比央
[00:05:39.140 --> 00:05:42.260]  我們看看阿比央是怎樣的
[00:05:42.260 --> 00:05:46.460]  阿比央行他父親在他以前所行的一切惡
[00:05:46.460 --> 00:05:48.900]  他的心不像他早大為的心
[00:05:48.900 --> 00:05:52.500]  聖聖實實的信服耶和華他的神
[00:05:52.500 --> 00:05:55.300]  他就秉承了爸爸的不好的事
[00:05:55.300 --> 00:05:56.900]  犯了很多的錯
[00:05:56.900 --> 00:05:58.180]  所以是很可悲的
[00:05:58.180 --> 00:06:01.420]  你看到一代不如一代了
[00:06:01.420 --> 00:06:05.100]  那怎麼想到阿撒王卻是勤爺
[00:06:05.100 --> 00:06:07.980]  眼中看為正的事呢
[00:06:07.980 --> 00:06:11.860]  所以臭鴨未必是出臭草的
[00:06:11.860 --> 00:06:13.420]  以我自己為例
[00:06:13.420 --> 00:06:16.300]  我自己是一個很封建
[00:06:16.300 --> 00:06:19.300]  很迷信的家庭裡長大的
[00:06:19.300 --> 00:06:22.020]  我仍然很感恩就是我父母很疼我
[00:06:22.020 --> 00:06:26.660]  但是我祖母我爸爸那些家衛是迷信的
