
[00:00:00.000 --> 00:00:02.000]  (主席)各位電視姊妹平安
[00:00:02.000 --> 00:00:04.000]  今天是門訓主日
[00:00:04.000 --> 00:00:07.000]  我們繼續看小提琴行傳第三章一整章
[00:00:07.000 --> 00:00:09.000]  一至二十六節
[00:00:09.000 --> 00:00:12.000]  我請後面的拍檔帶出來
[00:00:12.000 --> 00:00:15.000]  我的訊息題目是「喜來行走」
[00:00:15.000 --> 00:00:19.000]  我想用一個關於喜來行走的故事開始
[00:00:19.000 --> 00:00:23.000]  Thomas Aquinas是十三世紀一個很重要的神學家
[00:00:23.000 --> 00:00:26.000]  他一次探訪當時的教皇
[00:00:26.000 --> 00:00:28.000]  教皇在當時做甚麼呢?
[00:00:28.000 --> 00:00:30.000]  他拿著一筆很大的錢
[00:00:30.000 --> 00:00:32.000]  教皇這樣對他說
[00:00:32.000 --> 00:00:37.000]  「Thomas你看看,現在教會不能夠說金銀,我也沒有」
[00:00:37.000 --> 00:00:40.000]  Thomas就對教皇這樣說
[00:00:40.000 --> 00:00:46.000]  「你說得對,所以教會現在也不能夠說喜來行走」
[00:00:46.000 --> 00:00:49.000]  這句說話是甚麼意思呢?
[00:00:49.000 --> 00:00:56.000]  「喜來行走」這句說話是出自《士同行傳》第三章
[00:00:56.000 --> 00:01:01.000]  當彼得行神跡的時候說了這句說話
[00:01:01.000 --> 00:01:03.000]  Thomas究竟說甚麼呢?
[00:01:03.000 --> 00:01:05.000]  他其實是告訴教皇
[00:01:05.000 --> 00:01:08.000]  教會現在有這麼多錢
[00:01:08.000 --> 00:01:12.000]  所依靠的也是這些錢
[00:01:12.000 --> 00:01:15.000]  所以就不能夠再行神跡了
[00:01:15.000 --> 00:01:16.000]  為甚麼呢?
[00:01:16.000 --> 00:01:19.000]  因為神跡是神的工作
[00:01:19.000 --> 00:01:22.000]  如果教會只是靠著錢財勢力
[00:01:22.000 --> 00:01:24.000]  不依靠聖靈的話
[00:01:24.000 --> 00:01:29.000]  神也不會透過教會行神跡
[00:01:29.000 --> 00:01:35.000]  在第一世紀士徒時代的教會
[00:01:35.000 --> 00:01:37.000]  真的甚麼金銀也沒有
[00:01:37.000 --> 00:01:40.000]  他們完全依靠神
[00:01:40.000 --> 00:01:41.000]  依靠聖靈
[00:01:41.000 --> 00:01:44.000]  聖靈就藉著教會行神跡
[00:01:44.000 --> 00:01:48.000]  在第三章記載了《士同行傳》的一個神跡
[00:01:48.000 --> 00:01:51.000]  就是發生在五旬節
[00:01:51.000 --> 00:01:53.000]  聖靈降臨之後
[00:01:53.000 --> 00:01:58.000]  這件神跡和其他在《士同行傳》所記載的神跡
[00:01:58.000 --> 00:02:04.000]  是聖靈在他們身上的工作所留下印記
[00:02:04.000 --> 00:02:07.000]  這些神跡的目的是甚麼呢?
[00:02:07.000 --> 00:02:12.000]  《士同行傳》一章八節是整本書的約節
[00:02:12.000 --> 00:02:16.000]  是復活了主耶穌對他們徒說的話
[00:02:16.000 --> 00:02:18.000]  讓我們一起讀
[00:02:18.000 --> 00:02:21.000]  但聖靈降在你們身上
[00:02:21.000 --> 00:02:23.000]  你們就必得著能力
[00:02:23.000 --> 00:02:25.000]  表在耶路撒冷
[00:02:25.000 --> 00:02:28.000]  猶太傳遞和撒瑪利亞
[00:02:28.000 --> 00:02:29.000]  直到地極
[00:02:29.000 --> 00:02:31.000]  作我們的見證
[00:02:31.000 --> 00:02:34.000]  所以聖靈降臨在門徒身上
[00:02:34.000 --> 00:02:36.000]  賜能力給他們行神跡
[00:02:36.000 --> 00:02:38.000]  目的只有一個
[00:02:38.000 --> 00:02:41.000]  是為了復活的主
[00:02:41.000 --> 00:02:43.000]  復活的主耶穌
[00:02:43.000 --> 00:02:46.000]  在全世界做他的見證
[00:02:46.000 --> 00:02:49.000]  就讓我們用這個角度去看今天的經文
[00:02:49.000 --> 00:02:51.000]  我們一起禱告
[00:03:20.000 --> 00:03:22.000]  禱告是奉你的愛旨
[00:03:22.000 --> 00:03:25.000]  我們的主耶穌基督寶貴的名次
[00:03:25.000 --> 00:03:26.000]  阿門
[00:03:49.000 --> 00:03:51.000]  行神跡的原因
[00:03:51.000 --> 00:03:54.000]  讓我們先讀第一至三節
[00:03:54.000 --> 00:03:56.000]  一起讀
[00:04:20.000 --> 00:04:21.000]  在聖殿
[00:04:21.000 --> 00:04:23.000]  時間是下午三點
[00:04:23.000 --> 00:04:25.000]  那時很多猶太人去禱告
[00:04:25.000 --> 00:04:29.000]  使徒彼得和約翰也去聖殿
[00:04:29.000 --> 00:04:32.000]  他們經過一個地方叫美門
[00:04:32.000 --> 00:04:34.000]  那裡有一個生靈是苛頹
[00:04:34.000 --> 00:04:37.000]  苛頹就是跛腳不能走路的人
[00:04:37.000 --> 00:04:41.000]  每天都有人抬這個人在那裡
[00:04:41.000 --> 00:04:43.000]  讓他在那裡行乞
[00:04:43.000 --> 00:04:47.000]  當他看到彼得和約翰
[00:04:47.000 --> 00:04:48.000]  就求他施捨
[00:04:49.000 --> 00:04:50.000]  我們繼續讀
[00:04:50.000 --> 00:04:54.000]  彼得和約翰定睛看他
[00:04:54.000 --> 00:04:55.000]  彼得說
[00:04:55.000 --> 00:04:56.000]  看著我們
[00:04:56.000 --> 00:04:58.000]  乃人就注目看他們
[00:04:58.000 --> 00:05:01.000]  只望從他們得著什麼
[00:05:01.000 --> 00:05:02.000]  彼得卻說
[00:05:02.000 --> 00:05:04.000]  金銀我都沒有
