
[00:00:00.000 --> 00:00:07.000]  大兄姐妹平安,很高興我們又可以回來教會一同聚集一同敬拜上主
[00:00:07.000 --> 00:00:10.000]  請我們先低頭祈禱
[00:00:10.000 --> 00:00:13.000]  周天父我們感謝祢自己恩典
[00:00:13.000 --> 00:00:20.000]  雖然外面有疫情,但我們在教會裏面有聖靈賜給我們的平安
[00:00:20.000 --> 00:00:24.000]  我們今天又可以聚集敬拜祢,聆聽祢的話語
[00:00:24.000 --> 00:00:32.000]  求聖靈幫助我們明白祢的說話,並且樂意效法主耶穌的作為
[00:00:32.000 --> 00:00:35.000]  奉主耶穌基督的名祈禱,Amen
[00:00:35.000 --> 00:00:46.000]  我相信很多大兄姐妹都知道我們教會逢星期二都舉辦英語班
[00:00:46.000 --> 00:00:51.000]  我也有參與用英語教聖經的一個環節
[00:00:51.000 --> 00:00:55.000]  最近我教的是若拿書
[00:00:55.000 --> 00:01:00.000]  相信很多人都熟悉若拿書的故事
[00:01:00.000 --> 00:01:08.000]  若拿是一位先知,是一位很聰明但卻又不聽上帝吩咐的先知
[00:01:08.000 --> 00:01:18.000]  上帝吩咐他要去尼尼尾城傳講一個上帝要審判尼尼尾城的信息
[00:01:18.000 --> 00:01:24.000]  當若拿收到上帝吩咐後,由於他是一位聰明人
[00:01:24.000 --> 00:01:30.000]  他可能會想,假如上帝要審判尼尼尾城的人
[00:01:30.000 --> 00:01:37.000]  何須要我預先警告他們,還要我長途跋涉去警告他們
[00:01:37.000 --> 00:01:41.000]  其實上帝很可能要給他悔改的機會
[00:01:45.000 --> 00:01:49.000]  於是乎他就一於抗命
[00:01:49.000 --> 00:01:54.000]  上帝要他去東面,他走去西面
[00:01:54.000 --> 00:01:58.000]  上帝要他去陸地,去一座城
[00:01:58.000 --> 00:02:01.000]  他要下海,上一條船
[00:02:01.000 --> 00:02:06.000]  但當上帝面對一位不聽話的僕人的時候
[00:02:06.000 --> 00:02:10.000]  依然給他有第二次的機會
[00:02:10.000 --> 00:02:15.000]  上帝藉著風浪和大雨,使若拿悔改
