
[00:00:00.000 --> 00:00:02.000]  各位弟子妹,平安!
[00:00:02.000 --> 00:00:05.000]  我們開始的時候,我們先做一個祈禱
[00:00:05.000 --> 00:00:08.000]  最後當我們再一次來到你面前的時候
[00:00:08.000 --> 00:00:11.000]  你就開啟我們的眼睛
[00:00:11.000 --> 00:00:13.000]  讓我們能夠看到
[00:00:13.000 --> 00:00:15.000]  你就是那位與人同行
[00:00:15.000 --> 00:00:17.000]  護佑我們的主
[00:00:17.000 --> 00:00:19.000]  禱告奉主耶穌基督的聖名
[00:00:19.000 --> 00:00:21.000]  阿門
[00:00:21.000 --> 00:00:23.000]  大家有沒有看過一部電影呢?
[00:00:23.000 --> 00:00:26.000]  那部電影叫做《人在...》
[00:00:26.000 --> 00:00:29.000]  什麼呀?《景圖》
[00:00:29.000 --> 00:00:31.000]  好
[00:00:31.000 --> 00:00:32.000]  講的就是
[00:00:32.000 --> 00:00:36.000]  兩個人在年尾回鄉過年
[00:00:36.000 --> 00:00:39.000]  中途卻遇到很多意外
[00:00:39.000 --> 00:00:41.000]  甚至被困
[00:00:41.000 --> 00:00:44.000]  很不容易才回到家
[00:00:44.000 --> 00:00:46.000]  其實猶太人
[00:00:46.000 --> 00:00:49.000]  每年上耶路撒冷首次的時候
[00:00:49.000 --> 00:00:51.000]  都有同樣的遭遇
[00:00:51.000 --> 00:00:53.000]  但他們仍然出發
[00:00:53.000 --> 00:00:55.000]  他們互相扶持
[00:00:55.000 --> 00:00:59.000]  一直唱起讚美神的歌
[00:00:59.000 --> 00:01:01.000]  詩篇121篇
[00:01:01.000 --> 00:01:03.000]  就是一首這樣的詩
[00:01:03.000 --> 00:01:05.000]  提醒那些朝聖的人
[00:01:05.000 --> 00:01:07.000]  在旅途上
[00:01:07.000 --> 00:01:10.000]  最重要的不是道路的平坦
[00:01:10.000 --> 00:01:14.000]  而是有誰來幫助我們
[00:01:14.000 --> 00:01:16.000]  來保護我們
[00:01:16.000 --> 00:01:18.000]  而保護這一詞
[00:01:18.000 --> 00:01:20.000]  在整個詩篇裡面
[00:01:20.000 --> 00:01:22.000]  你會看到出現了六次這麼多
[00:01:22.000 --> 00:01:24.000]  短短八字裡面
[00:01:24.000 --> 00:01:26.000]  更加出現了五次
[00:01:26.000 --> 00:01:28.000]  只是強調
[00:01:28.000 --> 00:01:29.000]  在旅途上
[00:01:29.000 --> 00:01:31.000]  神的主動臨在
[00:01:31.000 --> 00:01:33.000]  和祂的保守
[00:01:33.000 --> 00:01:35.000]  今天讓我們從這首
[00:01:35.000 --> 00:01:37.000]  上行之詩來出發
[00:01:37.000 --> 00:01:39.000]  在年尾這個時候
[00:01:39.000 --> 00:01:42.000]  我們一起來回顧
[00:01:42.000 --> 00:01:45.000]  並且仰望這位同行的主
[00:01:45.000 --> 00:01:47.000]  在天路的歷程裡面
[00:01:47.000 --> 00:01:51.000]  與我們一起來面對各樣的挑戰
[00:01:51.000 --> 00:01:54.000]  剛才我們所讀的經文
[00:01:54.000 --> 00:01:56.000]  我會分為四個部分
[00:01:56.000 --> 00:01:58.000]  來跟大家一起分享
[00:01:58.000 --> 00:02:00.000]  第一個部分
[00:02:00.000 --> 00:02:02.000]  詩人一開始
[00:02:02.000 --> 00:02:05.000]  就是以一個問題來開始
[00:02:05.000 --> 00:02:06.000]  他說什麼呢?
[00:02:06.000 --> 00:02:09.000]  他說我要向山舉目
[00:02:09.000 --> 00:02:12.000]  我的幫助從何而來
[00:02:12.000 --> 00:02:14.000]  這句話
[00:02:14.000 --> 00:02:16.000]  正是表達出
[00:02:16.000 --> 00:02:19.000]  客女在路上的心聲
[00:02:19.000 --> 00:02:21.000]  揭示出
[00:02:21.000 --> 00:02:23.000]  整個旅程其實是
[00:02:23.000 --> 00:02:25.000]  很不容易的
[00:02:25.000 --> 00:02:26.000]  因為在古代
[00:02:26.000 --> 00:02:27.000]  以色列人
[00:02:27.000 --> 00:02:29.000]  他們上耶路撒冷來到首節
[00:02:29.000 --> 00:02:32.000]  是必須要
[00:02:32.000 --> 00:02:35.000]  穿越高山峽谷
[00:02:35.000 --> 00:02:38.000]  要適應各種天氣
[00:02:38.000 --> 00:02:40.000]  更加要躲避野獸
[00:02:40.000 --> 00:02:44.000]  和賊人的擄掠
[00:02:44.000 --> 00:02:46.000]  而山
[00:02:46.000 --> 00:02:47.000]  在這裡
[00:02:47.000 --> 00:02:49.000]  當然是一個中數
[00:02:49.000 --> 00:02:54.000]  代表著各種的障礙
[00:02:54.000 --> 00:02:55.000]  對於那些
[00:02:55.000 --> 00:02:56.000]  其後
[00:02:56.000 --> 00:02:59.000]  被老回歸的猶太人又如何呢?
[00:02:59.000 --> 00:03:01.000]  群山
[00:03:01.000 --> 00:03:03.000]  正是象徵著他們過去的
[00:03:03.000 --> 00:03:06.000]  種種的苦難和不安
[00:03:06.000 --> 00:03:08.000]  而對我們這些現今
[00:03:08.000 --> 00:03:11.000]  在海外的華人來說
[00:03:11.000 --> 00:03:13.000]  群山又代表著什麼呢?
[00:03:13.000 --> 00:03:17.000]  可能是我們當前的工作挑戰
