
[00:00:00.000 --> 00:00:02.140]  各位弟兄姊妹,母親節快樂!
[00:00:02.140 --> 00:00:04.340]  看看旁邊那位是否母親
[00:00:04.340 --> 00:00:05.420]  你也不知道,是嗎?
[00:00:05.420 --> 00:00:07.600]  有些人知道的,母親節快樂!
[00:00:07.600 --> 00:00:11.300]  知道的話,希望你在當中蒙恩
[00:00:11.300 --> 00:00:15.620]  今天我們看這段經文是非常熟悉的
[00:00:15.620 --> 00:00:17.620]  但是關鍵在哪裡呢?就是
[00:00:17.620 --> 00:00:19.420]  「他們沒有走了」
[00:00:19.420 --> 00:00:21.660]  但是有三組人
[00:00:21.660 --> 00:00:24.740]  在這件「他們沒有走了」的事情上
[00:00:24.740 --> 00:00:27.300]  與耶穌有一些互動
[00:00:27.300 --> 00:00:29.380]  在當中給我們有什麼提醒呢?
[00:00:29.380 --> 00:00:31.060]  特別是我們怎樣回應
[00:00:31.060 --> 00:00:32.580]  既然「他們沒有走了」
[00:00:32.580 --> 00:00:36.220]  那麼我的生命如何在耶穌的身上
[00:00:36.220 --> 00:00:40.320]  帶來我們可以得著神蹟的奇妙
[00:00:40.320 --> 00:00:41.460]  以及生命的改變
[00:00:41.460 --> 00:00:43.100]  我們看有三組人
[00:00:43.100 --> 00:00:46.840]  第一組,我先解釋一下
[00:00:46.840 --> 00:00:48.380]  剛才主席讀的時候
[00:00:48.380 --> 00:00:51.580]  讀了正確的讀音,叫「曉水的用人」
[00:00:51.580 --> 00:00:53.700]  但是我讀了幾十年都是「韜水的用人」
[00:00:53.700 --> 00:00:55.500]  你是不是讀「韜」的?
[00:00:55.500 --> 00:00:57.020]  我是「韜」的,我「韜」了幾十年
[00:00:57.020 --> 00:00:58.820]  所以我戒不掉,所以我「韜」
[00:00:58.820 --> 00:01:00.980]  但是正音是「曉」的,我查過了
[00:01:00.980 --> 00:01:03.020]  所以有查是對的
[00:01:03.020 --> 00:01:05.780]  不過不要怪我,總之我是「韜」
[00:01:05.780 --> 00:01:07.780]  那麼有三組人
[00:01:07.780 --> 00:01:09.500]  第一組是「韜水的用人」
[00:01:09.500 --> 00:01:12.140]  這個在別人看來是一個配角
[00:01:12.140 --> 00:01:13.660]  只是一筆筆的
[00:01:13.660 --> 00:01:14.980]  但是我稍後再跟你說
[00:01:14.980 --> 00:01:17.260]  這個重要的,不要小看它
[00:01:17.260 --> 00:01:19.340]  沒有了它,整個神蹟是發生不了的
[00:01:19.340 --> 00:01:20.940]  「韜水的用人」第一組
[00:01:20.940 --> 00:01:24.420]  第二組,耶穌的母親也是很重要的
[00:01:24.420 --> 00:01:27.700]  因為是祂發現到「他們沒有走了」
[00:01:27.700 --> 00:01:29.620]  第二組,耶穌的母親
[00:01:29.620 --> 00:01:30.700]  還有第三組
[00:01:30.700 --> 00:01:33.740]  第三組這個,我稍後再說
[00:01:33.740 --> 00:01:36.260]  這個就是「管然直的」和「新郎」
[00:01:36.260 --> 00:01:37.540]  我組成一組
[00:01:37.540 --> 00:01:41.180]  但是我主要都是提到「管然直的人」
[00:01:41.180 --> 00:01:44.060]  這三組人在這件事情上
[00:01:44.060 --> 00:01:45.980]  跟耶穌有什麼互動呢?
[00:01:45.980 --> 00:01:48.740]  先看這段經文,第九節說到
[00:01:48.740 --> 00:01:51.140]  「管然直的上鳥,那水便的走」
[00:01:51.140 --> 00:01:52.500]  「並不知道是從那裡來」
[00:01:52.500 --> 00:01:54.300]  「只有韜水的用人知道」
[00:01:54.300 --> 00:01:56.940]  「管然直的便叫新郎來」
[00:01:56.940 --> 00:02:00.700]  這裡就出現了這兩個人
[00:02:00.700 --> 00:02:02.060]  或者我稱之為同一組人
[00:02:02.060 --> 00:02:04.100]  「新郎」和「管然直的」
[00:02:04.100 --> 00:02:05.660]  我自己的看法就是
[00:02:05.660 --> 00:02:10.660]  這件事情是對「他們沒有走了」
[00:02:10.660 --> 00:02:12.260]  後來耶穌「便水為酒」
[00:02:12.260 --> 00:02:14.340]  他們最大的受益人
[00:02:14.340 --> 00:02:15.540]  不知道你同不同意
[00:02:15.540 --> 00:02:16.900]  就是他們受益的
[00:02:16.900 --> 00:02:18.900]  當然你說不是,喝酒的也受益的
[00:02:18.900 --> 00:02:20.820]  喝酒的無論如何也會有酒喝的
[00:02:20.820 --> 00:02:21.860]  所以無論如何
[00:02:21.860 --> 00:02:23.100]  但是他們有些好酒喝的
[00:02:23.100 --> 00:02:23.700]  都是受益的
[00:02:23.700 --> 00:02:25.700]  但是更加大的受益人是
[00:02:25.700 --> 00:02:30.020]  管然直的人和新郎
[00:02:30.020 --> 00:02:32.100]  新郎不會怠慢賓客
[00:02:32.100 --> 00:02:33.220]  弄得很丟臉
[00:02:33.220 --> 00:02:34.540]  這不容易嗎?
[00:02:34.540 --> 00:02:35.300]  還有第二
[00:02:35.300 --> 00:02:36.660]  這個管然直的人
[00:02:36.660 --> 00:02:39.420]  應該是專業的去管然直的
[00:02:39.420 --> 00:02:41.180]  即是那些婚姻專家
[00:02:41.180 --> 00:02:43.100]  弄得一鍋泡,沒有酒喝
[00:02:43.100 --> 00:02:46.780]  這是專業的失誤嗎?
[00:02:46.780 --> 00:02:48.580]  將來你找不到客人
[00:02:48.580 --> 00:02:49.980]  人家將你傳揚出去
[00:02:49.980 --> 00:02:51.420]  說這個人弄得一鍋泡
[00:02:51.420 --> 00:02:52.380]  不夠酒喝
[00:02:52.380 --> 00:02:55.100]  誰還敢請你做這件事
[00:02:55.100 --> 00:02:56.500]  OK,所以這兩個人
[00:02:56.500 --> 00:02:57.700]  我們作為人來看
[00:02:57.700 --> 00:02:59.060]  應該是最大的受益人
[00:02:59.060 --> 00:03:00.820]  表面上最大的好處
[00:03:00.820 --> 00:03:02.340]  但是我們再想清楚
[00:03:02.340 --> 00:03:03.660]  一個特別的地方
[00:03:03.660 --> 00:03:04.860]  這個管然直的人
[00:03:04.860 --> 00:03:06.900]  常常有些酒不知從哪裡來的時候
[00:03:06.900 --> 00:03:09.420]  他問錯問題,找錯人
[00:03:09.420 --> 00:03:11.460]  這個聖經題有人知道的
[00:03:11.460 --> 00:03:12.700]  不過他不找那個
[00:03:12.700 --> 00:03:14.740]  「偷水的用人知道」
[00:03:14.740 --> 00:03:16.660]  只有偷水的用人知道
[00:03:16.660 --> 00:03:17.420]  第九節
[00:03:17.420 --> 00:03:18.980]  但是他偏偏不找
[00:03:18.980 --> 00:03:21.140]  偏偏找了新郎來問
[00:03:21.140 --> 00:03:23.220]  我們要留意一下他們的問法
[00:03:23.220 --> 00:03:24.020]  感受一下
[00:03:24.020 --> 00:03:25.060]  第十節那裡
