
[00:00:00.000 --> 00:00:02.860]  在一個半月之前曾經說過一篇道
[00:00:02.860 --> 00:00:04.660]  就是「偽正正偽」
[00:00:04.660 --> 00:00:07.060]  但只可以說「上面」
[00:00:07.060 --> 00:00:08.460]  就是「偽正」
[00:00:08.460 --> 00:00:09.740]  我們看到
[00:00:09.740 --> 00:00:13.660]  蘇羅和他的兒子約拿丹同一天戰死沙場
[00:00:13.660 --> 00:00:15.180]  於是
[00:00:15.180 --> 00:00:16.860]  威脅解除了
[00:00:16.860 --> 00:00:19.660]  大衛可以登基做王了
[00:00:19.660 --> 00:00:21.980]  但是雖然大衛做王
[00:00:21.980 --> 00:00:23.740]  但不能夠統一天下
[00:00:23.740 --> 00:00:27.620]  因為原來蘇羅的元帥亞利爾
[00:00:28.140 --> 00:00:31.340]  他挾天子以令諸侯
[00:00:31.340 --> 00:00:33.140]  因為
[00:00:33.140 --> 00:00:35.740]  蘇羅還有一個小兒子
[00:00:35.740 --> 00:00:37.020]  伊斯波切
[00:00:37.020 --> 00:00:38.700]  他就
[00:00:38.700 --> 00:00:41.140]  亞利爾推他做王
[00:00:41.140 --> 00:00:42.660]  在北面作王
[00:00:42.660 --> 00:00:44.620]  但這是偽政府
[00:00:44.620 --> 00:00:46.700]  而
[00:00:46.700 --> 00:00:48.060]  在這一刻
[00:00:48.060 --> 00:00:50.900]  南北兩邊有兩岸的國家
[00:00:50.900 --> 00:00:53.380]  但是經常發生內戰
[00:00:53.380 --> 00:00:56.340]  聖經裡面就舉了一次的例證
[00:00:56.620 --> 00:00:58.860]  就是大衛的元帥約拿
[00:00:58.860 --> 00:01:01.140]  和亞利爾
[00:01:01.140 --> 00:01:03.260]  他們兩個人來對峙
[00:01:03.260 --> 00:01:06.380]  大家派一些手下出來比武
[00:01:06.380 --> 00:01:07.820]  結果
[00:01:07.820 --> 00:01:10.460]  亞利爾那邊輸了
[00:01:10.460 --> 00:01:12.940]  後來他戰敗逃走
[00:01:12.940 --> 00:01:16.020]  但是約拿就乘勝追擊
[00:01:16.020 --> 00:01:19.340]  但是在乘勝追擊的過程裡面
[00:01:19.340 --> 00:01:22.260]  有一個兄弟
[00:01:22.260 --> 00:01:26.020]  就是亞利爾的弟弟
[00:01:26.020 --> 00:01:26.940]  阿薩克
[00:01:26.940 --> 00:01:28.380]  他逃得很快
[00:01:28.380 --> 00:01:29.580]  這是他的強項
[00:01:29.580 --> 00:01:31.540]  但是他的強項就是他致命傷
[00:01:31.540 --> 00:01:34.420]  他快要抓到亞利爾的時候
[00:01:34.420 --> 00:01:36.220]  亞利爾突然間停步
[00:01:36.220 --> 00:01:38.140]  向後拿一支矛槍
[00:01:38.140 --> 00:01:39.220]  向後一捅
[00:01:39.220 --> 00:01:40.660]  結果
[00:01:40.660 --> 00:01:42.500]  亞利爾就死了
[00:01:42.500 --> 00:01:44.980]  這場戰爭
[00:01:44.980 --> 00:01:46.860]  就因為亞利爾的死
