
[00:00:00.000 --> 00:00:02.000]  今天跟大家分享的是
[00:00:02.000 --> 00:00:04.600]  「願上帝的手幫助」
[00:00:04.600 --> 00:00:11.300]  我們來到第119篇第十段的經文
[00:00:11.300 --> 00:00:12.600]  這個第十段的經文
[00:00:12.600 --> 00:00:16.600]  也是用了第十個字母
[00:00:16.600 --> 00:00:20.900]  來湊成的一段經文
[00:00:20.900 --> 00:00:24.000]  讓我們讀出這八節的經文
[00:00:24.000 --> 00:00:25.200]  我們一起讀
[00:00:25.200 --> 00:00:28.600]  你的手造了我 塑造我
[00:00:28.600 --> 00:00:32.400]  求你賜我五聖 學習你的命令
[00:00:32.400 --> 00:00:35.800]  因為你的恩典我就歡喜
[00:00:35.800 --> 00:00:38.100]  因我兩岸離開
[00:00:38.100 --> 00:00:42.300]  你老話 我知道你的念章是公義的
[00:00:42.300 --> 00:00:46.000]  你使我受故事已信實在我
[00:00:46.000 --> 00:00:49.400]  求你招將其他人受罪之外
[00:00:49.400 --> 00:00:51.800]  賜愛安慰我
[00:00:51.800 --> 00:00:55.600]  求你的憐憫臨到我 使我存活
[00:00:55.600 --> 00:00:58.500]  因你的律法 賜我的喜樂
[00:00:58.500 --> 00:01:00.900]  願驕傲的人蒙羞
[00:01:00.900 --> 00:01:03.800]  因為他們無理輕復我
[00:01:03.800 --> 00:01:06.600]  但我要你的份子
[00:01:06.600 --> 00:01:08.600]  願敬畏你的人和
[00:01:08.600 --> 00:01:11.900]  知道你法度的人高跪向我
[00:01:11.900 --> 00:01:15.600]  願我的心在你的律例上完全
[00:01:15.600 --> 00:01:21.400]  賜我五聖 賜我五聖
[00:01:21.400 --> 00:01:22.600]  來到第十段
[00:01:22.600 --> 00:01:24.600]  也是第十個字母
[00:01:24.600 --> 00:01:28.300]  第十個字母很小的
[00:01:28.300 --> 00:01:29.300]  就是YOD
[00:01:29.300 --> 00:01:30.600]  很小的
[00:01:30.600 --> 00:01:34.600]  在二十二個字母當中是最小的
[00:01:34.600 --> 00:01:36.400]  而一百一十九篇
[00:01:36.400 --> 00:01:37.800]  第七十三節
[00:01:37.800 --> 00:01:39.000]  剛才大家都讀了
[00:01:39.000 --> 00:01:43.800]  第一個字就是你的手
[00:01:43.800 --> 00:01:44.500]  開始的
[00:01:44.500 --> 00:01:46.600]  所以我用上帝的手
[00:01:46.600 --> 00:01:51.300]  幫助來做這個講題
[00:01:51.300 --> 00:01:54.400]  事實上這段經文
[00:01:54.400 --> 00:01:56.200]  YOD這段經文
[00:01:56.200 --> 00:01:59.800]  我們看見神的手介入在人生不同的處境
