
[00:00:00.000 --> 00:00:02.900]  好,今日是母親節
[00:00:02.900 --> 00:00:07.620]  請問一下各位媽媽,你們是否很辛勞?
[00:00:07.620 --> 00:00:14.360]  很肯定很辛勞,就像剛才那個小朋友所說
[00:00:14.360 --> 00:00:19.660]  媽媽很辛勞,我也是媽媽很明白
[00:00:19.660 --> 00:00:22.540]  我女兒現在是十一歲
[00:00:22.540 --> 00:00:28.680]  通常媽媽都會比較著重小朋友的學業
[00:00:28.680 --> 00:00:35.280]  吃飯,各樣,換季,要買很多衣服,之類之類
[00:00:35.280 --> 00:00:37.880]  很多瑣碎的事情都是媽媽處理
[00:00:37.880 --> 00:00:42.120]  回到家,跟她吃完飯後,她睡覺了
[00:00:42.120 --> 00:00:46.080]  接著我又拿些東西出來做,就像剛才那些媽媽那樣
[00:00:46.080 --> 00:00:49.920]  我想每個人都是,很多都是相職的媽媽
[00:00:49.920 --> 00:00:52.560]  又要工作,又要照顧兒女
[00:00:52.560 --> 00:00:56.800]  或者你的子女已經長大了
[00:00:56.800 --> 00:01:01.200]  就像我媽媽那樣,她有很多擔憂
[00:01:01.200 --> 00:01:04.880]  我們那時候讀完書,出來找工作
[00:01:04.880 --> 00:01:07.480]  她又會擔心我們能否找到一份好的工作
[00:01:07.480 --> 00:01:13.160]  找到工作,她又會擔心我們能否成家立室
[00:01:13.160 --> 00:01:16.400]  結了婚,她又擔心我們有沒有兒女
[00:01:16.400 --> 00:01:21.440]  孫子都出世了,她又擔心孫子的一切
[00:01:21.440 --> 00:01:28.640]  中國人常說,養兒一百歲,長幼九十九歲
[00:01:28.640 --> 00:01:32.080]  當中有很多的憂慮,很多的擔憂
[00:01:32.080 --> 00:01:34.360]  做父母就是這樣
[00:01:34.360 --> 00:01:38.360]  不過,感恩我們有我們的神
[00:01:38.360 --> 00:01:41.200]  有時候,我們會不會覺得
[00:01:41.200 --> 00:01:44.760]  我們的生命好像每天都像打仗一樣
[00:01:44.760 --> 00:01:52.640]  很多事情要去處理,很多工作,去照顧家庭
