
[00:00:00.000 --> 00:00:04.600]  我哋今日會仍然講嘅係馬萊利實現嘅第三講
[00:00:04.600 --> 00:00:07.600]  一段好熟嘅經文,打開羅馬書第十二章
[00:00:07.600 --> 00:00:11.400]  我哋今日會用一個新嘅角度去睇呢段經文
[00:00:11.400 --> 00:00:17.200]  羅馬書第一章到第十一章整個嘅論述都係講緊救恩嘅問題
[00:00:17.200 --> 00:00:20.200]  就係上帝嘅救贖將個獨生兒子治下
[00:00:20.200 --> 00:00:26.200]  要將猶太人同非猶太人稱叫做外邦人合而為一
[00:00:26.200 --> 00:00:30.800]  喺一切都係出自恩典,全是恩典
[00:00:30.800 --> 00:00:34.800]  所以冇人可以誇口同李嘉誠講一聲全是恩典
[00:00:34.800 --> 00:00:41.600]  但救恩其中一個目的係要達至到以馬萊利神與我們同在
[00:00:41.600 --> 00:00:43.400]  聖靈居在我哋心中
[00:00:43.400 --> 00:00:47.600]  到十二章嘅時候就講緊以馬萊利嘅實現係咩回事呢
[00:00:47.600 --> 00:00:50.200]  以馬萊利就係天國彰顯於人間
[00:00:50.200 --> 00:00:54.000]  以馬萊利就係實現係透過信徒同信徒群體嘅生命
[00:00:54.000 --> 00:00:57.000]  讓天國活喺人間
[00:00:57.000 --> 00:01:01.600]  如果咁嘅時候我哋睇下保羅點樣講天國呢
[00:01:01.600 --> 00:01:08.200]  佢話因為神嘅國不在乎言語乃在乎權能
[00:01:08.200 --> 00:01:10.600]  同李嘉誠講一聲係在乎權能
[00:01:10.600 --> 00:01:15.000]  上帝嘅國度係唔需要辯論嘅
[00:01:15.000 --> 00:01:17.200]  唔需要越辯越明嘅
[00:01:17.200 --> 00:01:20.800]  唔需要同你去辯論然後去贏你嘅
[00:01:20.800 --> 00:01:25.600]  因為神嘅國度係在乎權能呢啲說話好唔啱聽
[00:01:25.600 --> 00:01:28.000]  特別而家反權威嘅世代
[00:01:28.000 --> 00:01:30.400]  但係越唔啱聽嘅世代
[00:01:30.400 --> 00:01:32.200]  但係呢啲係聖經嘅真理
[00:01:32.200 --> 00:01:34.600]  我哋唔會讓步
[00:01:34.600 --> 00:01:38.200]  今日好多人去遷就別人
[00:01:38.200 --> 00:01:42.000]  去隱藏聖經嘅要求
[00:01:42.000 --> 00:01:44.800]  但我哋知道神嘅國唔在乎言語
[00:01:44.800 --> 00:01:46.200]  係在乎權能
[00:01:46.200 --> 00:01:48.400]  佢更加話因為我哋嘅福音傳到你門那裡
[00:01:48.400 --> 00:01:54.200]  不在乎言語而在乎權能和聖靈並充足嘅信心
