
[00:00:00.000 --> 00:00:04.000]  這段聖經的最後一句
[00:00:04.000 --> 00:00:10.000]  就是耶和華使我們眾人的罪孽都歸在他身上
[00:00:10.000 --> 00:00:13.000]  這是今天我們要來思想的內容
[00:00:13.000 --> 00:00:19.000]  就是人類的罪都歸在耶穌基督身上
[00:00:19.000 --> 00:00:30.000]  我們從上次已經看過第一個歸算
[00:00:30.000 --> 00:00:35.000]  我們現在可以從聖經的話可以看到有三個歸算
[00:00:35.000 --> 00:00:41.000]  第一個就是亞當的罪歸算到他的後代
[00:00:41.000 --> 00:00:49.000]  所有從亞當出來的人都是亞當的罪都歸在他們身上
[00:00:49.000 --> 00:00:51.000]  這是關於罪
[00:00:51.000 --> 00:00:53.000]  罪的基本是什麼呢
[00:00:53.000 --> 00:00:56.000]  就是因為罪怎麼入到世界
[00:00:56.000 --> 00:00:58.000]  罪怎麼入到人類當中呢
[00:00:58.000 --> 00:01:01.000]  就是亞當犯的罪
[00:01:01.000 --> 00:01:10.000]  第二個我們今天要看的就是人類的罪歸算到耶穌基督
[00:01:10.000 --> 00:01:17.000]  這是關於基督救贖的教義
[00:01:17.000 --> 00:01:21.000]  基督怎麼救贖我們的罪呢
[00:01:21.000 --> 00:01:23.000]  都歸在他身上
[00:01:23.000 --> 00:01:27.000]  他要背負我們承擔我們一切的罪
[00:01:27.000 --> 00:01:33.000]  第三個就講到神的義
[00:01:33.000 --> 00:01:38.000]  要歸算到所有相信基督的人
[00:01:38.000 --> 00:01:43.000]  罪都歸在耶穌基督
[00:01:43.000 --> 00:01:47.000]  神的義怎麼能歸到我們身上呢
[00:01:47.000 --> 00:01:50.000]  就是我們相信耶穌基督
[00:01:50.000 --> 00:01:53.000]  相信這些人
[00:01:53.000 --> 00:01:56.000]  神的義就算在他的身上
[00:01:56.000 --> 00:01:58.000]  算在我們的身上
[00:01:58.000 --> 00:02:00.000]  這是關於救恩
[00:02:00.000 --> 00:02:06.000]  神的救恩可以從三個歸算裡頭來看到
[00:02:06.000 --> 00:02:09.000]  那麼今天我們就來到第二個歸算
[00:02:09.000 --> 00:02:16.000]  人類的罪都要歸算到耶穌基督
[00:02:16.000 --> 00:02:18.000]  亞當的後代呢
[00:02:18.000 --> 00:02:23.000]  他們自己沒有辦法拯救自己從罪裡頭出來
[00:02:23.000 --> 00:02:25.000]  就像以色列人
[00:02:25.000 --> 00:02:28.000]  他們是神選造他們
