
[00:00:00.000 --> 00:00:03.720]  今日繼續和大家討論《針研》
[00:00:03.720 --> 00:00:09.280]  上次和大家討論了選擇朋友的智慧
[00:00:09.280 --> 00:00:14.920]  今日繼續會討論對待朋友的智慧
[00:00:14.920 --> 00:00:19.640]  一個人選擇什麼樣的人做朋友呢
[00:00:19.640 --> 00:00:21.960]  反映出他的智慧
[00:00:21.960 --> 00:00:26.760]  同樣一個人如何對待他的朋友
[00:00:26.760 --> 00:00:32.160]  又如何維持友誼也反映出他的智慧
[00:00:32.160 --> 00:00:34.720]  選擇朋友可以由我們自己決定
[00:00:34.720 --> 00:00:35.800]  我們選擇嘛
[00:00:35.800 --> 00:00:38.720]  當然對方是否選擇你做朋友呢
[00:00:38.720 --> 00:00:44.160]  是對方的決定
[00:00:44.160 --> 00:00:48.680]  但是如何去維繫朋友呢
[00:00:48.680 --> 00:00:50.800]  維繫友誼呢
[00:00:50.800 --> 00:00:52.160]  是需要雙方
[00:00:52.160 --> 00:00:53.200]  不只是單方面
[00:00:53.200 --> 00:00:56.000]  是需要雙方努力
[00:00:56.000 --> 00:01:00.360]  而且我們要很小心留意對方的感受
[00:01:00.360 --> 00:01:06.560]  否則是很難維持到一個好的友誼
[00:01:06.560 --> 00:01:08.560]  我們需要從神那裏
[00:01:08.560 --> 00:01:12.800]  從聖經那裏去求取這一種智慧
[00:01:12.800 --> 00:01:15.160]  如何去維繫友誼
[00:01:15.160 --> 00:01:19.480]  否則就算我們初初找到好的朋友之後
[00:01:19.480 --> 00:01:24.480]  但是都不能夠維持得到
[00:01:24.480 --> 00:01:27.640]  我們都會同意
[00:01:27.640 --> 00:01:29.240]  如果是好朋友
[00:01:29.240 --> 00:01:33.200]  我們應該互相提醒
[00:01:33.200 --> 00:01:34.040]  互相勉勵
[00:01:34.040 --> 00:01:37.720]  以免是行差踏錯
[00:01:37.720 --> 00:01:40.840]  如果真的做錯了的話
[00:01:40.840 --> 00:01:44.520]  好朋友應該彼此勸告
[00:01:44.520 --> 00:01:47.440]  去指出他的錯處
[00:01:47.440 --> 00:01:51.000]  這樣纔是好朋友
[00:01:51.000 --> 00:01:54.360]  但是在現實生活裏
[00:01:54.360 --> 00:02:00.440]  往往卻是因爲爲了指出好朋友的錯處
[00:02:00.440 --> 00:02:02.320]  結果是什麼
[00:02:02.320 --> 00:02:05.040]  結果連朋友都沒得做
[00:02:05.040 --> 00:02:10.600]  或者以後見到面之後有些面阻阻
[00:02:10.600 --> 00:02:11.240]  是不是
[00:02:11.240 --> 00:02:16.880]  這個很現實的問題
[00:02:16.880 --> 00:02:18.200]  就算在教會里面
