
[00:00:00.000 --> 00:00:04.900]  上次跟大家開始了已不鎖書的第三章
[00:00:04.900 --> 00:00:07.840]  講了一至十三節
[00:00:07.840 --> 00:00:10.680]  我們說教會是一個奧秘
[00:00:10.680 --> 00:00:13.080]  以前是沒有人知道的
[00:00:13.080 --> 00:00:16.700]  但現在神要世人知道教會的奧秘
[00:00:16.700 --> 00:00:20.060]  就是我們能夠在主內合一
[00:00:20.060 --> 00:00:23.080]  我們都是耶穌基督的身體
[00:00:23.080 --> 00:00:25.840]  今天在第三章尾
[00:00:25.840 --> 00:00:30.560]  保羅就是為了這件事再一次獻上禱告
[00:00:30.560 --> 00:00:33.580]  他希望我們基督徒能夠合一
[00:00:33.580 --> 00:00:36.480]  能夠活出耶穌基督的愛
[00:00:36.480 --> 00:00:39.060]  讓世人能夠見到
[00:00:39.060 --> 00:00:41.880]  我叫今天的訊息
[00:00:41.880 --> 00:00:46.000]  做超越賞和求的禱告
[00:00:46.000 --> 00:00:49.880]  上星期應該講過聖誕的訊息
[00:00:49.880 --> 00:00:52.940]  我就講了教會的奧秘
[00:00:52.940 --> 00:00:57.360]  我講到不單是二千年前耶穌基督來到世上
[00:00:57.360 --> 00:00:58.920]  是神的旨意
[00:00:58.920 --> 00:01:03.000]  要世人在任何時間
[00:01:03.000 --> 00:01:06.680]  都能夠見到耶穌基督在世上
[00:01:06.680 --> 00:01:08.200]  在教會時期
[00:01:08.200 --> 00:01:10.360]  就是耶穌基督升天之後
[00:01:10.360 --> 00:01:13.480]  在祂未回來的這段時間
[00:01:13.480 --> 00:01:17.140]  是要我們基督徒將耶穌基督表現出來
[00:01:17.140 --> 00:01:18.820]  讓世人能夠見到
[00:01:18.820 --> 00:01:22.440]  這是一個美好的聖誕訊息
[00:01:22.440 --> 00:01:25.740]  這次應該是講一個新年的訊息
[00:01:25.740 --> 00:01:28.540]  為什麼又講保羅的禱告呢?
[00:01:28.540 --> 00:01:30.840]  因為保羅的禱告
[00:01:30.840 --> 00:01:35.840]  是要我們得到比我們所想所求的更好
[00:01:35.840 --> 00:01:40.020]  你想想這是不是一個很好的新年的訊息
[00:01:40.020 --> 00:01:44.640]  如何能夠比我們所想所求更好
[00:01:44.640 --> 00:01:47.600]  我們一起來看看
[00:01:47.600 --> 00:01:50.920]  其實在《耳窟所書》裡面
[00:01:50.920 --> 00:01:55.000]  不單止在第三章美保羅禱告
[00:01:55.000 --> 00:01:58.860]  早在第一章美保羅已經是禱告
[00:01:58.860 --> 00:02:02.760]  我們講過第一章是講到個人立場
[00:02:02.760 --> 00:02:04.720]  我們每一個基督徒
[00:02:04.720 --> 00:02:07.500]  都是被神大大祝福我們
[00:02:07.500 --> 00:02:09.220]  很有福氣
[00:02:09.220 --> 00:02:11.600]  所以第一章美保羅的禱告
[00:02:11.600 --> 00:02:14.920]  就是希望我們能夠明白我們的福氣
[00:02:14.920 --> 00:02:18.060]  明白我們的身份地位
[00:02:18.060 --> 00:02:21.300]  現在去到第二章第三章
[00:02:21.300 --> 00:02:23.440]  是集體的立場
[00:02:23.440 --> 00:02:25.880]  我們是耶穌基督的身體
[00:02:25.880 --> 00:02:29.700]  我們應該在主內合一彼此相愛
[00:02:29.700 --> 00:02:32.460]  所以保羅在第三章的美
[00:02:32.460 --> 00:02:36.920]  又一次為基督徒來禱告
[00:02:36.920 --> 00:02:41.080]  其實保羅在第三章美的禱告
[00:02:41.080 --> 00:02:44.080]  是在聖經裡面除了耶穌基督
[00:02:44.080 --> 00:02:49.200]  在道瑪太福音第六章主禱文的禱告之外
[00:02:49.200 --> 00:02:52.360]  是最重要的一個禱告
[00:02:52.360 --> 00:02:54.360]  保羅究竟這個禱告
[00:02:54.360 --> 00:02:57.980]  希望達到什麼目的呢?
[00:02:57.980 --> 00:03:03.060]  在《耳窟所書》的三章二十和二十一節
[00:03:03.060 --> 00:03:04.780]  講得很清楚
[00:03:04.780 --> 00:03:10.440]  保羅說:願神能照著運行在我們心裡的大能
