
[00:00:00.000 --> 00:00:01.760]  在我們領受誠懇話語之前
[00:00:01.760 --> 00:00:03.160]  我們先低頭祈禱
[00:00:03.160 --> 00:00:05.160]  天母我多謝妳給孩子有機會
[00:00:05.160 --> 00:00:07.940]  可以和弟兄姊妹分享
[00:00:07.940 --> 00:00:09.940]  為了今天在妳面前每一個人
[00:00:09.940 --> 00:00:12.640]  特別是有上班的弟兄姊妹來禱告
[00:00:12.640 --> 00:00:15.760]  我為了他們一種渴慕追求妳話語的心
[00:00:15.760 --> 00:00:17.560]  來向妳獻上感謝
[00:00:17.560 --> 00:00:19.600]  他們剛剛下班
[00:00:19.600 --> 00:00:21.600]  他們很累很疲累
[00:00:21.600 --> 00:00:24.160]  只要求妳自己來滿足他們
[00:00:24.160 --> 00:00:26.000]  屬靈裏面的渴求
[00:00:26.000 --> 00:00:29.340]  願意妳的話語成為我們生命的幫助
[00:00:29.340 --> 00:00:30.400]  和激勵
[00:00:30.400 --> 00:00:31.340]  求主在妳自己
[00:00:31.340 --> 00:00:33.000]  公務孩子所講的信息
[00:00:33.000 --> 00:00:34.140]  帶領著我們
[00:00:34.140 --> 00:00:36.400]  讓我們能夠在聖靈的啟迪之下
[00:00:36.400 --> 00:00:38.800]  有所反省和檢視
[00:00:38.800 --> 00:00:39.600]  多謝妳
[00:00:39.600 --> 00:00:41.400]  聽孩子在妳面前的祈禱交托
[00:00:41.400 --> 00:00:42.900]  拉奉主德聖的名
[00:00:42.900 --> 00:00:43.900]  阿門
[00:00:43.900 --> 00:00:50.100]  我們在這三晚裏都是集中在《馬拉基書》
[00:00:50.100 --> 00:00:51.900]  如果大家知道《馬拉基書》
[00:00:51.900 --> 00:00:54.700]  就是舊約最後的一卷書
[00:00:54.700 --> 00:00:56.200]  如果我們由《馬拉基書》
[00:00:56.200 --> 00:00:58.400]  遣到《馬太福音》就很快了
[00:00:58.400 --> 00:01:02.500]  但妳知不知道原來《馬拉基書》完了之後
[00:01:02.500 --> 00:01:05.900]  到了新約第一卷書出現的時候
[00:01:05.900 --> 00:01:07.500]  經過了多少年呢?
[00:01:07.500 --> 00:01:09.400]  四百年
[00:01:09.400 --> 00:01:12.800]  這四百年被稱為黑暗時期
[00:01:12.800 --> 00:01:14.300]  就是這四百年裏面
[00:01:14.300 --> 00:01:20.000]  神完全沒有再向以色列人有任何的啟示
[00:01:20.000 --> 00:01:21.700]  神已經沉默
[00:01:21.700 --> 00:01:24.200]  神好像已經不再理會他們
[00:01:24.200 --> 00:01:27.100]  而如果我們有讀過兩約中間
[00:01:27.100 --> 00:01:31.400]  才知道神曾經有自己猶太人
[00:01:31.400 --> 00:01:34.800]  來勇武反抗羅馬政府
[00:01:34.800 --> 00:01:36.500]  馬加比王朝
[00:01:36.500 --> 00:01:38.900]  但很快就被打敗
[00:01:38.900 --> 00:01:40.100]  所以我們能夠明白
[00:01:40.100 --> 00:01:43.400]  原來四百年神都沒有向我們講話的時候
[00:01:43.400 --> 00:01:45.100]  你就明白一件事了
[00:01:45.100 --> 00:01:48.000]  新約大家就很熟悉一個叫施洗約翰
[00:01:48.000 --> 00:01:50.900]  施洗約翰的父親是一個祭司
[00:01:50.900 --> 00:01:51.600]  叫做什麽?
[00:01:51.600 --> 00:01:53.000]  撒加尼亞
[00:01:53.000 --> 00:01:55.500]  撒加尼亞如常進入聖殿
[00:01:55.500 --> 00:01:58.000]  撒尼亞就是獻祭
[00:01:58.000 --> 00:02:00.900]  誰知有天使向撒加尼亞顯現
[00:02:00.900 --> 00:02:02.200]  跟他說
[00:02:02.200 --> 00:02:05.200]  你的太太會生一個兒子
[00:02:05.200 --> 00:02:06.500]  不是吧
[00:02:06.500 --> 00:02:08.200]  老胖生豬
[00:02:08.200 --> 00:02:10.500]  她已經過了生育年齡都有
[00:02:10.500 --> 00:02:11.500]  神說有
[00:02:11.500 --> 00:02:12.400]  還有
[00:02:12.400 --> 00:02:15.100]  你要幫她改名叫約翰
[00:02:15.100 --> 00:02:15.900]  撒加尼亞說
[00:02:15.900 --> 00:02:17.700]  不是吧
[00:02:17.700 --> 00:02:19.400]  我家裏的家譜
[00:02:19.400 --> 00:02:22.000]  沒有約翰這個字
[00:02:22.000 --> 00:02:22.600]  神說
[00:02:22.600 --> 00:02:23.900]  這麽不聽話
[00:02:23.900 --> 00:02:25.000]  你這麽沒有信心
[00:02:25.000 --> 00:02:26.680]  好,小小的罰你
[00:02:26.680 --> 00:02:27.800]  要你怎樣呢?
[00:02:27.800 --> 00:02:28.360]  啞了,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
[00:02:28.360 --> 00:02:30.880]  啞了,呃呃呃呃,這樣喔!
[00:02:30.880 --> 00:02:34.200]  你知不知道做大祭司的已經年紀大了?
[00:02:34.200 --> 00:02:38.840]  《聖經》裡面是記載的,大祭司進去會幕裡面來,去侍奉的時候呢,
[00:02:38.840 --> 00:02:41.120]  原來是一條繩子綁著他的,知不知道?
[00:02:41.120 --> 00:02:43.800]  他衣服下面有些鈴鐺的,
[00:02:43.800 --> 00:02:46.200]  就是為什麼他走路的時候會有鈴鐺的聲音,
[00:02:46.200 --> 00:02:48.840]  因為萬一他年紀大,吹低了呢,
[00:02:48.840 --> 00:02:51.480]  那些人都不敢進去,但是有條繩子綁著,是怎樣的呢?
[00:02:51.480 --> 00:02:52.640]  有沒有釣魚呀?
[00:02:52.640 --> 00:02:55.400]  那就收殭,就收他,扯他出來囉!
[00:02:55.560 --> 00:02:59.120]  聽見他如果沒什麼聲音,就不知道他睡了還是在祈禱,
[00:02:59.120 --> 00:03:02.480]  就扯一扯他,如果聽見鈴鐺的聲音,就知道他還沒死囉!
[00:03:02.480 --> 00:03:07.000]  好,撒加利亞這次在這個獻祭的過程裡面很久了,
[00:03:07.000 --> 00:03:09.640]  當他出來的時候,那些人在等他,
[00:03:09.640 --> 00:03:13.640]  呃呃呃呃呃呃呃呃呃,這樣喔!
