
[00:00:00.000 --> 00:00:03.560]  浪子的比喻 我想我們沒什麼人沒聽過的
[00:00:03.560 --> 00:00:06.320]  除非你剛剛第一次回教會
[00:00:06.320 --> 00:00:07.960]  都可能聽過的
[00:00:07.960 --> 00:00:10.960]  當然香港地 基督教教育
[00:00:10.960 --> 00:00:14.760]  學校都很普遍的 如果你回教會學校
[00:00:14.760 --> 00:00:17.680]  通常你都會聽過這些故事
[00:00:17.680 --> 00:00:21.120]  浪子的比喻其實有一點點不是很準確的
[00:00:21.120 --> 00:00:24.080]  因為浪子的比喻很少告訴我們
[00:00:24.080 --> 00:00:28.040]  我們應該集聚焦在浪子這個主角身上
[00:00:28.040 --> 00:00:31.240]  但是如果你看那段經文 路加福音第十五章
[00:00:31.240 --> 00:00:32.960]  今天看的這段經文
[00:00:32.960 --> 00:00:36.720]  你會看到主角 按道理
[00:00:36.720 --> 00:00:38.760]  祂只是三個的其中一個
[00:00:38.760 --> 00:00:42.200]  而且焦點似乎不是在祂身上
[00:00:42.200 --> 00:00:45.760]  祂是其中一個 但也不是最主要的一個
[00:00:45.760 --> 00:00:49.600]  我可以看一下一點
[00:00:49.600 --> 00:00:51.880]  比如說路加福音第十五章
[00:00:51.880 --> 00:00:55.920]  其實這個比喻之前 耶穌說過兩個比喻
[00:00:55.920 --> 00:00:59.320]  再說這個比喻 即是三個一起
[00:00:59.320 --> 00:01:00.520]  前面那兩個比喻
[00:01:00.520 --> 00:01:03.280]  其實一個就是失羊的比喻
[00:01:03.280 --> 00:01:05.800]  一個是失錢的比喻
[00:01:05.800 --> 00:01:08.440]  失羊的比喻其實就是在說
[00:01:08.440 --> 00:01:11.760]  路加福音第十五章第三節 第四節
[00:01:11.760 --> 00:01:16.560]  耶穌就說 你們中間誰有一百隻羊失去一隻
[00:01:16.560 --> 00:01:18.760]  即是說一個人有一百隻羊
[00:01:18.760 --> 00:01:21.080]  有一隻不見了 就丟下了九十九隻
[00:01:21.080 --> 00:01:24.080]  就找回那隻 千辛萬苦找回來
[00:01:24.080 --> 00:01:26.520]  找回來就很開心 慶祝
[00:01:26.520 --> 00:01:30.680]  叫所有朋友來一起歡慶
[00:01:30.680 --> 00:01:32.880]  第二個比喻很短的
[00:01:32.880 --> 00:01:35.840]  第二個比喻 祂就說一個婦人
[00:01:35.840 --> 00:01:39.240]  一個女人有十塊錢 掉了一個在地上
[00:01:39.240 --> 00:01:43.040]  起不會說點燈 到處找
[00:01:43.040 --> 00:01:45.760]  直至打掃整個家 找到那個錢
[00:01:45.760 --> 00:01:47.680]  然後祂就很開心通知朋友
[00:01:47.680 --> 00:01:51.480]  我不見了的錢 我找回了 開心快樂
[00:01:51.480 --> 00:01:55.040]  接著第十一節 就是這個比喻
[00:01:55.040 --> 00:01:58.720]  這裡耶穌又說 一個人有兩個兒子
[00:01:58.720 --> 00:02:00.120]  祂是這樣開始的
[00:02:00.120 --> 00:02:02.840]  前面是一個人有一百隻羊
[00:02:02.840 --> 00:02:04.920]  一個婦人有十塊錢
[00:02:04.920 --> 00:02:07.480]  一個人有兩個兒子
[00:02:07.480 --> 00:02:11.680]  然後小兒子失去 回來
[00:02:11.680 --> 00:02:13.800]  開心快樂 即是重複的
[00:02:13.800 --> 00:02:17.680]  所以你會發覺 如果你看前面那兩個比喻
[00:02:17.680 --> 00:02:19.840]  那個焦點不是羊
[00:02:19.840 --> 00:02:22.040]  焦點是那個人
[00:02:22.040 --> 00:02:25.440]  第二個比喻 焦點是那個婦人
[00:02:25.440 --> 00:02:26.960]  她不見了的東西
[00:02:26.960 --> 00:02:29.880]  都是不見了 是那個人不見了
[00:02:29.880 --> 00:02:32.720]  所以這次是一個爸爸 她不見了一個兒子
[00:02:32.720 --> 00:02:34.280]  兒子回來了 後來
[00:02:34.280 --> 00:02:35.920]  所以這個焦點 我覺得
[00:02:35.920 --> 00:02:37.600]  耶穌這樣說的比喻
[00:02:37.600 --> 00:02:40.360]  我相信祂是想我們
[00:02:40.360 --> 00:02:42.040]  看多一點爸爸的
[00:02:42.040 --> 00:02:43.960]  多過看兒子
[00:02:43.960 --> 00:02:46.960]  當然兒子和爸爸的互動裡面 有很多事情發生
[00:02:46.960 --> 00:02:49.960]  但是我想大家今天讓我們
[00:02:49.960 --> 00:02:52.200]  格外多一點去看一下
[00:02:52.200 --> 00:02:54.520]  這位爸爸在這個過程裡面
[00:02:54.520 --> 00:02:55.600]  他的反應
[00:02:55.600 --> 00:02:58.400]  他的行動
[00:02:58.400 --> 00:03:00.000]  他的思想
[00:03:00.000 --> 00:03:01.160]  這個比喻裡面
[00:03:01.160 --> 00:03:03.320]  有些什麼有說 有些什麼沒有說
[00:03:03.320 --> 00:03:06.640]  但期望我們讀這個比喻 聽這個比喻的人
[00:03:06.640 --> 00:03:08.760]  其實我們可以揣摩到的
[00:03:08.760 --> 00:03:11.200]  我們這樣去理解我們的切天賦
[00:03:11.200 --> 00:03:13.200]  好嗎 我試一下這樣看這篇經文
[00:03:13.200 --> 00:03:16.120]  好 路加福音第十五章十一節
[00:03:16.120 --> 00:03:18.720]  去到第三十二節
[00:03:18.720 --> 00:03:22.160]  我們試一下一起讀出來
[00:03:22.160 --> 00:03:23.480]  預備請
[00:03:23.480 --> 00:03:29.720]  我們嘗試一下揣摩一下天賦
