
[00:00:00.000 --> 00:00:04.820]  過去這麼多年,今年我們慶祝成立15週年
[00:00:04.820 --> 00:00:07.340]  過去這15年裏
[00:00:07.340 --> 00:00:11.700]  到底我們曾經替過多少人施針呢?
[00:00:11.700 --> 00:00:18.900]  巨叔很快的,沒多久就把名單和數字給了我
[00:00:18.900 --> 00:00:22.740]  我想大家能夠猜到個弱數
[00:00:22.740 --> 00:00:26.300]  大家以爲我們過去這15年裏
[00:00:26.300 --> 00:00:29.180]  替過多少人施針呢?
[00:00:29.180 --> 00:00:32.100]  如果你覺得大約有200個左右
[00:00:32.100 --> 00:00:36.180]  200個左右,舉手了嗎?
[00:00:36.180 --> 00:00:37.980]  有人舉手了,ok
[00:00:37.980 --> 00:00:44.660]  250,你覺得應該有250吧,有沒有人舉手?
[00:00:44.660 --> 00:00:48.660]  300呢?有人舉手,Amen
[00:00:48.660 --> 00:00:51.460]  350有沒有呢?你猜
[00:00:51.460 --> 00:00:54.060]  350有沒有啊?
[00:00:54.060 --> 00:00:55.900]  沒人舉手
[00:00:55.900 --> 00:00:59.500]  400呢?
[00:00:59.500 --> 00:01:02.940]  有人舉手了,多過400的人有沒有?
[00:01:02.940 --> 00:01:06.700]  Amen
[00:01:06.700 --> 00:01:09.540]  我問問坤叔,坤叔說,穆斯
[00:01:09.540 --> 00:01:12.300]  先幾年,開頭那幾年就比較困難
[00:01:12.300 --> 00:01:16.700]  因爲開頭那幾年,大家知道我們會員大會在11月
[00:01:16.700 --> 00:01:19.100]  而12月通常還有一次浸禮
[00:01:19.100 --> 00:01:22.620]  所以11月會員大會通常就反映不了最後一次浸禮
[00:01:22.620 --> 00:01:26.340]  後來的我都會加上去,先幾年我就不知道了
[00:01:26.340 --> 00:01:28.980]  但是按照他手頭上的資料
[00:01:28.980 --> 00:01:34.700]  過去15年,我們是替439個人施針
[00:01:34.700 --> 00:01:37.420]  平均每年29個
[00:01:37.420 --> 00:01:38.420]  ok
[00:01:38.420 --> 00:01:40.700]  最多的那一年
[00:01:40.700 --> 00:01:42.380]  是2011年
[00:01:42.380 --> 00:01:45.620]  2011年,大家知道我們有多少人施針嗎?
[00:01:45.620 --> 00:01:47.300]  45
[00:01:47.300 --> 00:01:52.140]  45人在2011年的時候在教會接受浸禮
[00:01:52.140 --> 00:01:54.020]  當然,如果來到會點的一段時間
[00:01:54.020 --> 00:01:59.540]  我相信可能你都聽到一些關於教會發展的消息
[00:01:59.540 --> 00:02:02.780]  我們從60個人開始,現在大概有800人聚會
[00:02:02.780 --> 00:02:03.540]  ok
[00:02:03.540 --> 00:02:06.380]  從一個勁爆的地方,現在我們有兩個
[00:02:06.380 --> 00:02:10.340]  被我們作爲全呼音的基地
[00:02:10.340 --> 00:02:12.420]  不過我希望大家聽到這些消息的時候
[00:02:12.420 --> 00:02:16.060]  感謝主啦,可能你沒想過,我們跟這些人施針過嗎?
[00:02:16.060 --> 00:02:20.900]  最近我們經常說,我們有兩個campus
[00:02:20.900 --> 00:02:23.420]  我想大家留意的是,當教會慢慢發展
[00:02:23.420 --> 00:02:25.580]  好像變得越來越有規模
[00:02:25.580 --> 00:02:27.020]  越來越上軌道
[00:02:27.020 --> 00:02:32.620]  我們好像資源、神的供應從來都沒有缺乏
[00:02:32.620 --> 00:02:35.260]  有時我們很容易有個感覺
[00:02:35.260 --> 00:02:37.460]  那我們都挺好的
[00:02:37.460 --> 00:02:39.020]  我們都差不多了
[00:02:39.020 --> 00:02:39.740]  ok
[00:02:39.740 --> 00:02:41.420]  我們都做得不錯了
[00:02:41.420 --> 00:02:42.580]  那什麼意思?
[00:02:42.580 --> 00:02:44.700]  就是說我們可以休息一下了
[00:02:44.700 --> 00:02:45.900]  可以放鬆一點了
[00:02:45.900 --> 00:02:46.500]  ok
[00:02:46.500 --> 00:02:48.380]  是否不需要那麼緊張了
[00:02:48.380 --> 00:02:51.900]  或者我們這些老匯點人可以休息一下
[00:02:51.900 --> 00:02:53.980]  讓我們這些新迷的、初訓的
[00:02:53.980 --> 00:02:58.540]  讓我們去侍奉,我們就可以放慢腳步
[00:02:58.540 --> 00:03:00.780]  我不知道大家有沒有這樣的感覺呢?
[00:03:00.780 --> 00:03:02.660]  有沒有這樣的看法?
[00:03:02.660 --> 00:03:08.980]  或者有沒有這樣的意識曾經流過我們的腦海當中?
[00:03:08.980 --> 00:03:10.340]  如果有的話
[00:03:10.340 --> 00:03:12.020]  求天父憐憫我們,幫助我們
[00:03:12.020 --> 00:03:13.820]  我們要很小心
[00:03:13.820 --> 00:03:15.660]  沒錯,天父給我們很多印點
[00:03:15.660 --> 00:03:16.860]  no doubt about it
[00:03:16.860 --> 00:03:17.500]  ok
[00:03:17.500 --> 00:03:20.820]  如果我們和美林浸信會全美國
[00:03:20.820 --> 00:03:23.580]  有四萬六千多間教會
[00:03:23.580 --> 00:03:26.020]  大家知不知道這四萬六千多間教會當中
[00:03:26.020 --> 00:03:27.460]  其中的四分之一
[00:03:27.460 --> 00:03:29.460]  大約是一萬一千五百間教會
[00:03:29.460 --> 00:03:32.740]  整年都沒有浸過一個人
[00:03:32.740 --> 00:03:35.500]  哇,比起他們來說我們好很多了
[00:03:35.500 --> 00:03:37.660]  那就讚美主了,是不是?
[00:03:37.660 --> 00:03:39.460]  如果我們要比的話
[00:03:39.460 --> 00:03:41.500]  美國裏面來說全年
[00:03:41.500 --> 00:03:44.660]  每年有三千五百間到四千間的教會
[00:03:44.660 --> 00:03:46.860]  close the door forever
[00:03:46.860 --> 00:03:48.700]  就是倒閉關門
[00:03:48.700 --> 00:03:50.820]  哇,我們現在發展了兩個campus
[00:03:50.820 --> 00:03:52.820]  是不是應該感謝主?
[00:03:52.820 --> 00:03:54.300]  應該
[00:03:54.300 --> 00:03:56.500]  感謝讚美天父
[00:03:56.500 --> 00:03:58.220]  但是如果我們因爲
[00:03:58.220 --> 00:03:59.700]  這些這樣的結果
[00:03:59.700 --> 00:04:00.340]  我們就覺得
[00:04:00.340 --> 00:04:03.260]  哎呀感謝主,我們夠了,我們差不多了
[00:04:03.260 --> 00:04:05.860]  我們要很小心
[00:04:05.860 --> 00:04:07.740]  因爲耶穌基督設立的教會
[00:04:07.740 --> 00:04:11.420]  不是只是爲了替人施浸的
[00:04:11.420 --> 00:04:13.300]  耶穌基督設立的教會
[00:04:13.300 --> 00:04:18.780]  是要我們去造就一些有生命力有感染力有繁殖力的門徒
[00:04:18.780 --> 00:04:21.300]  是一個reproducible的disciples
[00:04:21.300 --> 00:04:24.180]  go in and make disciples of all nations
[00:04:24.180 --> 00:04:28.380]  你要去使萬民作爲我的門徒
[00:04:28.380 --> 00:04:30.980]  受浸只是其中一個環節
[00:04:30.980 --> 00:04:32.300]  始終的目的
[00:04:32.300 --> 00:04:34.940]  是要成爲一個有生產力
[00:04:34.940 --> 00:04:38.220]  有感染力的基督徒
