
[00:00:00.000 --> 00:00:03.360]  這是馬可福音的主角
[00:00:03.360 --> 00:00:06.000]  就是耶穌基督
[00:00:06.000 --> 00:00:14.640]  我打算用馬可福音來做我講道的題材
[00:00:14.640 --> 00:00:25.080]  所以以後或許在很多時間,今年之內,我都會用馬可福音來講道
[00:00:25.080 --> 00:00:30.000]  可能在今年以來都會用馬可福音作為講道的題材
[00:00:30.000 --> 00:00:34.560]  首先讓我們先了解一下馬可福音寫作的背景
[00:00:34.560 --> 00:00:44.660]  馬可福音的作者馬可和使徒彼得有什麼關係呢?
[00:00:44.660 --> 00:01:03.140]  在馬可福音裏面,有關彼得的言行的記載是比其他福音書更為突出的
[00:01:03.140 --> 00:01:18.980]  比馬太福音和路加福音更加鮮明
[00:01:18.980 --> 00:01:28.300]  根據可靠的早期第二世紀教父的記載
[00:01:28.300 --> 00:01:36.060]  其中引述了一位屬於當時第三代的基督徒,叫做帕皮亞
[00:01:36.060 --> 00:01:42.900]  這是一位很重要的人物
[00:01:42.900 --> 00:01:51.140]  因為他是使徒約翰的門徒
[00:01:51.140 --> 00:02:02.700]  他說馬可成為了使徒彼得的詮釋者
[00:02:02.700 --> 00:02:14.620]  所以後來馬可將他從彼得口中所說的主耶穌的事情都記錄下來
[00:02:14.620 --> 00:02:20.620]  所以馬可就從彼得口中所講的事情都記錄下來
[00:02:20.620 --> 00:02:34.380]  所以我們看馬可福音,似乎是在看馬可所寫的文字
[00:02:34.380 --> 00:02:43.660]  但是寫作的題材很多都是來自彼得
[00:02:43.660 --> 00:02:55.260]  這些記載雖然往往不順著時間的次序記錄
[00:02:55.260 --> 00:02:58.860]  但是卻是非常準確
[00:02:58.860 --> 00:03:05.180]  由於馬可跟隨了彼得一段時間
[00:03:05.180 --> 00:03:12.420]  甚至在彼得後書第五章十三節
[00:03:12.420 --> 00:03:17.340]  就稱馬可為他的兒子
[00:03:17.340 --> 00:03:25.700]  清楚地指出馬可就是馬可福音的作者
[00:03:25.700 --> 00:03:37.740]  這就是第四世紀教父耶由米所講的
[00:03:37.740 --> 00:03:44.060]  他在他所翻譯的聖經馬可福音的序言裡面是這麼說的
[00:03:44.060 --> 00:03:54.300]  馬可就是馬可福音的作者
[00:03:54.300 --> 00:03:59.660]  他不是使徒
[00:03:59.660 --> 00:04:06.860]  但是他是彼得的學生
[00:04:06.860 --> 00:04:19.500]  換句話說,馬可是透過水裡生的
[00:04:19.500 --> 00:04:29.340]  換句話說,彼得是替馬可施浸的
[00:04:29.340 --> 00:04:34.820]  他同時也是神話語的學生
[00:04:34.820 --> 00:04:43.100]  由此可見,馬可福音的記載是建基於使徒彼得的親身記錄
[00:04:43.100 --> 00:04:48.700]  所以馬可福音的記載是透過使徒彼得的親身經歷
[00:04:48.700 --> 00:04:52.420]  第二方面,馬可福音有什麼特色呢?
[00:04:52.420 --> 00:04:54.780]  第二方面,馬可福音到底有什麼特色呢?
[00:04:54.780 --> 00:04:59.940]  這本福音書是著重主耶穌的行動
