
[00:00:00.000 --> 00:00:02.360]  Morning 大家早晨 我是趙牧師
[00:00:02.360 --> 00:00:08.800]  我相信我們加州人已經跟其他很多的state都一樣了
[00:00:08.800 --> 00:00:16.480]  就被州長命令要留在裡面居家隔離14天、21天
[00:00:16.480 --> 00:00:18.720]  甚至是一個月時間的
[00:00:18.720 --> 00:00:21.040]  我相信我們在這裡生活這麼久
[00:00:21.040 --> 00:00:22.640]  從來都沒有想過
[00:00:22.640 --> 00:00:26.360]  每一天有這麼長的時間留在家裡面的 是不是呢?
[00:00:26.360 --> 00:00:27.680]  那麼問題是什麼呢?
[00:00:27.680 --> 00:00:29.360]  就不僅僅是一天、兩天
[00:00:29.360 --> 00:00:32.440]  已經一個星期、兩個星期、三個星期即將來臨了
[00:00:32.440 --> 00:00:38.320]  到底這個命令什麼時候才會結束呢?
[00:00:38.320 --> 00:00:40.320]  我們現在是無法知道的
[00:00:40.320 --> 00:00:42.240]  當然到了這個時間
[00:00:42.240 --> 00:00:46.080]  我相信那些搶購廁紙、搶購洗手液、口罩
[00:00:46.080 --> 00:00:49.200]  那個熱潮都已經開始退了下來
[00:00:49.200 --> 00:00:57.800]  但是我相信在人心裡面那種惶恐、憂心、焦慮、煩躁
[00:00:57.800 --> 00:01:02.600]  種種的不滿的情緒是與人俱增的
[00:01:02.600 --> 00:01:05.760]  除非我們能夠看到在不久的將來
[00:01:05.760 --> 00:01:07.360]  這個情況會改善
[00:01:07.360 --> 00:01:11.880]  或者看到一個比較樂觀的前景
[00:01:11.880 --> 00:01:14.120]  可能情況會好一點的
[00:01:14.120 --> 00:01:18.000]  但事實上我剛剛聽到消息
[00:01:18.000 --> 00:01:19.920]  其實上個星期已經聽到了
[00:01:19.920 --> 00:01:21.680]  現在加州
[00:01:21.680 --> 00:01:22.600]  不是加州
[00:01:22.600 --> 00:01:27.240]  是全美國失業的人口多了300萬
[00:01:27.240 --> 00:01:30.600]  所以我們可以想像其實在美國生活有很多人
[00:01:30.600 --> 00:01:34.440]  其實現在已經是面對很多在經濟上的壓力
[00:01:34.440 --> 00:01:36.360]  甚至是危機
[00:01:36.360 --> 00:01:42.200]  不得不提那些已經是新染的肺炎的
[00:01:42.200 --> 00:01:44.200]  還有一些家人、朋友
[00:01:44.200 --> 00:01:48.360]  我相信他們會更加焦慮不安的
[00:01:48.360 --> 00:01:51.240]  當我們面對這個疫情
[00:01:51.240 --> 00:01:54.600]  這個疫情現在已經變成一個全球性的
[00:01:54.600 --> 00:02:00.640]  一個全球性的肺炎的大疫情了
[00:02:00.640 --> 00:02:01.720]  很多人
[00:02:01.720 --> 00:02:03.320]  包括基督徒在內
[00:02:03.320 --> 00:02:06.360]  相信我們經常都會問的問題
[00:02:06.360 --> 00:02:08.120]  為什麼這麼久了
[00:02:08.120 --> 00:02:10.040]  神還好像不做一些事情呢?
[00:02:10.040 --> 00:02:11.960]  是不是神忘記了我們呢?
[00:02:11.960 --> 00:02:15.000]  上帝為什麼袖手旁觀呢?
[00:02:15.000 --> 00:02:16.040]  祂對世人
[00:02:16.040 --> 00:02:19.200]  特別是對自己的子民的愛去了哪裡呢?
[00:02:19.200 --> 00:02:23.080]  這些問題其實很多時候都是很正常我們都會問的
[00:02:23.080 --> 00:02:28.720]  所以梁牧師就從上個星期開始
[00:02:28.720 --> 00:02:32.280]  就暫時停止了我們那個藥書的系列
[00:02:32.280 --> 00:02:35.240]  就開始講雅各書
[00:02:35.240 --> 00:02:37.160]  因為在雅各書裡面來講
[00:02:37.160 --> 00:02:40.800]  就會帶給我們有很多實際的
[00:02:40.800 --> 00:02:44.160]  很實用的一些原則和方法
[00:02:44.160 --> 00:02:49.080]  幫助我們怎樣去面對這個疫情
[00:02:49.080 --> 00:02:51.080]  今天我跟大家要分享的
[00:02:51.080 --> 00:02:55.120]  就是活在逆轉乾坤時
[00:02:55.120 --> 00:02:58.920]  因為大家都知道現在這個疫情真的翻轉了地球
[00:02:58.920 --> 00:03:01.840]  全世界百多個國家、地區
[00:03:01.840 --> 00:03:04.080]  都被它搞得亂七八糟
[00:03:04.080 --> 00:03:06.320]  到底作為基督徒
[00:03:06.320 --> 00:03:08.200]  我們應該在這樣的情況下
[00:03:08.200 --> 00:03:10.400]  應該怎樣去生活呢?
[00:03:10.400 --> 00:03:12.840]  今天跟大家看的只是幾個聖經
[00:03:12.840 --> 00:03:13.920]  是第一章
[00:03:13.920 --> 00:03:15.400]  雅各書是第一章
[00:03:15.400 --> 00:03:16.920]  有聖經就回去看聖經
[00:03:16.920 --> 00:03:20.920]  沒有聖經就看我們網上的圖片
[00:03:20.920 --> 00:03:22.720]  或者是經文也可以的
[00:03:22.720 --> 00:03:25.280]  雅各書第一章第一節到第七節
[00:03:25.280 --> 00:03:28.440]  然後我跟大家再看第十二節
[00:03:28.440 --> 00:03:31.040]  首先我們很快看看這段聖經
[00:03:31.040 --> 00:03:32.880]  聖經怎麼說呢?
[00:03:32.880 --> 00:03:36.240]  向上帝和主耶穌基督的僕人雅各
[00:03:36.240 --> 00:03:40.480]  就向散居各地十二支派的人民安
[00:03:40.480 --> 00:03:41.720]  我的弟兄姊妹
[00:03:41.720 --> 00:03:44.600]  你們遭遇各種的試煉的時候
[00:03:44.600 --> 00:03:46.480]  都要亥危喜朗
[00:03:46.480 --> 00:03:49.000]  因為知道你們的信心
[00:03:49.000 --> 00:03:51.880]  經過考驗就產生忍耐
[00:03:51.880 --> 00:03:54.200]  但忍耐要堅持到底
[00:03:54.200 --> 00:03:57.520]  堅持到底的原文意思是有完全的功效
[00:03:57.520 --> 00:04:00.920]  使你們可以完全毫無缺乏
[00:04:00.920 --> 00:04:03.800]  你們中間如果有缺少智慧
[00:04:03.800 --> 00:04:06.600]  就當向那厚賜眾人
[00:04:06.600 --> 00:04:10.400]  而且是不斥責人的上帝祈求
[00:04:10.400 --> 00:04:12.040]  他就必得著
[00:04:12.040 --> 00:04:15.040]  但是他應該是憑著信心求
[00:04:15.040 --> 00:04:16.320]  不要有疑惑
[00:04:16.320 --> 00:04:24.840]  因為疑惑的人就好像被風的波浪吹到翻騰的海浪
[00:04:24.840 --> 00:04:30.360]  這樣的人就不要想著可以從上帝那裡得到什麼
[00:04:30.360 --> 00:04:32.160]  然後十二支
[00:04:32.160 --> 00:04:37.560]  這裡說能夠忍受試探的人是有福的
[00:04:37.560 --> 00:04:39.600]  因為他經過考驗之後
[00:04:39.600 --> 00:04:42.680]  必得著生命的冠冕
[00:04:42.680 --> 00:04:47.240]  這是主應許賜給愛他之人的
[00:04:47.240 --> 00:04:49.840]  在經文裡面來說
[00:04:49.840 --> 00:04:52.680]  首先我們看到第一件事是什麼呢?
[00:04:52.680 --> 00:04:54.960]  原來雅各告訴我們
