
[00:00:00.000 --> 00:00:02.800]  弟兄姊妹今天和大家分享的題目是
[00:00:02.800 --> 00:00:05.400]  領聖餐的態度
[00:00:05.400 --> 00:00:07.760]  如果你記得我們在兩個月之前
[00:00:07.760 --> 00:00:11.040]  我們開始每逢聖餐就說一下聖餐的事情
[00:00:11.040 --> 00:00:12.560]  第一次我們又說
[00:00:12.560 --> 00:00:15.480]  聖餐我們一個很主要的意思就是
[00:00:15.480 --> 00:00:17.480]  我們要紀念主
[00:00:17.480 --> 00:00:24.040]  第二個就是當我們要領受聖餐的時候
[00:00:24.040 --> 00:00:27.080]  特別是我們是同心合意的
[00:00:27.080 --> 00:00:28.600]  去到神面前
[00:00:28.600 --> 00:00:31.240]  這是一個感恩祭
[00:00:31.240 --> 00:00:32.800]  我們要感謝神
[00:00:32.800 --> 00:00:34.800]  為我們在十字架上的犧牲
[00:00:34.800 --> 00:00:36.800]  今天第三
[00:00:36.800 --> 00:00:39.280]  喂
[00:00:39.280 --> 00:00:41.280]  你現在是什麼態度
[00:00:41.280 --> 00:00:44.360]  你有沒有試過這樣和子女
[00:00:44.360 --> 00:00:46.600]  或者你的下屬其他的人
[00:00:46.600 --> 00:00:48.600]  這樣罵過他
[00:00:48.600 --> 00:00:51.400]  又或者你有沒有被你父母
[00:00:51.400 --> 00:00:53.800]  被你的上司朋友這樣罵過你
[00:00:53.800 --> 00:00:55.800]  什麼態度呢
[00:00:57.000 --> 00:00:59.800]  今天我們看哥倫多前書保羅
[00:00:59.800 --> 00:01:02.400]  他其實寫信給哥倫多教會
[00:01:02.400 --> 00:01:07.720]  當時哥倫多教會發生了很多不同的問題
[00:01:07.720 --> 00:01:09.600]  包括他們有些異端
[00:01:09.600 --> 00:01:11.800]  有些不同的人有些不同的看法
[00:01:11.800 --> 00:01:12.800]  很混亂
[00:01:12.800 --> 00:01:17.000]  也有很多在教會實質上
[00:01:17.000 --> 00:01:19.400]  出現不同的問題
[00:01:19.400 --> 00:01:25.000]  而在第十一章裡面是說到聚會的問題
[00:01:25.000 --> 00:01:29.600]  包括之前說應不應該那些女人蒙蒙頭來
[00:01:29.600 --> 00:01:31.600]  接著說今天這段經文
[00:01:31.600 --> 00:01:34.600]  就是說到聖餐的問題
[00:01:34.600 --> 00:01:37.600]  在當時出現了很多的混亂
[00:01:37.600 --> 00:01:40.600]  保羅就說在那段經文就說
[00:01:40.600 --> 00:01:44.600]  他不會稱讚哥倫多的教會
[00:01:44.600 --> 00:01:46.400]  在這件事情上
[00:01:46.400 --> 00:01:47.600]  其實真的說得很客氣
[00:01:47.600 --> 00:01:49.000]  我不稱讚你
[00:01:49.000 --> 00:01:51.400]  其實保羅就是在說他們
[00:01:51.400 --> 00:01:53.400]  喂你們現在在搞什麼
[00:01:53.400 --> 00:01:58.400]  你現在用什麼態度來參加這個聖餐的聚會呢
[00:01:58.400 --> 00:02:02.000]  這個正正是保羅當時想藉著這段經文
[00:02:02.000 --> 00:02:06.400]  和哥倫多教會講和糾正他們的一些事情
[00:02:06.400 --> 00:02:08.400]  今日弟兄姊妹
[00:02:08.400 --> 00:02:10.400]  我們今天都是聖餐
[00:02:10.400 --> 00:02:14.000]  我們求神幫助我們藉著這段經文
[00:02:14.000 --> 00:02:17.400]  可能我們已經領了聖餐很多年的經驗
[00:02:17.400 --> 00:02:20.000]  這段經文讀了很多次
[00:02:20.000 --> 00:02:24.400]  但是求神藉著他自己的話再一次進入我們生命
[00:02:24.400 --> 00:02:25.400]  提醒我們
[00:02:25.400 --> 00:02:27.400]  我們低頭禱告
[00:02:27.400 --> 00:02:33.400]  天父我求祢的聖靈
[00:02:33.400 --> 00:02:35.400]  現在就在我們弟兄姊妹
[00:02:35.400 --> 00:02:37.400]  無論我們在教堂裡面
[00:02:37.400 --> 00:02:39.400]  或者在家裡面
[00:02:39.400 --> 00:02:41.400]  我們現在一起崇拜的
[00:02:41.400 --> 00:02:44.400]  聖靈啊你就在我們心裡面
[00:02:44.400 --> 00:02:46.400]  親自和我們講說話
[00:02:46.400 --> 00:02:49.400]  因為你最清楚我們每一個弟兄姊妹
[00:02:49.400 --> 00:02:51.400]  生命的處境
[00:02:51.400 --> 00:02:56.400]  求你藉著你的經文裡面的說話
[00:02:56.400 --> 00:02:57.400]  鼓勵我們
[00:02:57.400 --> 00:02:59.400]  督責我們
[00:02:59.400 --> 00:03:00.400]  提醒我們
[00:03:00.400 --> 00:03:03.400]  甚至教導我們
[00:03:03.400 --> 00:03:05.400]  糾正我們
[00:03:05.400 --> 00:03:09.400]  將以下這段時間我們交上給主你
[00:03:09.400 --> 00:03:11.400]  求聖靈充滿
[00:03:11.400 --> 00:03:13.400]  禱告奉耶穌基督的聖名求
[00:03:13.400 --> 00:03:14.400]  阿們
[00:03:14.400 --> 00:03:17.400]  所以第一點我們要看一下的就是
[00:03:17.400 --> 00:03:20.400]  我們要提防冒犯
