
[00:00:00.000 --> 00:00:02.000]  在今早的崇拜當中
[00:00:02.000 --> 00:00:04.200]  我們先讀一段經文
[00:00:04.200 --> 00:00:10.500]  是記載在《馬學福音》第五章二十一至三十四節
[00:00:10.500 --> 00:00:15.500]  耶穌坐船又到那邊去
[00:00:15.500 --> 00:00:18.500]  就有許多人到他那裡聚集
[00:00:18.500 --> 00:00:21.000]  他正在海邊上
[00:00:21.000 --> 00:00:24.500]  有一個管會堂的人名叫艾魯
[00:00:24.500 --> 00:00:27.500]  來見耶穌就伏伏在他的腳前
[00:00:29.000 --> 00:00:31.000]  再三地求他說
[00:00:31.000 --> 00:00:34.000]  我的小女兒快要死了
[00:00:34.000 --> 00:00:36.000]  求你去按手在她身上
[00:00:36.000 --> 00:00:39.000]  使她痊癒得以活了
[00:00:39.000 --> 00:00:42.000]  耶穌就和他同去
[00:00:42.000 --> 00:00:44.000]  有許多人跟隨
[00:00:44.000 --> 00:00:45.000]  擁擠他
[00:00:45.000 --> 00:00:49.000]  有一個女人患了十二年的血瘤
[00:00:49.000 --> 00:00:53.000]  在好些醫生手裡受了許多的苦
[00:00:53.000 --> 00:00:57.000]  又花盡了她所有的一點也不見好
[00:00:57.000 --> 00:01:00.000]  病勢反倒更重了
[00:01:00.000 --> 00:01:02.000]  她聽見耶穌的事
[00:01:02.000 --> 00:01:06.000]  就從後頭來
[00:01:06.000 --> 00:01:08.000]  站在眾人中間
[00:01:08.000 --> 00:01:10.000]  摸耶穌的衣裳
[00:01:10.000 --> 00:01:11.000]  意思說
[00:01:11.000 --> 00:01:14.000]  我只摸他的衣裳就必痊癒
[00:01:14.000 --> 00:01:18.000]  於是他的血瘤的源頭立不干了
[00:01:18.000 --> 00:01:22.000]  她便覺得身上的災病好了
[00:01:22.000 --> 00:01:25.000]  耶穌頓時心裡覺得有能力
[00:01:25.000 --> 00:01:27.000]  從自己身上出去
[00:01:27.000 --> 00:01:30.000]  就在眾人中間轉過來說
[00:01:30.000 --> 00:01:33.000]  誰摸我的衣裳
[00:01:33.000 --> 00:01:34.000]  門徒對她說
[00:01:34.000 --> 00:01:36.000]  你看眾人擁擠你
[00:01:36.000 --> 00:01:39.000]  還說誰摸我嗎
[00:01:39.000 --> 00:01:41.000]  耶穌周圍觀看
[00:01:41.000 --> 00:01:44.000]  要見做這事的女人
[00:01:44.000 --> 00:01:48.000]  那女人知道在自己身上所成的事
[00:01:48.000 --> 00:01:51.000]  就恐懼戰驚
[00:01:51.000 --> 00:01:53.000]  來俯伏在耶穌的跟前
[00:01:53.000 --> 00:01:56.000]  將實情全告訴她
[00:01:56.000 --> 00:01:58.000]  耶穌對她說
[00:01:58.000 --> 00:01:59.000]  女兒
[00:01:59.000 --> 00:02:01.000]  你的信救了你
[00:02:01.000 --> 00:02:04.000]  平平安安地回去吧
[00:02:04.000 --> 00:02:08.000]  你的災病痊癒了
[00:02:08.000 --> 00:02:10.000]  今天所讀的經文
[00:02:10.000 --> 00:02:11.000]  在某個程度上
[00:02:11.000 --> 00:02:15.000]  都是反映出我們很多人
[00:02:15.000 --> 00:02:18.000]  所經歷的痛苦和創傷
[00:02:18.000 --> 00:02:23.000]  又讓我們看見神在我們生命所帶來的醫治
[00:02:23.000 --> 00:02:26.000]  說到生命的創傷
[00:02:26.000 --> 00:02:29.000]  有一套影片是相當的寫實
[00:02:29.000 --> 00:02:33.000]  好像很多人生命的縮影
[00:02:33.000 --> 00:02:36.000]  早陣子我有機會看一套南非的影片
[00:02:36.000 --> 00:02:39.000]  叫作「昨天」
[00:02:39.000 --> 00:02:46.000]  這套影片曾經入圍奧斯卡最佳外語片
[00:02:46.000 --> 00:02:52.000]  昨天是講述一位年輕的南非女子的故事
[00:02:52.000 --> 00:02:55.000]  她的名字叫作昨天
[00:02:55.000 --> 00:02:57.000]  她的丈夫在外地打工
[00:02:57.000 --> 00:03:00.000]  一年只回來幾次
[00:03:00.000 --> 00:03:03.000]  丈夫在外面感染了愛滋病
[00:03:03.000 --> 00:03:05.000]  傳了給昨天
[00:03:05.000 --> 00:03:08.000]  這個女子在患病當中
[00:03:08.000 --> 00:03:11.000]  要奮力照顧她的女兒
[00:03:11.000 --> 00:03:14.000]  叫美麗
[00:03:14.000 --> 00:03:17.000]  昨天的故事
[00:03:17.000 --> 00:03:25.000]  可以說是很多當地女士的悲劇縮影
[00:03:25.000 --> 00:03:27.000]  跟昨天一樣
[00:03:27.000 --> 00:03:32.000]  當地的女人每天要走很長的路去取水
[00:03:32.000 --> 00:03:39.000]  取水後用頭頂著水罐走回家
[00:03:39.000 --> 00:03:42.000]  她們為了看醫生的緣故
[00:03:42.000 --> 00:03:45.000]  要走兩小時才去看醫生
[00:03:45.000 --> 00:03:47.000]  不知道能否見到醫生
[00:03:47.000 --> 00:03:50.000]  她們的丈夫在城外工作
[00:03:50.000 --> 00:03:52.000]  一年回來幾次
[00:03:52.000 --> 00:03:58.000]  有些女人在丈夫身上感染了愛滋病
[00:03:58.000 --> 00:04:02.000]  無數的孩子像美麗一樣
[00:04:02.000 --> 00:04:05.000]  要面對父母離世的事實
[00:04:05.000 --> 00:04:07.000]  那種留下來的創傷
[00:04:07.000 --> 00:04:09.000]  成為孤兒
[00:04:09.000 --> 00:04:12.000]  我們和這一切
[00:04:12.000 --> 00:04:14.000]  我們能夠瞥見
[00:04:14.000 --> 00:04:18.000]  在世間上無數的創傷
[00:04:18.000 --> 00:04:23.000]  貧窮、暴力、持續的歧視
[00:04:23.000 --> 00:04:27.000]  戰爭所帶來的創傷
[00:04:27.000 --> 00:04:30.000]  來到近一點的地方
[00:04:30.000 --> 00:04:35.000]  我們同樣見到香港大大小小的社會問題
[00:04:35.000 --> 00:04:37.000]  在這裡交織在一起
[00:04:37.000 --> 00:04:40.000]  有很多的天災人禍
[00:04:40.000 --> 00:04:44.000]  去年11月26日大埔的火災
[00:04:44.000 --> 00:04:48.000]  叫我們仍然今天想起都會心痛
[00:04:48.000 --> 00:04:51.000]  喪親者、倖存者
[00:04:51.000 --> 00:04:54.000]  前線的救援人員和市民
[00:04:54.000 --> 00:04:56.000]  好像我們一樣
[00:04:56.000 --> 00:05:01.000]  多多少少都面對這種創傷後壓力症
[00:05:01.000 --> 00:05:03.000]  這種創傷
[00:05:03.000 --> 00:05:05.000]  在幾年之間
[00:05:05.000 --> 00:05:07.000]  我們每一個人
[00:05:07.000 --> 00:05:09.000]  確實有不同的生命歷程
[00:05:09.000 --> 00:05:13.000]  經歷著不同的生命創傷
[00:05:13.000 --> 00:05:15.000]  我們患病
