
[00:00:00.000 --> 00:00:03.080]  好,在我們領教神的位置上,我們先低頭,我們祈禱嘛
[00:00:03.080 --> 00:00:06.840]  身為天分,求你自己用你自己的能力
[00:00:06.840 --> 00:00:08.600]  來帶人去奉比孩子
[00:00:08.600 --> 00:00:11.440]  你的能力在孩子的現象上顯得完全
[00:00:11.440 --> 00:00:14.240]  要藉著耶穌的寶血,託奉我自己的過犯
[00:00:14.240 --> 00:00:16.360]  叫我能夠成為一個流通的管子
[00:00:16.360 --> 00:00:17.880]  為神你來帶人去
[00:00:17.880 --> 00:00:20.200]  成為一個真理的出口
[00:00:20.200 --> 00:00:21.760]  也求你讓我們有一個
[00:00:21.760 --> 00:00:24.160]  渴慕、敬畏你的心
[00:00:24.160 --> 00:00:27.520]  以致我們能夠在屬靈的心裡面得到的突破
[00:00:27.520 --> 00:00:28.720]  你使用我們吧
[00:00:28.720 --> 00:00:30.240]  聽我們在神面前的祈禱交托
[00:00:30.240 --> 00:00:31.520]  拉動主德聖的名
[00:00:31.520 --> 00:00:32.320]  阿們
[00:00:32.320 --> 00:00:35.200]  那麼我跟大家講大白心靈裡面
[00:00:35.200 --> 00:00:36.920]  我會跟大家有一個新的課題
[00:00:36.920 --> 00:00:39.320]  就會講魔鬼它怎麼來誘惑我們
[00:00:39.320 --> 00:00:40.720]  怎麼將我們拖垮
[00:00:40.720 --> 00:00:42.160]  而我們怎麼去回應
[00:00:42.160 --> 00:00:43.760]  還有我們怎麼去裝備
[00:00:43.760 --> 00:00:46.680]  那麼我過去就會講了舊約的祈禱系列
[00:00:46.680 --> 00:00:48.640]  講了十八講
[00:00:48.640 --> 00:00:50.040]  那麼就應該完了
[00:00:50.040 --> 00:00:52.160]  但是我自己在神面前有一個領受
[00:00:52.160 --> 00:00:52.480]  就是什麼?
[00:00:52.480 --> 00:00:56.040]  我發覺我們教會那個崇拜出席率很浮動
[00:00:56.200 --> 00:00:59.960]  究竟有沒有人聽完十八次我的講道呢?
[00:00:59.960 --> 00:01:02.480]  如果有人在現場聽完十八次
[00:01:02.480 --> 00:01:05.120]  請你將你的名字寫在燈幕上就可以了
[00:01:05.120 --> 00:01:07.240]  我個人有一份禮物送給你
[00:01:07.240 --> 00:01:07.920]  真的
[00:01:07.920 --> 00:01:09.000]  OK
[00:01:09.000 --> 00:01:10.040]  在現場聽
[00:01:10.040 --> 00:01:11.360]  不是上網聽
[00:01:11.360 --> 00:01:12.000]  OK
[00:01:12.000 --> 00:01:13.320]  那麼我在想
[00:01:13.320 --> 00:01:16.160]  原來舊約的祈禱是很豐富的
[00:01:16.160 --> 00:01:18.160]  那麼我很想跟大家從頭到尾
[00:01:18.160 --> 00:01:20.920]  再翻溫那十八次的信息
[00:01:20.920 --> 00:01:23.880]  我將最重要的點跟大家分享
[00:01:23.880 --> 00:01:25.440]  目的就不是懶
[00:01:25.440 --> 00:01:27.040]  那麼我就不需要寫新講章
[00:01:27.040 --> 00:01:29.800]  因為我在想很多人第一就是沒有聽十八次
[00:01:29.800 --> 00:01:30.880]  第二就是聽了也是
[00:01:30.880 --> 00:01:32.000]  很多事情是不記得的
[00:01:32.000 --> 00:01:33.640]  你想一想你聽完這些講道
[00:01:33.640 --> 00:01:35.880]  你離開這個會堂一個小時之後
[00:01:35.880 --> 00:01:36.920]  你還有多少事情是記得的
[00:01:36.920 --> 00:01:37.600]  是不是?
[00:01:37.600 --> 00:01:40.520]  所以我很想給大家看到
[00:01:40.520 --> 00:01:42.440]  禱告是可以很多元化的
[00:01:42.440 --> 00:01:45.400]  禱告是我們基督徒屬靈生命的呼吸
[00:01:45.400 --> 00:01:46.280]  我們不去祈禱
[00:01:46.280 --> 00:01:49.440]  其實我們的屬靈生命就會凋謝
[00:01:49.440 --> 00:01:53.000]  而讀經就是我們屬靈生命裡面的那種維生素
[00:01:53.120 --> 00:01:55.600]  透過讀經我們對神有更多的認識的時候
[00:01:55.600 --> 00:01:57.000]  我們生命才會茁壯
[00:01:57.000 --> 00:01:59.400]  所以我希望大家來到這裡去看
[00:01:59.400 --> 00:02:00.840]  先做一個了解
[00:02:00.840 --> 00:02:03.000]  我們先看尼西米的祈禱
[00:02:03.000 --> 00:02:04.600]  三軍未動
[00:02:04.600 --> 00:02:05.960]  祈禱先行
[00:02:05.960 --> 00:02:08.480]  我們很熟悉尼西米的就會知道
[00:02:08.480 --> 00:02:10.200]  尼西米是一個亡國奴
[00:02:10.200 --> 00:02:12.280]  他國家已經被毀滅
[00:02:12.280 --> 00:02:13.320]  亡了國
[00:02:13.320 --> 00:02:14.880]  他在外地裡面
[00:02:14.880 --> 00:02:18.200]  但是當時波斯王朝的皇帝
[00:02:18.200 --> 00:02:20.680]  竟然可以重用這個亡國奴
[00:02:20.680 --> 00:02:22.720]  所以這個人絕不簡單
[00:02:22.960 --> 00:02:24.600]  他做的是酒精
[00:02:24.600 --> 00:02:27.640]  請你不要忘記酒精不只是針酒
[00:02:27.640 --> 00:02:29.120]  酒精是怎樣的呢?
[00:02:29.120 --> 00:02:33.640]  是尼西米去管理王的飲用的材料
[00:02:33.640 --> 00:02:36.600]  而當時的王其實很敏感
[00:02:36.600 --> 00:02:38.600]  他是怎樣來作王呢?
[00:02:38.600 --> 00:02:40.320]  他是下毒
[00:02:40.320 --> 00:02:42.440]  毒死自己的哥哥
[00:02:42.440 --> 00:02:44.560]  然後搶奪了這個王位
[00:02:44.560 --> 00:02:48.680]  所以他會更加的尼西米去小心防範人
[00:02:48.680 --> 00:02:49.640]  尼西米是怎樣的呢?
[00:02:49.640 --> 00:02:50.920]  尼西米是毒害他
[00:02:51.280 --> 00:02:53.480]  所以做得酒精這個位置
