
[00:00:00.000 --> 00:00:02.000]  整理&字幕:三马兄
[00:00:30.000 --> 00:00:32.000]  三位一體的神裡面
[00:00:32.000 --> 00:00:34.000]  其中的一位
[00:00:34.000 --> 00:00:36.000]  聖父、聖子、聖靈
[00:00:36.000 --> 00:00:38.000]  是同等的位份
[00:00:38.000 --> 00:00:40.000]  同樣重要
[00:00:40.000 --> 00:00:42.000]  但老實說
[00:00:42.000 --> 00:00:44.000]  我對聖靈真的認識很少
[00:00:44.000 --> 00:00:46.000]  很少,不是很多
[00:00:46.000 --> 00:00:49.000]  所以往往就忽略了
[00:00:49.000 --> 00:00:51.000]  去講聖靈
[00:00:51.000 --> 00:00:53.000]  去教導聖靈
[00:00:53.000 --> 00:00:55.000]  我想很多大英前輩都會這樣
[00:00:55.000 --> 00:00:57.000]  我們認識天父
[00:00:57.000 --> 00:00:59.000]  我們認識耶穌
[00:00:59.000 --> 00:01:01.000]  但我們最弱的一環
[00:01:01.000 --> 00:01:03.000]  就是不認識聖靈
[00:01:03.000 --> 00:01:05.000]  我很感謝神
[00:01:05.000 --> 00:01:08.000]  神預備了我和師母結婚
[00:01:08.000 --> 00:01:10.000]  她已經去了一間
[00:01:10.000 --> 00:01:12.000]  向聖靈開放的教會
[00:01:12.000 --> 00:01:14.000]  差不多20年
[00:01:14.000 --> 00:01:17.000]  所以她經歷很多聖靈的工作
[00:01:17.000 --> 00:01:19.000]  她又見證聖靈
[00:01:19.000 --> 00:01:21.000]  有很多很奇妙的
[00:01:21.000 --> 00:01:24.000]  神蹟、奇事、醫治等等
[00:01:24.000 --> 00:01:27.000]  而且她是做禱告服侍的
[00:01:27.000 --> 00:01:29.000]  所以當我們一起去
[00:01:29.000 --> 00:01:31.000]  這間教會的時候
[00:01:31.000 --> 00:01:33.000]  神在我身上做了很多
[00:01:33.000 --> 00:01:35.000]  很奇妙的工作
[00:01:35.000 --> 00:01:37.000]  我同樣經歷聖靈
[00:01:37.000 --> 00:01:39.000]  我被聖靈充滿
[00:01:39.000 --> 00:01:41.000]  我也見證聖靈
[00:01:41.000 --> 00:01:44.000]  很多很奇妙的作為
[00:01:44.000 --> 00:01:46.000]  因此今天
[00:01:46.000 --> 00:01:49.000]  我要講一篇很重要的訊息
[00:01:49.000 --> 00:01:51.000]  做個為你需要
[00:01:51.000 --> 00:01:53.000]  真的求神引導你
[00:01:53.000 --> 00:01:55.000]  去認識聖靈
[00:01:55.000 --> 00:01:57.000]  求神開你的眼
[00:01:57.000 --> 00:01:59.000]  去見到聖經裡面
[00:01:59.000 --> 00:02:01.000]  聖靈的重要
[00:02:01.000 --> 00:02:03.000]  首先第一件事
[00:02:03.000 --> 00:02:06.000]  當耶穌離開世界
[00:02:06.000 --> 00:02:08.000]  升天之前
[00:02:08.000 --> 00:02:10.000]  祂就向神祈禱
[00:02:10.000 --> 00:02:12.000]  祂的父神當我
[00:02:12.000 --> 00:02:14.000]  回到你那裡的時候
[00:02:14.000 --> 00:02:16.000]  求你猜聖靈
[00:02:16.000 --> 00:02:18.000]  保衛使命
[00:02:18.000 --> 00:02:20.000]  所以耶穌知道
[00:02:20.000 --> 00:02:22.000]  祂要走了
[00:02:22.000 --> 00:02:24.000]  祂要離開祂的門徒
[00:02:24.000 --> 00:02:26.000]  祂要離開所有跟從祂
[00:02:26.000 --> 00:02:28.000]  信任祂的人
[00:02:28.000 --> 00:02:30.000]  但是不要緊
[00:02:30.000 --> 00:02:32.000]  雖然我們暫時耶穌在天上
[00:02:32.000 --> 00:02:35.000]  但是祂派了聖靈來
[00:02:35.000 --> 00:02:39.000]  所以聖靈是永遠與我們同在
[00:02:39.000 --> 00:02:42.000]  直到我們再見主耶穌
[00:02:42.000 --> 00:02:44.000]  將來在天上
[00:02:44.000 --> 00:02:46.000]  我們是與三位一體的神
[00:02:46.000 --> 00:02:48.000]  永遠同在
[00:02:48.000 --> 00:02:50.000]  所以記住
[00:02:50.000 --> 00:02:53.000]  是耶穌派聖靈來
[00:02:53.000 --> 00:02:55.000]  聖靈有幾樣很重要的工作
[00:02:55.000 --> 00:02:57.000]  第一
[00:02:57.000 --> 00:02:59.000]  祂安慰我們
[00:02:59.000 --> 00:03:01.000]  我們今天有很多創傷
[00:03:01.000 --> 00:03:03.000]  我們今天有很多的破碎
[00:03:03.000 --> 00:03:05.000]  我們今天有很多的破碎
[00:03:05.000 --> 00:03:07.000]  我們心靈很沉重
[00:03:07.000 --> 00:03:09.000]  誰安慰我們呢
[00:03:09.000 --> 00:03:11.000]  所以我們隨時可以呼求聖靈
[00:03:11.000 --> 00:03:13.000]  聖靈啊你來幫我
[00:03:13.000 --> 00:03:15.000]  聖靈你來安慰我
[00:03:15.000 --> 00:03:19.000]  聖靈會用說不出來的嘆息
[00:03:19.000 --> 00:03:21.000]  為我們眾人祈禱
[00:03:21.000 --> 00:03:23.000]  第二
