
[00:00:00.000 --> 00:00:01.400]  頂尖維權安
[00:00:01.400 --> 00:00:04.560]  今日同大家分享上帝既說話
[00:00:04.560 --> 00:00:10.800]  章林期是聖誕節即是紀念耶穌降生前的四個主日
[00:00:10.800 --> 00:00:14.560]  來預備信徒的心來守候基督的再臨
[00:00:14.560 --> 00:00:18.000]  在章林期第一個主日稱之為悔罪主日
[00:00:18.000 --> 00:00:20.000]  我們會點燃第一支蠟燭
[00:00:20.000 --> 00:00:23.680]  第二個主日是守等候的主日
[00:00:23.680 --> 00:00:25.120]  點第二支蠟燭
[00:00:25.120 --> 00:00:27.960]  第三個主日稱之為喜樂的主日
[00:00:27.960 --> 00:00:29.960]  我們點第三支蠟燭
[00:00:30.040 --> 00:00:31.600]  叫做喜樂之燭
[00:00:31.600 --> 00:00:34.800]  禮儀的重心由勸告基督
[00:00:34.800 --> 00:00:38.520]  耶穌基督會從天上來到降臨的時候
[00:00:38.520 --> 00:00:39.720]  我們預備好
[00:00:39.720 --> 00:00:42.560]  守候並且懷有一個歡喜快樂的心
[00:00:42.560 --> 00:00:43.760]  等候祂的降臨
[00:00:43.760 --> 00:00:45.200]  在教會歷史裡面
[00:00:45.200 --> 00:00:48.400]  稱章林期第三個主日為喜樂的主日
[00:00:48.400 --> 00:00:51.000]  其實有一種的喜樂
[00:00:51.000 --> 00:00:53.680]  有一種的歡喜是這樣的
[00:00:53.680 --> 00:00:57.560]  大家看到這個是一個黑暗的隧道裡面
[00:00:57.560 --> 00:00:59.600]  去到盡頭見到曙光
[00:00:59.880 --> 00:01:02.760]  假如有一群人去到這個黑暗的隧道裡面
[00:01:02.760 --> 00:01:03.560]  很長很長
[00:01:03.560 --> 00:01:05.000]  一路都走一路都走
[00:01:05.000 --> 00:01:07.080]  但總是看不到出路的時候
[00:01:07.080 --> 00:01:08.520]  人是很灰心
[00:01:08.520 --> 00:01:10.520]  但無緣間在一段時間
[00:01:10.520 --> 00:01:12.680]  突然間見到有些曙光
[00:01:12.680 --> 00:01:14.840]  於是他就很開心很歡喜了
[00:01:14.840 --> 00:01:17.560]  因為有希望有出路有得救
[00:01:17.560 --> 00:01:20.440]  其實今天香港在抗疫裡面
[00:01:20.440 --> 00:01:22.200]  都似有這樣的情況
[00:01:22.200 --> 00:01:25.520]  最近有一些的疫苗研發好了
[00:01:25.520 --> 00:01:27.080]  這個就是輝瑞的
[00:01:27.080 --> 00:01:28.520]  美國和德國的合作
[00:01:28.720 --> 00:01:31.400]  這個出現帶來了歡喜
[00:01:31.400 --> 00:01:35.160]  原來全球裡面有50多隻的疫苗都在研發當中
[00:01:35.160 --> 00:01:36.840]  現在有其中一十幾隻
[00:01:36.840 --> 00:01:39.480]  是進入了第三階段的研發
[00:01:39.480 --> 00:01:41.080]  一個測試在裡面
[00:01:41.080 --> 00:01:43.360]  譬如英國俄羅斯中國等等地方
[00:01:43.360 --> 00:01:44.960]  其實這些消息出現
[00:01:44.960 --> 00:01:47.400]  真是一個曙光
[00:01:47.400 --> 00:01:49.160]  在抗疫裡面的一個曙光
[00:01:49.160 --> 00:01:50.760]  讓我們看到開心了
[00:01:50.760 --> 00:01:53.960]  遲一些疫苗生產大量注射的時候
[00:01:53.960 --> 00:01:58.800]  這個抗疫的工作能夠進一步取得成功
[00:01:58.800 --> 00:02:02.080]  能夠控制這個新冠流感的傳播
[00:02:02.080 --> 00:02:05.480]  不知道大家覺得這個會不會是一個好消息呢
[00:02:05.480 --> 00:02:10.240]  香港估計在明年裡面就可以注射這個疫苗
[00:02:10.240 --> 00:02:11.640]  不知道大家開不開心
[00:02:11.640 --> 00:02:13.120]  有些人都很開心
[00:02:13.120 --> 00:02:13.760]  哇好啊
[00:02:13.760 --> 00:02:19.920]  可以抗體抵抗這個病毒在裡面
[00:02:19.920 --> 00:02:23.160]  今天和大家看一個經文
[00:02:23.160 --> 00:02:25.440]  描寫到施浸藥巷
[00:02:25.440 --> 00:02:27.480]  施浸藥巷的出現
[00:02:27.480 --> 00:02:29.640]  就好像在黑暗的隧道裡面
[00:02:29.640 --> 00:02:31.160]  看到曙光一樣
[00:02:31.160 --> 00:02:34.240]  帶來給當時人有喜樂有歡喜
[00:02:34.240 --> 00:02:37.240]  可能大家會覺得為什麼我這樣說呢
[00:02:37.240 --> 00:02:41.320]  原來在舊約聖經和新約聖經中間
[00:02:41.320 --> 00:02:43.880]  大概相隔四百年
[00:02:43.880 --> 00:02:46.600]  在舊約聖經裡面最後一選書卷
[00:02:46.600 --> 00:02:48.400]  叫做《瑪麗基書》
[00:02:48.400 --> 00:02:51.160]  先知瑪麗基得到上帝的密使之後
[00:02:51.160 --> 00:02:55.440]  然後呢 一路一路上帝再沒有興起先知
