
[00:00:00.000 --> 00:00:02.920]  知道人說,人活在這個世界上面
[00:00:02.920 --> 00:00:05.240]  我們到底在幹什麼
[00:00:05.240 --> 00:00:08.240]  這個話題是人文主義的哲學們
[00:00:08.240 --> 00:00:10.400]  他一直在試問的一個問題
[00:00:10.400 --> 00:00:14.240]  但是今天到底有多少的人能明確地回答你說
[00:00:14.240 --> 00:00:16.680]  哎呀,你人生在這個世界上面
[00:00:16.680 --> 00:00:18.200]  到底在幹什麼呢
[00:00:18.200 --> 00:00:21.120]  所以我今天在講這個主題之前
[00:00:21.120 --> 00:00:23.600]  我想首先跟大家來講一個故事
[00:00:23.600 --> 00:00:27.360]  這個故事我相信大家很多人都聽過
[00:00:27.360 --> 00:00:32.360]  也可以說這個故事是大家耳熟能詳的一個故事
[00:00:32.360 --> 00:00:36.760]  它講的是有個兄弟倆去爬樓梯的故事
[00:00:36.760 --> 00:00:37.920]  很簡單對吧
[00:00:37.920 --> 00:00:38.960]  大家都聽過
[00:00:38.960 --> 00:00:40.840]  有人說我自己都爬過
[00:00:40.840 --> 00:00:43.280]  但這個故事裡面講到說
[00:00:43.280 --> 00:00:44.880]  有一個哥兩個
[00:00:44.880 --> 00:00:48.320]  他住在一棟80層樓的高樓的上面
[00:00:48.320 --> 00:00:51.360]  他坐著的正是整整的80層
[00:00:51.360 --> 00:00:54.680]  因為他哥兩個總是在外面上班
[00:00:54.680 --> 00:00:56.200]  每天都很忙碌
[00:00:56.560 --> 00:00:58.080]  他有一天早晨
[00:00:58.080 --> 00:00:59.960]  因為他已經晚起來了
[00:00:59.960 --> 00:01:03.240]  所以他趕緊的拿起自己的背包
[00:01:03.240 --> 00:01:05.080]  就衝出自己的家門
[00:01:05.080 --> 00:01:07.400]  就下了電梯就去上班了
[00:01:07.400 --> 00:01:10.680]  但是你知道一天的勞累過後
[00:01:10.680 --> 00:01:12.360]  並且還加班到深夜
[00:01:12.360 --> 00:01:13.720]  他們回家了
[00:01:13.720 --> 00:01:16.840]  但他們一回到家裡面發現事情不對
[00:01:16.840 --> 00:01:17.800]  為什麼呢
[00:01:17.800 --> 00:01:22.400]  因為自己家裡面的那幾張電梯全部停運
[00:01:22.400 --> 00:01:24.560]  門口貼了這麼一個布告
[00:01:25.080 --> 00:01:27.000]  所以兄弟兩個就在想說
[00:01:27.000 --> 00:01:28.600]  那現在怎麼辦呢
[00:01:28.600 --> 00:01:30.920]  回公司也不行
[00:01:30.920 --> 00:01:33.960]  如果在附近找朋友家來借宿一下呢
[00:01:33.960 --> 00:01:34.760]  也不行
[00:01:34.760 --> 00:01:38.000]  因為這麼晚了去打攪別人不太好
[00:01:38.000 --> 00:01:40.160]  他去就找一個旅館住呢
[00:01:40.160 --> 00:01:42.000]  他想想這也是個辦法
[00:01:42.000 --> 00:01:44.240]  他其中一個兄弟說
[00:01:44.240 --> 00:01:47.160]  到都到家了還去做旅館
[00:01:47.160 --> 00:01:49.720]  他我們不如爬上去算了
[00:01:49.720 --> 00:01:50.960]  他哥兩個一計劃呢
[00:01:50.960 --> 00:01:51.640]  說好好好
[00:01:51.640 --> 00:01:53.280]  那我們兩個就爬上去吧
[00:01:53.880 --> 00:01:56.880]  結果你知道當他們從第一層開始
[00:01:56.880 --> 00:01:59.400]  爬到第二十層的時候
[00:01:59.400 --> 00:02:02.120]  他們覺得感覺蠻好的
[00:02:02.120 --> 00:02:04.520]  但是一爬到這二十層
[00:02:04.520 --> 00:02:06.240]  爬得感覺蠻好的之後
[00:02:06.240 --> 00:02:08.280]  一到了第二十層
[00:02:08.280 --> 00:02:09.880]  他才感覺到自己那個包啊
[00:02:09.880 --> 00:02:12.560]  怎麼越來越重越來越重
[00:02:12.560 --> 00:02:15.520]  後來他就敲響了二十層的
[00:02:15.520 --> 00:02:17.320]  有一個人的家門口
