
[00:00:00.000 --> 00:00:04.120]  我們都會落在低谷的裏面
[00:00:04.120 --> 00:00:06.680]  我都記得在我四十幾年
[00:00:06.680 --> 00:00:08.760]  木匯的生涯裏面
[00:00:08.760 --> 00:00:11.200]  都經歷很多次
[00:00:11.200 --> 00:00:13.560]  我自己的消沉
[00:00:13.560 --> 00:00:15.640]  我覺得我沒有力
[00:00:15.640 --> 00:00:18.360]  好像走不下去一樣
[00:00:18.360 --> 00:00:20.720]  有些人都不想走下去
[00:00:20.720 --> 00:00:22.760]  有些人都不想走下去
[00:00:22.760 --> 00:00:24.480]  有些人都不想走下去
[00:00:24.480 --> 00:00:26.160]  有些人都不想走下去
[00:00:26.160 --> 00:00:28.160]  有些人都不想走下去
[00:00:28.160 --> 00:00:30.120]  有些人都不想走下去
[00:00:30.120 --> 00:00:31.920]  有時我都很掙扎
[00:00:31.920 --> 00:00:34.080]  是不是要自己靜修
[00:00:34.080 --> 00:00:36.000]  是不是我要告假
[00:00:36.000 --> 00:00:38.080]  請假一段時間
[00:00:38.080 --> 00:00:40.600]  原來我才知道
[00:00:40.600 --> 00:00:43.600]  是來到神的面前
[00:00:43.600 --> 00:00:45.480]  向祂屈膝
[00:00:45.480 --> 00:00:47.280]  向祂跪下
[00:00:47.280 --> 00:00:48.960]  向祂祈禱
[00:00:48.960 --> 00:00:50.600]  因為聖經裏面有一個
[00:00:50.600 --> 00:00:53.880]  很重要很重要的原則
[00:00:53.880 --> 00:00:57.160]  今天我亦都是語重心長的
[00:00:57.160 --> 00:00:58.560]  提醒每一位
[00:00:58.560 --> 00:01:00.160]  當你遇到困難
[00:01:00.160 --> 00:01:03.000]  這個世代太多的混亂
[00:01:03.000 --> 00:01:04.480]  我們真的覺得自己
[00:01:04.480 --> 00:01:05.640]  處理不了
[00:01:05.640 --> 00:01:07.720]  面對不了
[00:01:07.720 --> 00:01:08.560]  各位
[00:01:08.560 --> 00:01:11.680]  原來神只有一個條件
[00:01:11.680 --> 00:01:13.120]  就是你謙卑
[00:01:13.120 --> 00:01:14.120]  跪下
[00:01:14.120 --> 00:01:15.920]  來到祂的面前
[00:01:15.920 --> 00:01:19.400]  祂就會加力給我們
[00:01:19.400 --> 00:01:21.960]  有人講過一句很好的說話
[00:01:21.960 --> 00:01:24.200]  當你跪下的時候
[00:01:24.200 --> 00:01:28.680]  當你做強大強壯的時候
[00:01:28.680 --> 00:01:30.560]  你覺得你很強壯
[00:01:30.560 --> 00:01:31.880]  你很有力量
[00:01:31.880 --> 00:01:35.400]  你可以面對一切的難處
[00:01:35.400 --> 00:01:38.480]  聖經裏面有好幾位人物
[00:01:38.480 --> 00:01:40.560]  當他們每次屈膝
[00:01:40.560 --> 00:01:42.760]  神就行歧視
[00:01:42.760 --> 00:01:44.480]  其中一個我最喜歡的
[00:01:44.480 --> 00:01:46.360]  就是尼希米
[00:01:46.360 --> 00:01:48.320]  請大家回去好好讀
[00:01:48.320 --> 00:01:50.720]  尼希米的第一第二章
[00:01:50.720 --> 00:01:53.680]  尼希米他是亡國
[00:01:53.680 --> 00:01:55.800]  因為他是一個以色列
[00:01:55.800 --> 00:01:58.280]  很愛國的子民
[00:01:58.280 --> 00:02:00.600]  竟然間我們的國家
[00:02:00.600 --> 00:02:03.600]  被巴比倫消滅了
[00:02:03.600 --> 00:02:05.360]  真的沒辦法忍受
[00:02:05.360 --> 00:02:06.760]  不單止亡國
[00:02:06.760 --> 00:02:09.320]  而且他是被俘虜
[00:02:09.320 --> 00:02:11.680]  要離開自己的家鄉
[00:02:11.680 --> 00:02:14.280]  離開很熟悉的家園
[00:02:14.280 --> 00:02:16.520]  去到異鄉
[00:02:16.520 --> 00:02:18.600]  起異鄉流落
[00:02:18.600 --> 00:02:21.440]  寄居別人的籬下
[00:02:21.440 --> 00:02:23.400]  講另外一種話
[00:02:23.400 --> 00:02:24.760]  另外一種文化
[00:02:24.760 --> 00:02:26.800]  真的很不舒服
[00:02:26.800 --> 00:02:29.000]  很不適應
[00:02:29.000 --> 00:02:31.480]  但是神其實祝福他
